"Feature","MS51-01","MS51-02","MS51-03","MS51-04","MS51-05","MS51-06","MS51-07","MS51-08","MS51-09","MS51-10","MS51-11","MS51-12","MS51-13","MS51-14","MS51-15","MS51-16","MS51-17","MS51-18","MS51-19","MS51-20","MS51-21","MS51-23","MS51-24","MS51-25","MS51-26","MS51-27","MS51-28","MS51-29","MS51-30","MS51-31","MS51-32","MS51-33","MS51-34","MS51-35","MS51-36","MS51-37","MS51-38","MS51-39","MS51-40","POOL2","POOL3","POOL4","POOL5","POOL6"
"pantothenate",697350073.1,683317094.1,743785043.4,786392516.9,727213767.2,690155739.3,718366282.6,777815444.1,684997705.6,776641574.2,689599993.1,633679990.5,642864489.2,619128478.2,602450618.1,647561250.5,677358927.3,631687192,619252542.8,696152597.1,589423826.1,691480352.4,715234128.9,670547245.5,705242473.9,706073203.9,752008296.8,754545779.1,720784538.8,692371901.5,720526891.2,757922037.6,709534858,763365410.1,648899696.4,713693975.4,693014221.9,706429900.2,788403261.8,690231752.2,689400768.4,684038160.4,679244997.4,673588471.1
"phenylalanine",4348751366,4326929772,4548593596,4591614157,4520256385,3386236213,3611907384,3904743523,4377969593,3806176654,3179090711,3092149272,3068522133,2907686640,2888409461,3051841020,3017205641,2860176112,2873683764,3059346816,2965292655,3274465864,3465003116,3394821480,3529758604,3577290015,3923649074,3872557183,3762307132,3711781337,3880092781,3960843631,3839430414,4113314739,3373598970,3548361528,3597147034,3437086552,4061207936,3525781331,3586556657,3542155626,3522910987,3508800790
"phosphocholine",360942.3,294794.2,391787.8,528296,562293.9,45807497.9,33062789.2,38049553,35578956.7,37391148,17352404.9,14422984.9,13924738.1,14304669.7,12060756.9,8938528.6,9154451.1,7843080.1,8356353.1,10731666.8,10627172.1,13465464.8,14035600.3,12400361.8,21594735.1,24564446.3,26177584.4,26079525.3,21824511.8,31488505.7,34017732.7,34716147.2,32073748.5,30334637.7,36663756.9,37334395,37149865.5,38576180.6,43200972.1,21748440.17,19697509.5,19260270.83,19313680.65,18028271.63
"proline",28075039315,28085279027,29755925792,31158657805,29439052067,29375396637,30093973389,32173992908,30662834896,31625145520,28382359014,28120757118,28158107678,27021210080,26486319840,27926295415,28934890169,27281381400,26993049838,29049993596,26746630012,28753859687,30233247668,28212169118,28106243311,29163116997,30545596816,30803607575,29545503771,27953085949,29994709176,30719532321,29359886365,31030775282,27667862646,29222855901,28528055053,29250735528,31537796901,28868659721,29288632188,28384597123,28088590888,28597936433
"propionylcarnitine",133655599.8,124531448.8,137361309.7,139530388.5,141033450.4,150608220.3,160421008.6,167459274,177052291,172720800,149794263.2,134207385.1,137673381.8,134345487.5,130172053.5,131491266.5,139004237.1,133113447,131377819.6,142217746.7,128695935.4,146059955.9,153984397.8,144218402.7,135260024.7,148520655.7,155141207.9,157776897.6,148516759.4,170500172.5,167909188.4,185906798.1,170890274.2,188830115.6,141540480.2,152871803.2,151520743,150456196.5,169507845.9,150478104.4,149582442,150173789.4,146489854.2,149209304.1
"pyroglutamic-acid",4968674473,4907042599,5429506357,5675098897,5409202601,4124678755,4455154724,4767968641,4874570880,4688531722,4417117489,4211124296,4237552763,4042157593,3972046109,4171450642,4240673887,3922866226,4026966124,4191917618,3789224275,4374337723,4555338425,4274735053,4606845393,4819062129,5060933153,4970261280,4938870910,4797137450,4975994274,5302069484,4996513700,5365916342,4478618868,4949728073,4582768759,4773221058,5228013850,4335336751,4462781859,4391903577,4355951184,4299235806
"pyruvate",162123067.6,156855100.3,171007840.6,176869723,170610796.8,435608979.1,452485929.6,482492916.5,613040557.5,484391367.5,614831346.6,532129639.8,556655941.3,563406022.6,535031120.8,554821897.9,548266873.8,506428184.2,533643610.6,555545380.3,499678228,530486161.9,572663340.7,560811030.8,348974332.1,350804702.3,356950638.2,351595865.2,330521885.2,477287541.2,540015496.9,568975573.4,513516064.3,593225415.3,176963526.5,195883733.7,188463791.4,189292012.6,204849130.8,416017502.5,423446218.5,433392957.3,412852221.7,412929463
"S-(2-succinyl)cysteine",0,0,0,1095680.2,1071620.3,4187857.2,158864.2,0,601721.3,0,177952.1,157810.3,208392.4,0,0,264998.8,231470.7,181197.2,181052.8,169195.3,138232.1,0,186005.8,303451,313503.7,332759.6,228623.1,288211.2,312692.7,191115.7,349358.9,292713.3,253324.5,358215.2,432085.2,356961,114857.7,213991.2,282389.1,449130.9768,213149.6513,319571.6323,280681.2454,205046.6535
"serine",125910831.7,120268194.4,134592578.5,140904763.4,132571514.4,89105912.2,87610317.1,98414517.9,96282259.7,98131037.8,60827835.3,60323863.8,56873918.8,56972170,54824038.6,59257667.9,62759620.1,57886196.1,55576551.2,62687305.3,63421717.4,75017137.3,76556470,70191141.2,86408853.4,92936598.6,106034117.8,96473380,92781558.2,93921565.4,98842239.2,98933977.6,97476633.5,105585878.6,78187642.7,87385923.7,77731990.1,75091988.7,91600747,84967617.07,86184270.99,82737890.22,79674296.76,83829163.56
"stearic acid",52623109.1,42674705.1,57699893.3,56030798.7,43305774,33833514,32915780.1,31475208.7,50262134.7,45011642.6,22463471.4,21825521,32034621.9,11046656.1,13853987.6,11805106.6,16837935.2,12353534.3,13929818.7,22824069.6,18429178,15891493.8,14679442.2,11889447.6,19189093.4,15513640.8,18603179,19955622.2,15837430.7,11804800.1,21196848.5,13623244,14679435.7,16816930.2,14918039.9,20086294.4,13486400.1,17420406.6,26015403.1,40757227.17,40789546.72,40478835.03,38388151.47,38209090.76
"succinate",255961116.1,252047474.1,270724497.7,283727138.6,250136519.4,256645887.4,267260059.4,296230097.2,269236744.7,297438161.4,246984702.6,228858901.2,228551852.6,227392437,211783066.6,221430415.1,247576529,230213549.6,218103224.5,243102583.1,215335938.8,245036916.5,256254989.9,228780809.9,298461633.5,313563865.4,317002948,321781495.9,307613555.7,279247466.6,297933185.1,312638884.3,284135827,320015634.5,225045660,259429337.6,249303291.1,267297767.9,294437640.7,263966083.7,272677894.5,254989828.5,258568304.5,260472705.9
"succinyladenosine",918952.8,980684,1408582.9,1353742,976704.1,1706957.3,1181679.6,1491200.7,1948004.8,1687854.6,1241196.6,1062152.5,1106473.1,1086769.7,1316461,1134250.5,1332887.6,1143763.4,1104057.3,1283493.3,1021605.3,1144467,1264215.8,1258137.8,1237951.7,1872925.7,1643591.3,1243677.3,1082056,1011489.3,1516344.1,1700150.9,1313844.6,1425304.4,1341589.9,1445971,1354210.2,1259158.8,1795463.7,1250991.096,1348487.283,1226700.604,1355999.713,1014742.311
"taurine",6108324769,6311598940,6343434959,6491251151,6131800475,4798209991,5382958316,5394643876,5120059281,5289654862,5014451683,4863144434,4541221150,4668155892,4585902349,4526162004,4691188528,4421890349,4458550182,4842491026,4273926841,5122168137,5103864529,4737931365,4981090572,5047822584,5479764032,5540811508,5444444148,5152911807,5628871286,5650747103,5640465349,5684977062,4512004399,5033945175,4733776043,4904472222,5018996902,5188277753,5340659135,5230834630,5173834430,5075082482
"threonine",2923552325,2834060880,3076625551,3314864651,2970036046,2199199185,2290193381,2479941444,2542279337,2458845880,2085203049,2032578427,1998874981,1937186458,1809407451,1876448130,2029346261,1795969756,1819205257,2008123253,1791788216,2090988385,2236223340,2032596866,2196533806,2446154163,2537811276,2478076729,2428205274,2382726002,2515328173,2581775711,2478198063,2717708870,2093949033,2219295642,2070517674,2106028639,2447552986,2283930013,2303066175,2390221762,2196250308,2271099651
"tryptophan",4885231251,4741368309,5286688798,5588317377,5207531243,4654187792,4867176521,5380281756,5488855786,5301456623,4468333767,4171355250,4141940616,4002111260,3974896715,4266715701,4372091334,3997148245,4022461318,4356609157,3929817363,4428196906,4751285783,4472231165,4673711114,4959890239,5161757046,5111636616,4949625642,4741504594,4929322918,5259924882,4991469020,5377965640,4518947234,4971561143,4742558654,4784856309,5395997187,4524172509,4703310531,4679197464,4595666439,4655081399
"tyrosine",4427836128,4250462957,4605554865,4755239987,4498491846,3586520873,3716490960,4392890591,4244907903,4310392797,3545766198,3306357432,3254945379,3289395144,3060495727,3247903611,3423311958,3195128051,3109524746,3417793611,3143481047,3605480887,3681263995,3417183858,3688737694,3886948433,4192694569,4136262477,3957227645,4013198975,4066215881,4378484290,4009270689,4376199067,3546105780,3904930971,3811566422,3850328407,4364634208,3798251982,3795973701,3734048513,3656441164,3700293240
"uric acid",7002358535,6786220885,7436538388,7828474797,7351518696,6971512208,7203164364,7982958401,7556412367,7607817886,6974613301,6757963156,6658533439,6361994365,6448189781,6649782125,7162509829,6236767300,6583281917,6896489371,5909729188,7240057488,7340372097,6827997655,7221034788,7427264749,7639780386,7626084331,7359836674,6774983785,7476654573,7676879372,7150496133,8060416354,6856988585,7594669261,6548735435,7059176098,7919530328,6968785584,7065455678,6965919467,6924434067,7106126732
"valine",4431083199,4228049995,4833375882,4980125635,4716485196,3858392325,4092012320,4343595827,4417582171,4310641312,3659458392,3572452611,3579060173,3383454364,3317329636,3436696353,3661773048,3312615512,3347391594,3599163644,3275919999,3777262400,3928074076,3687439372,3936660166,4245012878,4483773111,4415327240,4313675898,4137196991,4307919675,4637353228,4392447947,4632494515,3796228124,4170955138,3879421799,4046838822,4390691487,3845065488,4079439912,3921498082,3944107939,3884786862
"xanthine",400899078.6,359410525.9,396474359.6,408044974.5,379730778.9,364060806,385829890,406902217.2,304926222,416357172.8,374118125.8,364624657.3,368368682.9,379398647.6,348205640.4,350072192.6,380239247.8,374367101.3,354380114.2,380561127.3,340523470,394537356.8,399481437,371047318,390701082.7,384960894.5,401562086.9,408929777.9,404474152,423582101.9,415361755.7,435101967.6,418782924.5,450213783.3,326227302.4,383332689.3,370976743.7,376698533.5,425527535.8,388382145.8,379985524.7,376727929.3,369318337.5,367535865.9
