gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000042532	80.64759287	0.3175782074	0.72151979	0.4401517629	6.598272e-01	NA
ENSMUSG00000097914	8.41886563	-2.3507598589	1.30769662	-1.7976339595	7.223503e-02	NA
ENSMUSG00000007207	161.44219839	-0.4737096075	0.59268019	-0.7992668203	4.241357e-01	NA
ENSMUSG00000043301	74.84358899	-0.3551706292	0.60421227	-0.5878242545	5.566503e-01	NA
ENSMUSG00000029544	129.96663628	0.0725267266	0.76032987	0.0953885005	9.240062e-01	NA
ENSMUSG00000026204	501.31167530	-0.2502025590	0.52635488	-0.4753495606	6.345378e-01	9.987681e-01
ENSMUSG00000076609	2742.98991087	6.8416761464	1.17838992	5.8059526979	6.400103e-09	1.712028e-07
ENSMUSG00000067149	560.04961482	7.1145124568	0.96304854	7.3874910344	1.496252e-13	8.004949e-12
ENSMUSG00000023828	7.40889813	0.0107646506	1.33092008	0.0080881269	9.935467e-01	NA
ENSMUSG00000015568	366.66903246	-1.2855914242	1.11437495	-1.1536435067	2.486464e-01	9.987681e-01
ENSMUSG00000102876	3.75774934	0.2004443587	1.38590290	0.1446308823	8.850023e-01	NA
ENSMUSG00000025885	45.62665949	0.0253228568	0.76320485	0.0331796330	9.735313e-01	NA
ENSMUSG00000096847	161.72629371	0.0583130953	0.66223822	0.0880545609	9.298333e-01	NA
ENSMUSG00000104159	9.37142235	-1.3062669663	1.39289344	-0.9378082551	3.483430e-01	NA
ENSMUSG00000048251	208.34636123	0.2120851378	0.67641696	0.3135420174	7.538689e-01	NA
ENSMUSG00000030162	14.21599488	-1.7421994760	1.23268985	-1.4133315680	1.575583e-01	NA
ENSMUSG00000045038	661.18284950	-0.2223901897	0.51813508	-0.4292127645	6.677684e-01	9.987681e-01
ENSMUSG00000047013	150.98132398	0.0548917196	0.59314606	0.0925433438	9.262664e-01	NA
ENSMUSG00000085830	14.57883037	-0.1861995020	1.13315153	-0.1643200376	8.694792e-01	NA
ENSMUSG00000021708	160.42129593	-0.0560672801	0.63097121	-0.0888586973	9.291942e-01	NA
ENSMUSG00000020431	1097.41377935	0.0693158986	0.57260026	0.1210546052	9.036478e-01	9.987681e-01
ENSMUSG00000025422	1343.83650005	0.0364673505	0.62867551	0.0580066344	9.537433e-01	9.987681e-01
ENSMUSG00000024261	112.67076514	-0.6227705335	0.61277395	-1.0163136593	3.094800e-01	NA
ENSMUSG00000103201	9.55937884	-1.0513880801	1.20641790	-0.8714957554	3.834835e-01	NA
ENSMUSG00000032988	25.28819665	-0.5011054432	1.38822649	-0.3609680734	7.181233e-01	NA
ENSMUSG00000080736	7.76788635	-1.6899625681	1.35925684	-1.2432989247	2.137577e-01	NA
ENSMUSG00000047842	232.63578981	0.0502129285	0.61250192	0.0819800350	9.346626e-01	NA
ENSMUSG00000045036	4.89137855	2.0807032699	1.17597698	1.7693401362	7.683713e-02	NA
ENSMUSG00000071265	38.36219322	-0.3351086938	0.64698031	-0.5179581032	6.044875e-01	NA
ENSMUSG00000040035	379.52538879	-0.5711492326	0.48675134	-1.1733901574	2.406394e-01	9.987681e-01
ENSMUSG00000030000	149.25028235	-0.5233414849	0.59046284	-0.8863241606	3.754429e-01	NA
ENSMUSG00000044667	282.01498340	-0.0325528420	0.54879386	-0.0593170669	9.526996e-01	NA
ENSMUSG00000019785	23.88751038	-0.1310474166	0.81165628	-0.1614567881	8.717336e-01	NA
ENSMUSG00000079657	37.21093262	-0.3642654788	0.68133781	-0.5346327081	5.929039e-01	NA
ENSMUSG00000044912	59.54852169	0.0039453644	0.68254942	0.0057803352	9.953880e-01	NA
ENSMUSG00000025427	116.59782828	-0.0041213863	0.67335882	-0.0061206390	9.951165e-01	NA
ENSMUSG00000024268	451.16930230	-0.0558838328	0.61292672	-0.0911753908	9.273532e-01	9.987681e-01
ENSMUSG00000020734	49.26381078	0.7669692642	0.88134214	0.8702287482	3.841754e-01	NA
ENSMUSG00000032503	392.84647281	-0.1081258996	0.75842050	-0.1425672160	8.866320e-01	9.987681e-01
ENSMUSG00000039628	8.38730495	2.6057568457	1.09271878	2.3846545844	1.709516e-02	NA
ENSMUSG00000095079	646.08308166	5.6936019905	0.93201818	6.1088958460	1.003228e-09	3.578179e-08
ENSMUSG00000036815	98.03197692	0.3126067024	0.71229422	0.4388730031	6.607536e-01	NA
ENSMUSG00000019906	81.88424373	-0.1592273169	0.58581971	-0.2718025919	7.857738e-01	NA
ENSMUSG00000031097	11.58682507	-1.1198025170	1.33047184	-0.8416581869	3.999793e-01	NA
ENSMUSG00000033981	773.55355384	-0.2414875806	0.58987290	-0.4093891727	6.822541e-01	9.987681e-01
ENSMUSG00000085599	8.48663381	-1.8369917752	1.37705694	-1.3339984128	1.822044e-01	NA
ENSMUSG00000102958	9.46834288	-1.4326845846	1.43547809	-0.9980539570	3.182532e-01	NA
ENSMUSG00000086503	13833.45343776	-0.8388925608	2.65423435	-0.3160582110	7.519583e-01	9.987681e-01
ENSMUSG00000106018	3.13207784	0.1822338413	1.24693227	0.1461457413	8.838063e-01	NA
ENSMUSG00000000982	66.00159250	-0.5370277602	1.29592862	-0.4143960950	6.785840e-01	NA
ENSMUSG00000027748	23.02147381	-1.7094132670	0.86318185	-1.9803628559	4.766277e-02	NA
ENSMUSG00000087516	10.60380436	-2.5902360053	1.29061896	-2.0069719102	4.475265e-02	NA
ENSMUSG00000040026	8.78691967	-1.5052864377	0.88384449	-1.7031123184	8.854705e-02	NA
ENSMUSG00000027438	458.60435698	-0.2845689829	0.52295087	-0.5441600694	5.863313e-01	9.987681e-01
ENSMUSG00000030222	19.19898779	1.2017468678	0.86789427	1.3846696624	1.661535e-01	NA
ENSMUSG00000078117	12.28742000	-1.4072959193	0.92868897	-1.5153576339	1.296819e-01	NA
ENSMUSG00000090291	24.10308443	0.4748862447	0.87657129	0.5417542740	5.879878e-01	NA
ENSMUSG00000032511	35.78428929	1.1702041097	0.76339405	1.5328965500	1.253013e-01	NA
ENSMUSG00000052581	78.46141355	-0.1160206627	0.64115576	-0.1809555013	8.564025e-01	NA
ENSMUSG00000086712	6.58179849	0.5478623904	1.19889035	0.4569745612	6.476893e-01	NA
ENSMUSG00000082163	15.58575287	-1.2169359606	1.33142778	-0.9140082395	3.607125e-01	NA
ENSMUSG00000049741	7.04054114	-0.5126505301	1.58865040	-0.3226956232	7.469258e-01	NA
ENSMUSG00000067219	7.68831965	3.5889805268	1.47614225	2.4313243037	1.504374e-02	NA
ENSMUSG00000045034	21.81871875	0.1060199660	0.75563510	0.1403057720	8.884184e-01	NA
ENSMUSG00000095134	55.27544172	-0.7854873494	0.69758912	-1.1260028607	2.601643e-01	NA
ENSMUSG00000088576	16.84219290	-0.8088621719	1.45030606	-0.5577182613	5.770368e-01	NA
ENSMUSG00000008489	74.20014005	-0.7316847683	0.57818915	-1.2654764836	2.057006e-01	NA
ENSMUSG00000020950	96.79789916	0.1285058084	0.69659809	0.1844762583	8.536399e-01	NA
ENSMUSG00000051054	3.47908047	-1.8718996126	1.33748249	-1.3995694362	1.616423e-01	NA
ENSMUSG00000040640	254.65258013	-0.3500786803	0.54926225	-0.6373616304	5.238893e-01	NA
ENSMUSG00000028003	46.35543374	-0.9997142433	1.23732590	-0.8079635666	4.191116e-01	NA
ENSMUSG00000036564	1702.21307673	-0.1106565922	0.54426087	-0.2033153552	8.388886e-01	9.987681e-01
ENSMUSG00000105526	7.91463821	-0.5666305845	1.01177398	-0.5600367222	5.754544e-01	NA
ENSMUSG00000097072	14.42332720	-2.5768701711	1.34893549	-1.9102990459	5.609472e-02	NA
ENSMUSG00000031144	1098.86649304	0.0518169523	0.52959705	0.0978422215	9.220576e-01	9.987681e-01
ENSMUSG00000009394	518.60205052	-0.3003724944	0.49389130	-0.6081753147	5.430712e-01	9.987681e-01
ENSMUSG00000021700	309.27514646	0.0882092621	0.76769078	0.1149020724	9.085227e-01	NA
ENSMUSG00000045573	109.87272197	0.0170338251	0.78432778	0.0217177378	9.826731e-01	NA
ENSMUSG00000024479	125.53939121	-0.0379199087	0.58759288	-0.0645343228	9.485448e-01	NA
ENSMUSG00000054976	57.58271489	-0.7407738913	0.55528457	-1.3340437261	1.821895e-01	NA
ENSMUSG00000006435	289.14180467	0.1502212998	0.61780645	0.2431526887	8.078871e-01	NA
ENSMUSG00000084235	6.70213549	-0.1181213897	1.62628945	-0.0726324518	9.420986e-01	NA
ENSMUSG00000031137	84.50614254	-0.3246559868	0.59365638	-0.5468752592	5.844644e-01	NA
ENSMUSG00000030518	85.32753993	0.1005145759	0.58413603	0.1720739193	8.633794e-01	NA
ENSMUSG00000102902	2.83977333	0.6856074158	1.37035655	0.5003131597	6.168546e-01	NA
ENSMUSG00000047485	44.35787782	0.2057411503	0.72446045	0.2839922467	7.764163e-01	NA
ENSMUSG00000036062	333.09310973	-0.1762989540	0.54711449	-0.3222341156	7.472753e-01	9.987681e-01
ENSMUSG00000025658	345.49545797	-0.3376734619	0.49206224	-0.6862413670	4.925609e-01	9.987681e-01
ENSMUSG00000019992	6.27193776	-2.3336334721	1.41235387	-1.6523008359	9.847324e-02	NA
ENSMUSG00000023903	9.25521494	0.6031535490	1.04513466	0.5771060631	5.638678e-01	NA
ENSMUSG00000061911	293.15603822	-0.2380727708	0.54024744	-0.4406735792	6.594493e-01	NA
ENSMUSG00000063388	13.76749099	1.9252648706	1.52580765	1.2618005063	2.070206e-01	NA
ENSMUSG00000032500	86.07688293	1.1143186266	0.74679935	1.4921258634	1.356662e-01	NA
ENSMUSG00000075478	164.62940689	-0.2648442375	0.53345194	-0.4964725380	6.195611e-01	NA
ENSMUSG00000052479	5.48852518	0.2634911076	1.01401753	0.2598486723	7.949805e-01	NA
ENSMUSG00000105663	11.68783743	-0.4244523278	0.99990960	-0.4244907030	6.712080e-01	NA
ENSMUSG00000029055	149.93832057	1.0052485908	0.76192109	1.3193605008	1.870486e-01	NA
ENSMUSG00000024353	21.75065444	3.3612293790	1.13832526	2.9527846621	3.149216e-03	NA
ENSMUSG00000031870	25.82279244	-0.7312063902	0.72352786	-1.0106126307	3.122019e-01	NA
ENSMUSG00000104851	26.42219132	-1.4562000942	1.21400520	-1.1995007038	2.303333e-01	NA
ENSMUSG00000027297	28.78946699	-0.4259332604	0.67969995	-0.6266489463	5.308894e-01	NA
ENSMUSG00000037771	53.37726103	-0.2291523732	0.76929185	-0.2978744328	7.657990e-01	NA
ENSMUSG00000105620	13.11296555	-0.2551995829	0.98379549	-0.2594030825	7.953243e-01	NA
ENSMUSG00000057060	26.77352660	0.3651612915	0.73250710	0.4985088762	6.181254e-01	NA
ENSMUSG00000021268	3853.75789928	-0.7149999174	0.64034297	-1.1165889977	2.641701e-01	9.987681e-01
ENSMUSG00000056553	270.11769983	-0.3022133537	0.53370695	-0.5662533552	5.712216e-01	NA
ENSMUSG00000102241	8.02888282	-1.7012700134	1.35364765	-1.2568041710	2.088246e-01	NA
ENSMUSG00000070880	207.42176120	-0.1957893560	0.63623242	-0.3077324410	7.582859e-01	NA
ENSMUSG00000021301	86.26628340	-0.0882425729	0.55779301	-0.1581994966	8.742996e-01	NA
ENSMUSG00000044703	8.55960311	2.6709599094	1.24397858	2.1471108581	3.178446e-02	NA
ENSMUSG00000033578	66.06353879	-0.2367357608	0.57888081	-0.4089542384	6.825732e-01	NA
ENSMUSG00000033060	296.87999723	-0.2628472176	0.48445360	-0.5425642808	5.874298e-01	NA
ENSMUSG00000028039	38.54103416	0.7434355147	0.73657943	1.0093080063	3.128269e-01	NA
ENSMUSG00000028836	6.31601989	-0.2647044332	1.05791448	-0.2502134508	8.024223e-01	NA
ENSMUSG00000029361	117.34636995	-0.2518073920	0.53331807	-0.4721523680	6.368180e-01	NA
ENSMUSG00000023473	179.67128914	-0.1389029696	0.56615781	-0.2453432017	8.061907e-01	NA
ENSMUSG00000034829	25.41581514	1.7876433228	1.48647222	1.2026079619	2.291281e-01	NA
ENSMUSG00000000318	11.42664921	0.2836134607	1.11062030	0.2553649179	7.984413e-01	NA
ENSMUSG00000032338	10.49416798	0.1137194805	0.99924180	0.1138057677	9.093918e-01	NA
ENSMUSG00000032053	21.07887897	3.8543410243	1.07365262	3.5899330406	3.307629e-04	NA
ENSMUSG00000105971	20.08458977	-1.7463964386	1.21387191	-1.4386991158	1.502358e-01	NA
ENSMUSG00000035277	15.78600967	-0.5524606616	1.10111434	-0.5017286971	6.158584e-01	NA
ENSMUSG00000042604	46.61039021	-0.4155881006	0.68307324	-0.6084092864	5.429161e-01	NA
ENSMUSG00000033615	416.37691604	0.2045920340	0.56845258	0.3599104671	7.189141e-01	9.987681e-01
ENSMUSG00000064339	3146.76648232	3.1904687879	1.11756828	2.8548311927	4.305971e-03	6.581984e-02
ENSMUSG00000038128	185.83567012	-0.1209150926	0.60855744	-0.1986913387	8.425042e-01	NA
ENSMUSG00000035270	41.41458634	2.7792107558	1.20089916	2.3142748805	2.065265e-02	NA
ENSMUSG00000034917	21.87471397	-0.7380278331	1.29980847	-0.5677973726	5.701726e-01	NA
ENSMUSG00000097532	15.08144479	-2.2321533177	1.26856476	-1.7595895733	7.847742e-02	NA
ENSMUSG00000063239	42.08094185	0.6247264045	0.73415314	0.8509483577	3.947980e-01	NA
ENSMUSG00000030729	351.00429789	-0.1331216240	0.49214689	-0.2704916475	7.867820e-01	9.987681e-01
ENSMUSG00000067028	17.25191384	0.5256109898	0.83193310	0.6317947827	5.275210e-01	NA
ENSMUSG00000097497	7.21176199	-2.4510147327	1.35774876	-1.8052049109	7.104262e-02	NA
ENSMUSG00000044067	68.95883136	-0.7430220346	0.54595725	-1.3609527740	1.735286e-01	NA
ENSMUSG00000025867	1722.28074563	0.3542962211	0.61043086	0.5804035253	5.616425e-01	9.987681e-01
ENSMUSG00000097444	4.94081548	-2.1901167229	1.47951428	-1.4802944110	1.387947e-01	NA
ENSMUSG00000019828	57.84522064	0.4036910770	0.64321150	0.6276179413	5.302543e-01	NA
ENSMUSG00000038692	7.91114392	-0.7279058201	1.44737963	-0.5029128525	6.150255e-01	NA
ENSMUSG00000005892	13.12727789	-1.0847832561	1.28798133	-0.8422352314	3.996563e-01	NA
ENSMUSG00000049281	148.83310579	-0.1983516784	0.55461949	-0.3576356083	7.206160e-01	NA
ENSMUSG00000040972	113.51917120	0.1808252920	0.57640572	0.3137118264	7.537399e-01	NA
ENSMUSG00000098318	4.76601481	0.7501139344	1.26059073	0.5950495422	5.518104e-01	NA
ENSMUSG00000103301	8.89397420	-2.0912422091	1.46048882	-1.4318782763	1.521787e-01	NA
ENSMUSG00000059456	796.08087388	-0.0398943700	0.51334237	-0.0777149368	9.380548e-01	9.987681e-01
ENSMUSG00000107148	8.39709601	-1.2839739891	1.36792509	-0.9386288747	3.479213e-01	NA
ENSMUSG00000025221	44.08367458	-0.0064024735	0.76876345	-0.0083282752	9.933551e-01	NA
ENSMUSG00000051111	108.01038804	0.4702745184	0.69144506	0.6801328750	4.964203e-01	NA
ENSMUSG00000007021	119.81693288	0.1331142318	0.55095364	0.2416069544	8.090847e-01	NA
ENSMUSG00000030854	147.62055224	-0.1123924791	0.77676308	-0.1446933850	8.849530e-01	NA
ENSMUSG00000036760	16.76822395	-1.5145658949	1.04147263	-1.4542541554	1.458759e-01	NA
ENSMUSG00000085816	6.89463032	-0.2240206940	1.52370045	-0.1470241043	8.831130e-01	NA
ENSMUSG00000021852	17.83974815	0.1340261297	0.95715772	0.1400251255	8.886401e-01	NA
ENSMUSG00000055567	461.70096717	-0.0370119589	0.53640688	-0.0689997846	9.449898e-01	9.987681e-01
ENSMUSG00000037126	274.80252932	0.4179443992	0.59846637	0.6983590342	4.849527e-01	NA
ENSMUSG00000004933	154.50127257	-0.5257608110	0.49373151	-1.0648718949	2.869339e-01	NA
ENSMUSG00000021730	66.46477057	0.8471594520	0.77917948	1.0872455918	2.769283e-01	NA
ENSMUSG00000032495	23.95991550	1.7890411241	1.09520326	1.6335242890	1.023588e-01	NA
ENSMUSG00000059187	42.22733093	-0.0963623263	0.63407614	-0.1519727993	8.792084e-01	NA
ENSMUSG00000027584	42.45669732	-0.7062051693	0.64238198	-1.0993539509	2.716137e-01	NA
ENSMUSG00000079157	125.50424860	0.2425093795	0.54882501	0.4418701288	6.585832e-01	NA
ENSMUSG00000016179	12.41634417	-1.1341763143	0.81117279	-1.3981932375	1.620550e-01	NA
ENSMUSG00000036095	274.06455021	-0.4373678600	0.46992130	-0.9307257527	3.519954e-01	NA
ENSMUSG00000102992	11.95641781	-1.4658625547	1.39539267	-1.0505018306	2.934874e-01	NA
ENSMUSG00000035681	79.23766629	0.0641668674	0.56927064	0.1127176821	9.102544e-01	NA
ENSMUSG00000027568	5.50622674	-0.8451358594	1.07413366	-0.7868069771	4.313949e-01	NA
ENSMUSG00000102257	12.42813424	-2.5467476061	1.29040611	-1.9736016322	4.842706e-02	NA
ENSMUSG00000097545	289.82060431	0.9038263873	0.78230601	1.1553361118	2.479528e-01	NA
ENSMUSG00000038917	11.26671277	-1.6399394783	1.25238735	-1.3094506900	1.903817e-01	NA
ENSMUSG00000079550	61.90203006	2.2975443227	1.25684319	1.8280278304	6.754537e-02	NA
ENSMUSG00000063142	332.64456125	-0.1391266782	0.50154738	-0.2773948862	7.814769e-01	NA
ENSMUSG00000103596	14.75538031	-1.8170154832	1.13807655	-1.5965670245	1.103623e-01	NA
ENSMUSG00000073008	5.84403454	-1.6120748251	1.45415104	-1.1086020542	2.676019e-01	NA
ENSMUSG00000030226	352.47934512	0.1274570665	0.56166756	0.2269261681	8.204812e-01	9.987681e-01
ENSMUSG00000102508	9.09356284	0.6446313693	1.02388686	0.6295923824	5.289613e-01	NA
ENSMUSG00000002068	22.59701452	0.1670840415	0.70959171	0.2354650431	8.138478e-01	NA
ENSMUSG00000047692	8.03454323	-0.5634011124	1.49890181	-0.3758759313	7.070091e-01	NA
ENSMUSG00000071753	40.18119669	-1.2796904957	0.69611977	-1.8383194282	6.601535e-02	NA
ENSMUSG00000097672	11.75045161	-2.2790757808	1.39873898	-1.6293789029	1.032328e-01	NA
ENSMUSG00000105542	9.63029351	-1.3233155106	1.30657289	-1.0128141467	3.111489e-01	NA
ENSMUSG00000103613	7.02078760	-1.9991035257	1.35913497	-1.4708646133	1.413277e-01	NA
ENSMUSG00000105461	7.36076371	-1.9188016254	1.49908501	-1.2799818611	2.005515e-01	NA
ENSMUSG00000074968	77.07537960	0.3549379849	0.64531148	0.5500258321	5.823017e-01	NA
ENSMUSG00000019775	86.65593311	-0.3455906513	0.49737040	-0.6948355803	4.871583e-01	NA
ENSMUSG00000029304	1331.21366836	-0.7227252264	1.14166314	-0.6330459497	5.267036e-01	9.987681e-01
ENSMUSG00000031391	209.74410229	-0.1680683598	0.47944192	-0.3505499860	7.259260e-01	NA
ENSMUSG00000060924	262.02212349	-0.5422873703	0.52648267	-1.0300194219	3.030009e-01	NA
ENSMUSG00000104708	6.98284665	-1.8497293052	1.39496190	-1.3260070446	1.848374e-01	NA
ENSMUSG00000048758	652.23778834	2.3233847334	0.83316385	2.7886288230	5.293169e-03	7.079614e-02
ENSMUSG00000058925	10.53808971	-1.2914697736	1.32227534	-0.9767026115	3.287164e-01	NA
ENSMUSG00000085201	2.65268312	1.0063079989	1.41186511	0.7127508065	4.760000e-01	NA
ENSMUSG00000048895	386.18520906	-0.1248739988	0.47358813	-0.2636763701	7.920293e-01	9.987681e-01
ENSMUSG00000027221	397.80993468	-0.0417865617	0.50318753	-0.0830437155	9.338168e-01	9.987681e-01
ENSMUSG00000064147	8.21468502	-0.2642119712	1.22801719	-0.2151533158	8.296478e-01	NA
ENSMUSG00000105708	6.25022200	1.4842696953	1.32317153	1.1217515314	2.619681e-01	NA
ENSMUSG00000064330	11.93562882	1.9102240425	1.43964093	1.3268753319	1.845499e-01	NA
ENSMUSG00000046167	147.09695941	-0.5038617920	1.20557398	-0.4179434875	6.759884e-01	NA
ENSMUSG00000004031	159.37322259	-0.4997974754	0.47818457	-1.0451978378	2.959315e-01	NA
ENSMUSG00000044641	25.84492959	2.5060265548	0.99566377	2.5169405790	1.183788e-02	NA
ENSMUSG00000031409	48.23707688	-0.0144214515	0.62661321	-0.0230149180	9.816384e-01	NA
ENSMUSG00000043498	65.62036100	0.3545868343	0.65435421	0.5418882165	5.878955e-01	NA
ENSMUSG00000086495	8.18734386	-1.3297067828	1.35647910	-0.9802633775	3.269561e-01	NA
ENSMUSG00000090118	7.76468467	-1.7380117703	1.35094924	-1.2865115319	1.982646e-01	NA
ENSMUSG00000039372	27.14278062	-1.1416473337	0.74679422	-1.5287308127	1.263312e-01	NA
ENSMUSG00000068428	16.04657727	-1.2283193176	1.19077132	-1.0315325043	3.022912e-01	NA
ENSMUSG00000017723	5.46772771	-1.4018710358	1.45985734	-0.9602794708	3.369146e-01	NA
ENSMUSG00000003872	28.24455539	-0.7659197943	0.64097388	-1.1949313661	2.321138e-01	NA
ENSMUSG00000070304	371.83866180	0.1514341000	0.51583305	0.2935719244	7.690850e-01	9.987681e-01
ENSMUSG00000022375	7.51989308	-1.0188199253	0.97835852	-1.0413564195	2.977102e-01	NA
ENSMUSG00000094840	7.72070897	0.7630558086	0.90336039	0.8446859292	3.982862e-01	NA
ENSMUSG00000008193	11.16953305	1.7543524336	0.92351677	1.8996432945	5.747995e-02	NA
ENSMUSG00000024673	4.19387067	1.8087478068	1.44526832	1.2514962003	2.107535e-01	NA
ENSMUSG00000084088	4.04823014	-1.2085510749	1.51400528	-0.7982475962	4.247268e-01	NA
ENSMUSG00000029755	5.45547097	-0.6086265907	1.25975428	-0.4831311932	6.290026e-01	NA
ENSMUSG00000037541	374.18488663	0.1076239014	0.49795467	0.2161319230	8.288849e-01	9.987681e-01
ENSMUSG00000024524	382.31719200	0.1759077663	0.52217061	0.3368779503	7.362089e-01	9.987681e-01
ENSMUSG00000034799	527.75773282	-0.1332164877	0.46495597	-0.2865141997	7.744843e-01	9.987681e-01
ENSMUSG00000022829	155.90169346	0.0777527479	0.51478583	0.1510390202	8.799449e-01	NA
ENSMUSG00000082931	9.32202753	-1.9377464569	1.28394138	-1.5092172309	1.312433e-01	NA
ENSMUSG00000044024	119.02162011	-0.1119406522	0.51003478	-0.2194765074	8.262789e-01	NA
ENSMUSG00000039717	38.40502575	-0.4821102987	0.67400730	-0.7152894363	4.744302e-01	NA
ENSMUSG00000099759	14.70707313	-0.8246893920	1.30068288	-0.6340433962	5.260525e-01	NA
ENSMUSG00000049148	37.54841836	0.1366259165	0.68920069	0.1982382165	8.428587e-01	NA
ENSMUSG00000034584	11.72997410	-0.4050699780	0.89454159	-0.4528240838	6.506754e-01	NA
ENSMUSG00000087624	5.16873912	-1.1279646253	1.45907480	-0.7730684046	4.394819e-01	NA
ENSMUSG00000026787	175.39227958	-0.0348938706	0.78123415	-0.0446650605	9.643743e-01	NA
ENSMUSG00000064329	150.34958438	0.2401145865	0.57437245	0.4180468388	6.759129e-01	NA
ENSMUSG00000003469	440.93462506	-0.0338966057	0.47091670	-0.0719800456	9.426178e-01	9.987681e-01
ENSMUSG00000040412	66.88429124	-0.9096548517	0.70342496	-1.2931796654	1.959489e-01	NA
ENSMUSG00000040797	275.76538039	-0.1233302755	0.54238120	-0.2273867087	8.201231e-01	NA
ENSMUSG00000083856	3.94567103	-1.2230335667	1.54343411	-0.7924106102	4.281213e-01	NA
ENSMUSG00000034472	91.32982879	0.3328579826	0.69689784	0.4776280855	6.329149e-01	NA
ENSMUSG00000045009	50.94650792	-0.0973418401	0.60837495	-0.1600030389	8.728787e-01	NA
ENSMUSG00000106905	14.40993305	0.9813076692	0.83963788	1.1687272542	2.425135e-01	NA
ENSMUSG00000034098	36.02454992	-0.6513996489	0.56617130	-1.1505345649	2.499238e-01	NA
ENSMUSG00000038026	113.36514065	-0.4573478107	0.56232100	-0.8133215889	4.160337e-01	NA
ENSMUSG00000043388	210.46381352	-1.0853417478	0.62405729	-1.7391700387	8.200486e-02	NA
ENSMUSG00000064337	2613.83239972	3.1384877981	1.07836137	2.9104230708	3.609398e-03	6.436760e-02
ENSMUSG00000027559	22.09543276	0.4356790442	1.06018434	0.4109464986	6.811118e-01	NA
ENSMUSG00000103092	20.27576742	-0.1208706304	1.03107277	-0.1172280308	9.066794e-01	NA
ENSMUSG00000046480	101.60036086	0.4601286468	0.67048745	0.6862598994	4.925492e-01	NA
ENSMUSG00000021613	22.92319739	0.3792339467	0.69696054	0.5441254190	5.863552e-01	NA
ENSMUSG00000014813	9.18610057	-2.1118524803	0.94084890	-2.2446244939	2.479225e-02	NA
ENSMUSG00000021848	24.06423384	0.1738447245	1.40049267	0.1241311206	9.012115e-01	NA
ENSMUSG00000091002	17.15977022	0.4050267776	0.80338070	0.5041529833	6.141539e-01	NA
ENSMUSG00000001986	450.70392671	-0.3628025298	0.48480951	-0.7483403790	4.542549e-01	9.987681e-01
ENSMUSG00000090293	25.59985119	-0.7639584211	1.19446800	-0.6395804840	5.224454e-01	NA
ENSMUSG00000028546	92.43154715	-0.1550982826	0.52204156	-0.2970994942	7.663906e-01	NA
ENSMUSG00000083183	17.98349355	-2.2669162372	1.22986336	-1.8432260905	6.529601e-02	NA
ENSMUSG00000029245	197.03586280	0.0674794003	0.48726061	0.1384872882	8.898553e-01	NA
ENSMUSG00000102359	5.29814931	-1.1914737618	1.45256849	-0.8202530706	4.120719e-01	NA
ENSMUSG00000083796	28.16284411	-2.1424126472	1.11723123	-1.9176089922	5.516061e-02	NA
ENSMUSG00000058975	178.94955531	-0.1189753221	0.52734913	-0.2256101607	8.215046e-01	NA
ENSMUSG00000075316	21.84026497	-2.5382476028	1.09446166	-2.3191745332	2.038557e-02	NA
ENSMUSG00000035202	5219.05646618	2.8654400200	1.10144021	2.6015393181	9.280643e-03	9.930288e-02
ENSMUSG00000097929	26.46022449	-0.8105998230	0.64921777	-1.2485792359	2.118190e-01	NA
ENSMUSG00000022269	7.67749689	-1.0841477086	0.89235580	-1.2149276248	2.243937e-01	NA
ENSMUSG00000024403	348.78784870	0.0030380705	0.49291220	0.0061635124	9.950823e-01	9.987681e-01
ENSMUSG00000025855	752.99946951	-0.0007940633	0.51430795	-0.0015439453	9.987681e-01	9.987681e-01
ENSMUSG00000025738	1018.87837328	0.2504765481	0.50931709	0.4917890154	6.228685e-01	9.987681e-01
ENSMUSG00000037492	32.16790537	0.2788304210	0.76494263	0.3645115477	7.154761e-01	NA
ENSMUSG00000031138	16.73999310	0.2066253315	1.40316431	0.1472566899	8.829294e-01	NA
ENSMUSG00000097399	12.60027618	-0.5088568445	1.32391336	-0.3843581156	7.007130e-01	NA
ENSMUSG00000072688	7.89411610	0.0982358598	1.24738570	0.0787533961	9.372288e-01	NA
ENSMUSG00000073779	10.54120038	-0.0185817955	0.91111246	-0.0203946235	9.837286e-01	NA
ENSMUSG00000086499	8.96374975	-0.8379077781	1.45417981	-0.5762064458	5.644756e-01	NA
ENSMUSG00000050377	16.13057918	-0.2073814985	1.08944008	-0.1903560397	8.490301e-01	NA
ENSMUSG00000042425	4.80817175	0.0472300525	1.12008676	0.0421664233	9.663660e-01	NA
ENSMUSG00000062393	10.28333985	-3.1047157683	1.25132831	-2.4811360325	1.309644e-02	NA
ENSMUSG00000104200	8.97800376	-2.5092526568	1.44340104	-1.7384306864	8.213495e-02	NA
ENSMUSG00000094226	8.72892808	-0.7715383528	1.37157269	-0.5625209364	5.737611e-01	NA
ENSMUSG00000084390	35.12868366	-2.6296815509	1.12853093	-2.3301811989	1.979658e-02	NA
ENSMUSG00000098202	15.30774365	-0.8044060613	0.83841537	-0.9594362003	3.373390e-01	NA
ENSMUSG00000092103	23.14467506	-1.7646307717	1.13187301	-1.5590359956	1.189879e-01	NA
