gene_id	gene_name
ENSMUSG00000086496	Gm14204
ENSMUSG00000086499	Gm16217
ENSMUSG00000086503	Xist
ENSMUSG00000086544	Chn1os3
ENSMUSG00000086712	AI427809
ENSMUSG00000086719	Gm16275
ENSMUSG00000086739	Gm4409
ENSMUSG00000086820	Gm11465
ENSMUSG00000086826	Gm11739
ENSMUSG00000086933	4933426K07Rik
ENSMUSG00000086997	Gm12981
ENSMUSG00000087012	Gm13113
ENSMUSG00000087050	Dhrs13os
ENSMUSG00000087326	Gm12503
ENSMUSG00000087349	Gm12680
ENSMUSG00000087439	Gm15788
ENSMUSG00000087481	Gm15608
ENSMUSG00000087516	Tbx3os1
ENSMUSG00000087579	1500017E21Rik
ENSMUSG00000087593	Gm16174
ENSMUSG00000087606	Gm16121
ENSMUSG00000087624	9230111E07Rik
ENSMUSG00000087644	Gm14703
ENSMUSG00000087700	Gm15283
ENSMUSG00000088576	Gm24532
ENSMUSG00000089663	Gm15651
ENSMUSG00000089672	Gp49a
ENSMUSG00000089901	Gm8113
ENSMUSG00000090001	Gm9719
ENSMUSG00000090061	Nwd2
ENSMUSG00000090063	Dlx6os1
ENSMUSG00000090066	1110002E22Rik
ENSMUSG00000090071	Cdk5r2
ENSMUSG00000090118	Gm16163
ENSMUSG00000090255	4921534H16Rik
ENSMUSG00000090264	Eif4ebp3
ENSMUSG00000090291	Lrrc10b
ENSMUSG00000090293	Gm17034
ENSMUSG00000090546	Cdr1
ENSMUSG00000090675	Olfr111
ENSMUSG00000090706	Gm17233
ENSMUSG00000090778	Gm3235
ENSMUSG00000091002	Tcerg1l
ENSMUSG00000091154	Proscos
ENSMUSG00000091387	Gcnt4
ENSMUSG00000091510	Mtag2
ENSMUSG00000091530	Cldn20
ENSMUSG00000091556	Gm14569
ENSMUSG00000091570	Gm7707
ENSMUSG00000091575	2010016I18Rik
ENSMUSG00000091730	Gm17230
ENSMUSG00000091922	Gm17409
ENSMUSG00000091993	B930036N10Rik
ENSMUSG00000092051	Gm17229
ENSMUSG00000092103	Gm17039
ENSMUSG00000092182	Gm20407
ENSMUSG00000092183	4930515G01Rik
ENSMUSG00000092268	Gm20540
ENSMUSG00000092325	Gm18284
ENSMUSG00000092448	Gm20387
ENSMUSG00000092604	Gm20508
ENSMUSG00000092617	Gm8412
ENSMUSG00000093402	Gm18588
ENSMUSG00000093436	Gm20646
ENSMUSG00000093536	Smim17
ENSMUSG00000093540	4930505M18Rik
ENSMUSG00000093628	Gm20616
ENSMUSG00000093758	Gm20701
ENSMUSG00000094226	Gm21759
ENSMUSG00000094286	Gm12424
ENSMUSG00000094626	Cecr6
ENSMUSG00000094840	Muc3a
ENSMUSG00000094910	D430019H16Rik
ENSMUSG00000095040	1700001J03Rik
ENSMUSG00000095079	Igha
ENSMUSG00000095134	Gm21857
ENSMUSG00000095306	Gm21807
ENSMUSG00000095651	Gm21817
ENSMUSG00000096146	Kcnj11
ENSMUSG00000096351	Samd11
ENSMUSG00000096847	Tmem151b
ENSMUSG00000096870	Gm21816
ENSMUSG00000097053	Gm1972
ENSMUSG00000097072	Foxl2os
ENSMUSG00000097162	2310010J17Rik
ENSMUSG00000097265	Gm26803
ENSMUSG00000097305	Gm17276
ENSMUSG00000097344	Gm26732
ENSMUSG00000097381	A230087F16Rik
ENSMUSG00000097387	4930563E18Rik
ENSMUSG00000097391	Mirg
ENSMUSG00000097399	Gm26555
ENSMUSG00000097429	Gm26520
ENSMUSG00000097430	Gm10544
ENSMUSG00000097444	Gm10489
ENSMUSG00000097451	Rian
ENSMUSG00000097497	Gm26652
ENSMUSG00000097502	4930528D03Rik
ENSMUSG00000097523	1700022N22Rik
ENSMUSG00000097532	Gm4349
ENSMUSG00000097545	Mir124a-1hg
ENSMUSG00000097619	4833422M21Rik
ENSMUSG00000097636	5830416P10Rik
ENSMUSG00000097672	Gm26609
ENSMUSG00000097767	Miat
ENSMUSG00000097899	Gm16894
ENSMUSG00000097914	Gm26838
ENSMUSG00000097915	A330009N23Rik
ENSMUSG00000097929	Tunar
ENSMUSG00000097997	Gm27017
ENSMUSG00000098051	Gm27032
ENSMUSG00000098202	B830012L14Rik
ENSMUSG00000098318	1190002F15Rik
ENSMUSG00000098322	5830468F06Rik
ENSMUSG00000098620	Gm27209
ENSMUSG00000099016	Gm27227
ENSMUSG00000099170	5730403I07Rik
ENSMUSG00000099472	Gm29539
ENSMUSG00000099703	Gm28285
ENSMUSG00000099759	1700030C10Rik
ENSMUSG00000100815	Gm29112
ENSMUSG00000100929	Gm28064
ENSMUSG00000101191	Gm28809
ENSMUSG00000101304	Plet1os
ENSMUSG00000101439	Gm336
ENSMUSG00000101452	Gm28530
ENSMUSG00000101587	Gm29036
ENSMUSG00000101827	Gm28686
ENSMUSG00000102037	Bcl2a1a
ENSMUSG00000102241	Gm37716
ENSMUSG00000102243	Gm37718
ENSMUSG00000102257	Gm37649
ENSMUSG00000102312	Pcdha3
ENSMUSG00000102359	Gm38351
ENSMUSG00000102449	Gm37100
ENSMUSG00000102508	Gm37367
ENSMUSG00000102607	Gm37265
ENSMUSG00000102619	Gm37849
ENSMUSG00000102651	Gm37080
ENSMUSG00000102665	Gm38379
ENSMUSG00000102697	Pcdhac2
ENSMUSG00000102700	Gm38312
ENSMUSG00000102709	Gm38308
ENSMUSG00000102816	Gm37814
ENSMUSG00000102827	Gm8242
ENSMUSG00000102876	Gm37136
ENSMUSG00000102895	5830415G21Rik
ENSMUSG00000102902	Gm38263
ENSMUSG00000102938	Gm38112
ENSMUSG00000102951	Gm37216
ENSMUSG00000102958	Gm37016
ENSMUSG00000102992	Gm37766
ENSMUSG00000102994	Gm37767
ENSMUSG00000103092	Pcdha5
ENSMUSG00000103129	Gm37393
ENSMUSG00000103192	Gm37645
ENSMUSG00000103201	Gm37329
ENSMUSG00000103216	Gm37248
ENSMUSG00000103255	Pcdhac1
ENSMUSG00000103301	Gm37804
ENSMUSG00000103310	Pcdha12
ENSMUSG00000103320	Gm37403
ENSMUSG00000103403	Gm37931
ENSMUSG00000103546	Gm37666
ENSMUSG00000103560	Gm38070
ENSMUSG00000103596	Gm37354
ENSMUSG00000103613	Gm34882
ENSMUSG00000103694	Gm37530
ENSMUSG00000103738	Gm37652
ENSMUSG00000103751	Gm37283
ENSMUSG00000103999	Gm38026
ENSMUSG00000104108	Gm37876
ENSMUSG00000104122	Gm37482
ENSMUSG00000104149	Gm37138
ENSMUSG00000104159	Gm38099
ENSMUSG00000104178	Gm9916
ENSMUSG00000104200	Gm37399
ENSMUSG00000104210	Gm37984
ENSMUSG00000104272	Gm38297
ENSMUSG00000104284	Gm10862
ENSMUSG00000104493	Gm19552
ENSMUSG00000104540	RP24-302O2.1
ENSMUSG00000104581	RP23-378C15.2
ENSMUSG00000104597	RP24-68G17.4
ENSMUSG00000104705	RP24-456F12.1
ENSMUSG00000104708	RP23-151C5.3
ENSMUSG00000104851	RP24-496C22.5
ENSMUSG00000104874	Gm16520
ENSMUSG00000104912	RP23-15G1.3
ENSMUSG00000105003	RP23-1B20.2
ENSMUSG00000105224	RP24-496C22.4
ENSMUSG00000105461	RP24-461L18.3
ENSMUSG00000105500	RP23-120C8.5
ENSMUSG00000105526	RP24-220P21.4
ENSMUSG00000105542	RP23-441I24.4
ENSMUSG00000105553	RP23-293K21.8
ENSMUSG00000105620	RP23-187D22.11
ENSMUSG00000105663	RP24-296L6.1
ENSMUSG00000105676	RP24-380C2.2
ENSMUSG00000105708	RP23-148G12.3
ENSMUSG00000105717	RP23-434L7.5
ENSMUSG00000105789	RP23-246L14.3
ENSMUSG00000105826	RP23-41J13.2
ENSMUSG00000105846	RP23-333I5.5
ENSMUSG00000105906	Iglc1
ENSMUSG00000105966	RP24-409P22.1
ENSMUSG00000105971	RP23-372C7.8
ENSMUSG00000105983	RP23-140B23.1
ENSMUSG00000106004	RP24-152F23.2
ENSMUSG00000106018	RP24-176M3.1
ENSMUSG00000106106	Rn18s-rs5
ENSMUSG00000106121	RP23-63A19.3
ENSMUSG00000106133	RP23-451E8.2
ENSMUSG00000106290	RP24-349N15.4
ENSMUSG00000106291	RP23-477N9.1
ENSMUSG00000106490	RP24-488I7.2
ENSMUSG00000106646	RP24-231P10.5
ENSMUSG00000106710	RP23-445H19.1
ENSMUSG00000106773	RP23-105O12.2
ENSMUSG00000106775	RP23-124H2.4
ENSMUSG00000106905	RP23-42M8.5
ENSMUSG00000106943	Snora26
ENSMUSG00000107105	Gm15820
ENSMUSG00000107148	RP23-114M24.1
ENSMUSG00000107216	RP23-353L10.2
ENSMUSG00000107226	RP24-248M2.5
ENSMUSG00000107306	RP23-382I10.2
ENSMUSG00000107358	RP23-4H14.1
