Majority protein IDs	sample 5	sample 6	sample 7	sample 8	sample 9	sample 10	sample 11	sample 12	sample 13	sample 15	sample 16	sample 17	sample 18	sample 19	sample 20
P41183	NA	NA	NA	24.216	NA	NA	NA	NA	NA	NA	NA	23.869	24.8	NA	25.067
P41216	28.607	28.303	28.239	27.881	28.498	28.342	28.189	27.837	28.812	28.276	28.133	28.633	28.762	28.705	28.165
P41230;P41230-2;P41230-3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.806	NA	NA
P41241	31.797	32.089	32.012	32.149	31.687	32.152	31.791	32.216	31.818	31.937	32.295	32.089	32.176	32.01	32.235
P41242-3;P41242;P41242-2	23.405	NA	24.456	NA	NA	23.792	24.233	NA	NA	24.13	NA	23.792	23.769	24.661	NA
P41971	NA	NA	25.001	NA	NA	NA	NA	NA	NA	23.903	24.096	NA	NA	24.366	NA
P42082-2;P42082	NA	NA	NA	NA	22.619	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P42125	30.028	30.344	31.011	30.988	29.743	30.471	31.179	30.998	29.853	30.981	31.234	29.907	30.826	31.431	31.418
P42128	28.315	28.189	28.218	28.417	27.789	28.09	28.112	28.394	27.651	28.435	28.453	28.287	28.35	28.36	28.736
P42208	29.319	29.248	29.389	29.263	29.92	29.367	29.408	29.099	29.208	29.124	29.215	29.535	28.944	29.081	29.225
P42209	30.826	30.976	31.252	30.904	30.725	30.836	30.983	30.984	30.692	31.22	31.041	31.24	31.145	31.26	31.201
P42225	31.3	31.547	32.186	31.49	31.235	31.501	31.782	31.594	31.269	32.021	31.716	31.266	31.428	31.848	31.497
P42227;P42227-2	29.703	30.141	30.305	30.359	29.751	30.292	30.199	30.476	29.916	30.259	30.443	29.787	30.011	30.142	30.11
P42227-3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.253	NA	NA	NA	NA
P42228	NA	27.631	27.518	28.923	NA	28	26.49	29.097	NA	27.298	29.373	NA	28.213	27.293	29.267
P42230	28.964	29.312	29.3	29.267	29.067	29.33	29.344	29.47	29.191	29.351	29.461	29.102	29.388	29.238	29.367
P42232	27.301	27.466	27.854	27.856	27.44	27.426	27.758	27.722	27.608	27.949	27.819	27.452	27.903	27.703	27.867
P42337	24.742	24.098	NA	23.589	25.168	NA	24.101	NA	25.409	24.977	25.124	26.052	25.748	24.993	24.829
P42567;P42567-2	29.163	29.299	30.16	29.184	29.168	29.335	29.83	29.255	29.439	29.901	29.27	29.252	29.366	30.036	29.117
P42669	29.18	29.192	29.679	29.264	28.967	29.138	29.616	29.372	29.127	29.191	29.215	28.836	28.959	29.264	29.352
P42859;P42859-2	26.858	27.275	27.732	27.668	25.954	27.12	27.5	27.357	26.522	27.761	27.995	27.401	27.641	27.672	28.27
P42867	24.242	24.292	23.529	23.898	24.143	24.899	24.436	23.987	23.887	24.345	24.603	NA	NA	NA	NA
P42932	32.558	32.668	32.984	32.55	32.533	32.39	32.743	32.453	32.491	33.087	32.617	32.644	32.576	32.979	32.665
P43024	NA	NA	27.077	NA	26.811	NA	27.194	NA	27.457	28.155	27.93	NA	NA	24.937	NA
P43120	25.17	24.706	NA	24.898	25.371	25.201	NA	25.175	24.928	NA	25.034	25.306	25.093	24.227	25.512
P43247	30.318	29.857	29.003	29.355	30.252	29.71	28.937	29.29	30.167	29.297	29.46	30.327	29.864	28.978	29.391
P43274	35.794	35.591	34.456	35.81	36.193	35.482	34.676	35.819	35.909	34.881	35.245	35.924	36.021	35.131	36.116
P43275	34.858	34.594	32.67	34.532	34.928	34.626	33.069	34.613	35.01	32.693	33.996	34.844	34.821	32.96	34.542
P43276	37.029	36.349	34.968	36.435	36.617	36.337	35.139	36.407	35.774	35.074	35.583	36.929	36.887	35.575	37.021
P43277	38.113	38.14	37.052	38.241	38.417	38.014	37.465	38.384	37.262	36.765	37.016	37.81	38.236	37.483	38.588
P43300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.988	NA	NA	NA	NA
P43346	NA	26.403	26.063	26.224	26.225	26.184	26.147	26.066	26.493	26.144	26.275	26.256	26.029	NA	26.182
P43404	NA	NA	23.006	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.899	NA
P43406	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.222	22.849	NA	22.898
P45376	32.553	32.67	33.53	33.062	32.578	32.76	33.261	32.955	32.525	33.312	32.922	32.534	32.129	33.049	32.899
P45481	28.174	28.115	27.829	28.073	28.086	28.044	27.962	27.897	28.418	27.903	28.069	28.212	28.263	28.043	28.079
P45591	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.886	23.867	23.552	NA	NA
P45700	27.6	28.024	27.779	28.208	27.371	27.943	27.527	28.252	27.798	27.702	28.505	27.178	27.257	27.497	27.936
P45878	29.067	28.675	28.113	28.261	28.61	28.272	27.465	28.098	29.106	27.313	28.307	29.111	28.31	27.857	27.658
P45952	29.335	29.447	29.766	29.634	29.441	29.436	29.584	29.552	29.395	29.512	29.593	29.544	29.557	29.726	29.739
P46061	30.1	30.161	30.18	29.975	30.046	30.14	30.168	30.047	30.114	30.42	29.985	30.306	30.399	30.35	30.158
P46062	30.119	30.53	31.124	30.73	30.043	30.609	30.655	30.509	29.827	30.525	30.683	30.211	30.708	30.798	30.966
P46414	28.623	28.212	27.875	28.281	28.315	27.989	27.618	28.541	28.361	28.008	28.628	28.62	28.461	27.801	28.704
P46460	30.927	31.023	31.482	31.229	30.803	30.892	31.321	31.158	30.926	31.525	31.363	31.104	31.259	31.552	31.426
P46467	29.345	29.414	29.387	29.428	29.242	29.495	29.46	29.472	29.474	29.495	29.426	29.549	29.595	29.653	29.721
P46471	31.209	31.014	31.155	30.791	31.024	30.815	30.904	30.652	31.133	31.075	30.898	31.234	30.951	31.138	30.807
P46638	31.888	31.847	31.549	31.576	31.708	31.736	31.519	31.744	31.654	31.559	31.527	31.381	31.662	31.505	31.725
P46656	NA	NA	23.604	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P46662-2;P46662	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.011	NA
P46664	29.485	29.355	29.565	28.9	29.704	29.173	29.469	29.121	29.665	29.371	28.919	29.488	29.094	29.097	28.575
P46718	24.966	24.936	24.707	25.047	24.725	24.798	24.961	NA	25.169	24.895	24.957	24.545	24.507	24.978	24.336
P46737;P46737-2	27.559	27.932	28.008	27.854	27.464	27.792	28.087	27.57	27.795	27.901	28.166	27.827	27.696	27.881	27.776
P46935	28.57	28.238	28.485	NA	28.306	27.549	28.247	NA	27.931	28.317	NA	28.917	28.386	29.107	22.77
P46978	29.654	29.593	29.382	29.214	29.545	29.428	29.444	28.911	29.528	29.408	29.472	29.74	29.569	29.378	29.856
P47199	24.644	24.515	26.172	24.939	24.946	24.483	25.943	25.173	24.545	26.531	25.591	25.276	24.676	26.169	25.199
P47226-2;P47226	28.314	28.536	29.161	28.897	28.358	28.353	28.724	28.933	28.45	28.918	28.929	28.282	28.353	28.77	28.659
P47713	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.755	NA	23.92	NA
P47738	33.28	33.315	33.685	33.296	33.262	33.292	33.657	33.236	33.345	33.601	33.24	33.321	33.398	33.856	33.292
P47740	28.894	29.089	29.515	29.481	29.042	29.078	29.436	29.327	29.094	29.686	29.663	29.385	29.641	29.899	29.902
P47753	30.489	30.683	31.134	30.722	30.806	31.051	31.002	30.948	30.43	30.959	30.84	30.513	30.807	31.081	30.624
P47754	31.406	31.533	31.818	31.493	31.413	31.731	31.661	31.49	31.212	31.394	31.465	31.075	31.035	31.563	31.066
P47757	NA	NA	NA	NA	22.503	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P47757-2;P47757-4	32.361	32.544	32.817	32.716	32.407	32.454	32.613	32.654	32.374	32.848	32.781	32.415	32.176	32.664	32.718
P47758	29.454	28.858	28.576	28.638	29.306	29.049	28.694	28.508	29.599	28.612	28.492	29.348	28.935	28.819	28.63
P47791-2;P47791	25.713	26.439	27.308	27.181	26.131	26.302	27.391	27.328	26.691	27.725	27.824	26.592	26.676	27.696	27.268
P47802	28.138	28.218	27.951	27.768	27.989	28.106	28.237	27.642	28.131	27.988	27.885	28.224	28.218	28.327	28.13
P47809	27.842	27.6	27.663	27.494	27.382	27.489	27.489	27.645	27.68	27.543	27.372	27.39	27.463	27.53	27.652
P47810	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.673	NA	NA	NA
P47811;P47811-4;P47811-2	28.41	28.45	28.841	28.677	28.218	28.464	28.716	28.719	28.166	28.82	28.77	28.579	28.605	28.796	28.827
P47811-3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.486
P47856-2;P47856	28.479	28.206	29.198	28.599	27.602	28.215	28.868	28.609	28.424	29.082	28.597	28.282	28.085	28.895	28.611
P47857;P47857-2;P47857-3	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.399	NA	NA	NA	NA	NA
P47877	NA	NA	NA	NA	NA	24.851	24.601	NA	NA	NA	NA	NA	NA	NA	NA
P47911	32.797	32.693	32.94	32.655	32.648	32.602	32.862	32.648	32.374	32.793	32.412	32.689	32.49	32.916	32.699
P47915	29.639	30.233	30.237	30.479	29.168	30.073	29.667	29.857	29.774	30.216	29.975	30.382	30.461	30.107	30.613
P47934	24.613	24.814	25.807	26.147	NA	NA	25.635	26.005	NA	25.595	26.382	NA	23.97	25.708	26.271
P47936	24.651	24.081	NA	23.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P47941	29.351	29.393	29.399	29.304	29.996	29.482	29.31	29.372	29.416	29.541	29.672	29.775	29.605	29.545	29.442
P47955	26.356	27.147	26.51	26.672	26.096	27.384	27.394	27.584	26.782	28.333	27.545	26.099	26.906	26.054	25.354
P47962	31.757	31.52	32.069	31.506	31.385	31.631	31.803	31.509	31.205	31.53	31.043	31.296	31.096	31.899	31.563
P47963	30.831	31.381	31.844	31.39	30.852	30.851	31.231	31.564	31.279	31.972	31.494	31.728	31.614	31.798	31.487
P47964	29.386	29.623	29.824	29.796	28.951	29.353	29.393	28.498	29.359	30.133	29.342	29.457	29.301	29.641	29.585
P47968	29.572	29.895	29.132	29.318	29.602	29.793	28.715	29.576	29.678	28.843	29.443	30.006	29.936	29.155	29.473
P48024	29.27	29.675	29.6	29.803	29.448	29.692	29.512	29.814	29.484	29.636	29.771	29.637	29.468	29.45	29.858
P48025	32.711	32.901	32.767	32.569	32.78	32.813	32.536	32.557	32.686	32.734	32.87	32.82	32.262	32.385	32.59
P48036	29.49	30.196	30.984	31.43	29.411	30.088	30.913	31.574	29.417	30.757	31.133	29.311	29.884	30.835	31.236
P48193-2;P48193	27.936	28.535	28.293	29.513	27.702	28.414	28.295	29.319	27.731	28.194	29.288	27.9	28.423	28.395	29.675
P48377	28.32	28.333	27.899	28.365	28.079	28.3	27.883	28.29	28.076	27.857	28.29	28.137	28.539	28	28.615
P48381	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.424	NA	NA	NA
P48410	27.888	27.823	27.468	27.809	27.724	27.622	27.535	27.464	27.99	27.477	27.777	28.037	27.946	27.383	27.961
P48428	28.661	29.182	29.622	29.644	29.339	29.141	29.801	29.792	29.438	29.688	29.577	28.161	28.889	29.514	28.662
P48437	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25.011	NA	NA	NA	NA
P48441	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.203	NA
P48453-2;P48453	26.976	27.166	27.642	27.503	27.226	27.432	27.576	27.609	27.43	27.684	27.454	27.393	27.757	27.689	27.738
P48455	NA	NA	24.65	25.354	NA	NA	NA	25.326	NA	NA	25.101	NA	24.62	25.476	25.61
P48678;P48678-2;P48678-3	25.548	26.037	25.171	26.88	25.803	25.432	25.33	26.414	26.349	26.603	27.78	25.197	26.268	25.942	27.183
P48722;P48722-2	27.541	27.108	25.423	26.759	27.257	27.052	NA	26.402	27.231	25.377	26.867	27.696	27.19	24.881	26.306
P48725;P48725-3;P48725-2	28.662	28.845	28.118	28.929	28.227	28.684	27.74	28.728	28.476	28.116	28.858	28.682	29.071	28.446	29.51
P48758	29.675	29.576	30.34	29.975	29.721	29.587	30.203	30.096	29.375	30.227	29.621	29.749	29.506	30.18	29.584
P48760-2;P48760-5;P48760-4;P48760;P48760-3	NA	NA	22.262	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P48771	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.041	NA
P48962	30.293	30.105	30.846	29.787	30.301	30.312	31.215	29.798	30.547	31.035	29.921	30.292	30.551	31.411	29.652
P49070	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.788	NA
P49117	28.335	28.048	27.149	27.873	28.032	27.773	27.119	27.78	27.975	27.419	27.719	28.311	28.157	27.357	28.118
P49135	26.952	27.201	27.491	27.123	26.919	27.181	27.602	27.359	26.939	27.731	27.358	27.054	27.284	27.785	27.424
P49138	27.985	27.746	27.908	28.125	27.559	27.757	27.725	28.088	27.644	27.993	28.205	28.025	28.15	28.078	28.164
P49282-2;P49282;P49282-3;P49282-4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.926	NA	NA	NA
P49290	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.202	NA	NA
P49300	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.112	NA	NA	NA	NA	NA
P49312;P49312-2	33.473	33.639	33.474	33.346	33.496	33.582	33.188	33.178	33.132	33.338	33.292	32.949	32.757	32.884	32.297
P49442	26.145	26.497	26.358	27.366	26.463	27.05	26.908	27.619	27.069	26.928	27.348	26.71	27.352	27.069	27.36
P49443	28.522	28.37	28.535	28.409	27.939	28.364	28.088	28.513	28.045	28.174	28.112	28.375	28.188	27.985	28.366
P49446-3;P49446-2;P49446	23.929	24.384	24.928	24.508	NA	24.788	24.807	24.834	24.574	24.327	24.526	24.244	24.558	25.026	24.122
P49452	27.684	27.579	26.722	27.191	27.643	27.594	26.337	27.235	27.837	26.654	27.415	27.718	27.772	27.076	27.215
P49586	27.222	26.713	26.081	25.933	27.185	26.89	25.677	26.211	26.924	26.016	25.957	27.376	26.543	25.883	25.806
P49615	26.795	27.062	27.794	27.293	27.055	27.022	27.694	27.329	26.704	27.64	27.142	27.025	27.018	27.758	27.13
P49710	32.427	32.631	33.04	32.679	32.806	32.76	32.838	32.615	32.393	32.493	32.245	32.676	32.514	32.944	32.825
P49717	31.466	30.671	29.747	29.009	31.425	30.496	29.46	28.934	31.337	29.766	28.844	31.375	30.323	29.635	28.69
P49718	31.958	31.007	29.817	29.014	31.951	30.522	29.563	28.422	31.969	30.153	28.96	32.234	30.91	29.993	29.043
P49722	30.183	30.965	31.659	31.036	30.954	30.967	31.304	31.177	30.691	31.443	31.313	30.504	30.199	30.786	29.928
P49769;P49769-2	23.237	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P49935	27.769	28.922	28.81	29.263	27.897	28.847	28.91	29.586	27.667	28.527	29.171	27.506	28.842	29.09	29.222
P49962	28.003	28.02	27.827	27.738	27.45	27.619	27.496	27.638	27.805	27.71	27.687	27.426	27.279	27.675	27.522
P50096	NA	24.978	25.305	25.592	NA	24.79	25.492	25.401	24.794	25.7	26.1	24.905	25.31	25.989	26.052
P50136	25.266	25.267	25.677	24.961	24.621	25.358	25.203	NA	24.954	25.432	25.178	24.819	25.201	25.444	24.24
P50171;P50171-2	27.751	27.514	28.757	27.783	27.559	27.672	28.747	27.751	27.372	28.915	28.04	28.026	27.835	29.124	28.355
P50172	NA	NA	NA	24.379	NA	NA	NA	24.41	NA	NA	NA	NA	NA	NA	NA
P50247	32.94	33.104	33.806	33.638	32.794	32.997	33.765	33.573	32.675	33.837	33.633	32.943	32.999	33.741	33.761
P50295	27.925	28.088	27.898	27.929	28.069	27.881	27.849	28.063	28.122	28.048	28.304	28.157	28.211	27.923	27.989
P50396	28.991	29.264	29.548	29.456	29.02	29.053	29.355	29.61	29.346	29.225	29.562	29.15	29.159	29.356	29.3
P50427	28.291	27.897	26.917	27.847	28.186	27.781	26.777	27.912	28.178	27.041	28.089	28.813	28.597	27.383	28.622
P50429-2;P50429	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.256	NA	NA	NA	NA	NA
P50431	28.534	28.396	28.405	27.471	28.898	28.383	28.653	27.57	29.074	28.788	28.089	28.588	28.237	28.579	27.349
P50516;P50516-2	30.455	30.626	30.361	30.097	30.39	30.364	29.963	30.111	30.197	30.24	30.248	30.452	30.418	30.082	30.13
P50518	28.488	28.787	28.703	28.387	28.6	28.7	28.462	28.699	28.268	28.551	28.705	28.942	29.062	28.603	28.681
P50543	26.681	27.132	27.089	27.35	26.237	27.998	28.54	28.352	27.084	27.885	27.618	26.626	26.566	28.339	27.892
P50544	30.001	29.854	30.157	30.164	29.69	29.589	30.099	29.903	29.829	30.345	30.322	30.127	30.135	30.388	30.279
P50580	32.042	31.721	32.068	31.03	32.013	31.649	31.68	31.366	31.653	31.727	31	32.089	31.564	31.879	31.228
P50580-2	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.016	NA	NA	NA	NA	NA
P50637	NA	26.913	27.244	NA	NA	NA	27.112	27.412	NA	27.434	27.461	NA	NA	NA	NA
P51125-2;P51125;P51125-3;P51125-6;P51125-7	29.457	29.703	29.836	30.082	29.438	29.835	29.801	30.28	29.399	29.529	30.157	29.417	29.705	29.712	30.101
P51150	31.615	31.584	31.538	31.528	31.428	31.499	31.181	31.394	31.287	31.321	31.477	31.635	31.928	31.564	31.682
P51163	25.141	25.143	26.5	25.206	25.123	25.313	25.95	25.179	24.497	25.783	24.79	25.758	25.052	26.298	25.447
P51174	31.062	31.116	31.44	31.16	30.859	31.103	31.447	31.259	31.083	31.309	31.441	31.021	31.204	31.474	31.309
P51175	27.75	27.811	28.253	27.751	27.826	27.77	28.024	27.716	27.891	27.985	27.955	27.969	27.848	28.049	27.745
P51410	31.035	31.256	31.658	31.156	30.842	31.027	31.19	30.803	30.519	31.48	31.182	30.666	30.738	31.082	30.881
P51432	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25.095	NA	NA	NA
P51569	NA	NA	24.076	NA	NA	NA	NA	NA	23.526	NA	NA	23.668	24.197	23.695	22.872
P51612	27.171	27.356	27.54	27.175	26.86	27.14	27.474	27.192	26.904	27.506	27.13	27.29	27.289	27.495	27.316
P51660	29.463	29.255	29.39	29.046	29.284	29.041	29.104	28.81	29.298	29.212	29.071	29.46	29.207	29.38	29.244
P51675	NA	NA	21.798	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P51791;P51791-2	25.557	NA	24.655	24.943	24.301	24.843	NA	NA	25.897	24.332	24.203	25.352	25.147	24.952	24.574
P51807	25.872	25.852	25.875	25.33	NA	25.843	25.212	25.179	26.206	25.886	NA	26.185	25.709	25.228	NA
P51827;P51827-2	26.167	25.984	25.01	25.094	25.69	25.69	NA	NA	25.936	24.635	25.562	26.358	25.973	NA	25.948
P51829	NA	24.991	24.928	24.927	24.208	25.066	25.269	25.315	NA	25.313	25.709	24.619	24.813	25.502	24.814
P51855	25.936	26.096	26.806	26.42	24.124	25.98	26.758	26.628	26.487	27.086	26.436	26.421	26.623	27.172	26.673
P51859	31.904	31.9	32.095	32.12	31.9	31.94	31.988	32.018	31.873	31.968	31.895	32.011	31.832	31.994	32.043
P51863	27.167	27.738	27.239	27.853	27.147	27.552	26.98	27.487	27.557	28.078	28.072	27.684	28.188	27.661	28.248
P51881	34.036	34.043	34.324	33.535	33.665	33.715	34.121	33.465	34.173	34.122	33.778	34.222	34.399	34.326	33.895
P51908	25.139	NA	NA	24.421	25.32	24.159	NA	NA	25.144	NA	NA	25.004	24.665	NA	NA
P51912	27.868	26.905	25.877	26.164	27.85	26.897	25.675	26.224	28.162	25.845	26.61	28.283	27.502	26.21	26.769
P51949	25.83	26.225	26.544	25.989	25.579	26.292	26.43	25.901	26.164	27.115	26.472	26.5	26.549	27.049	26.635
P51954	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.293	23.337	23.135
P52196	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.373	NA	24.338	NA	NA	NA
P52293	24.832	25.188	25.824	24.987	23.849	24.339	24.812	23.965	24.983	26.069	24.875	25.783	25.439	25.538	25.178
P52332	28.398	28.678	28.18	28.989	28.175	28.831	28.252	28.87	28.595	28.261	29.149	28.408	28.752	28.195	29.077
P52431	30.714	30.52	29.869	30.329	30.68	30.467	29.805	30.516	30.606	29.972	30.603	31.108	31.035	30.159	30.849
P52432	25.666	26.694	27.324	27.056	26.123	26.574	27.426	26.877	26.348	28.009	27.441	26.747	27.318	28.032	27.371
P52479-2;P52479	26.539	26.318	26.311	26.274	26.535	26.352	26.376	26.305	26.651	26.046	26.523	26.786	26.528	26.218	26.527
P52480	33.639	33.781	34.778	34.108	33.925	33.944	34.587	34.156	34.024	34.723	34.17	33.763	33.754	34.567	33.615
P52480-2	25.668	NA	26.837	NA	NA	NA	NA	26.666	NA	NA	NA	NA	NA	26.93	NA
P52482	26.918	26.376	26.567	26.309	26.595	26.714	26.24	26.558	26.773	26.478	26.559	26.732	26.699	26.504	26.464
P52483;Q91W82	24.536	NA	23.683	NA	NA	NA	NA	NA	24.532	NA	NA	NA	NA	NA	NA
P52503	28.944	28.361	28.856	28.843	28.481	28.715	28.64	28.089	28.766	28.558	28.319	28.603	28.964	28.633	29.198
P52623	27.82	27.826	28.449	28.615	27.615	27.864	28.074	28.254	27.541	28.228	28.029	27.782	27.901	28.183	28.338
P52633	28.926	29.509	29.843	29.563	28.958	29.433	29.398	29.58	28.751	29.209	29.565	28.568	29.066	29.375	29.125
P52760	26.763	27.263	28.736	27.622	26.552	27.281	28.413	27.797	26.385	28.52	27.605	27.061	27.207	28.621	27.466
P52825	28.67	28.76	29.077	28.821	28.603	28.76	29.08	28.779	28.857	29.266	28.954	29.118	29.172	29.409	29.27
P52875	26.244	25.826	25.305	25.527	26.247	25.651	25.305	25.411	26.279	25.508	25.967	26.281	26.176	25.823	25.77
P52912	26.985	26.604	26.214	26.049	27.047	26.319	26.065	26.11	26.653	26.445	26.287	27.062	26.234	26.18	26.528
P53026	31.835	31.726	32.563	31.856	31.806	31.761	32.209	31.755	31.709	32.244	31.85	32.168	31.936	32.249	31.956
P53349	24.554	25.008	24.605	25.401	25.43	24.967	NA	NA	25.125	24.35	24.841	27.085	25.755	24.43	26.196
P53395	28.628	28.688	29.246	28.856	28.533	28.687	29.273	29.022	28.572	29.104	28.649	28.448	28.485	29.067	29.013
P53564;P53564-2;P53564-4	29.062	27.602	26.25	26.283	28.424	27.244	25.996	26.009	28.87	26.424	26.472	29.067	27.903	26.27	26.53
P53564-3	24.087	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P53569;P53569-2	26.517	27.292	27.844	27.029	26.912	27	27.97	27.266	27.14	28.263	27.463	27.156	27.43	28.324	27.54
P53612	NA	NA	24.193	24.016	NA	24.284	24.714	NA	NA	24.841	23.748	24.34	24.39	24.608	24.495
P53668	NA	NA	23.57	NA	NA	NA	NA	NA	NA	23.028	NA	NA	NA	NA	NA
P53702	26.754	26.545	27.021	26.718	26.27	26.502	26.539	26.529	27.022	26.987	27.037	26.652	26.549	26.523	26.362
P53762-2;P53762	25.119	24.751	NA	24.56	NA	24.718	24.732	NA	24.818	24.668	24.511	25.181	24.821	NA	24.26
P53808	NA	25.359	26.689	25.538	NA	25.762	26.6	25.965	NA	26.24	25.279	25.338	25.368	26.172	25.543
P53810	30.516	30.939	31.173	31.247	30.638	30.842	30.842	31.347	30.34	31.115	31.332	30.598	30.9	31.016	31.297
P53811	27.827	27.571	26.808	26.733	27.163	27.068	26.575	26.861	27.433	27.063	26.908	27.693	27.338	26.694	26.366
P53986	28.324	26.56	23.851	NA	28.61	26.401	NA	24.446	28.03	25.077	24.712	28.147	26.654	25.202	24.774
P53994	30.113	30.302	30.19	30.417	30.097	30.184	30.179	30.513	30.155	30.053	30.398	30.159	30.381	30.467	30.447
P53995	28.132	27.992	27.87	27.744	27.8	27.948	27.9	27.665	28.224	28.005	28.026	28.162	27.976	28.006	28.024
P53996	NA	NA	24.845	24.958	NA	NA	24.713	25.442	25.373	25.014	NA	24.883	24.912	NA	NA
P53996-2;P53996-3	29.986	30.163	29.72	29.748	30.066	29.993	29.923	30.274	29.797	29.85	29.714	30.046	29.438	29.722	29.848
P54071	31.747	31.195	30.459	30.177	31.28	30.996	30.3	29.854	31.358	30.347	30.187	31.738	31.202	30.503	30.348
P54099	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.074	NA
P54103	28.768	28.722	28.666	28.516	28.608	28.482	28.341	28.34	28.897	28.56	28.41	28.918	28.617	28.466	28.466
P54116	24.207	NA	25.31	NA	NA	NA	24.9	NA	25.354	26.155	NA	24.79	24.225	25.574	NA
P54227	31.574	30.102	27.747	25.149	31.147	29.711	27.104	26.964	31.096	27.881	26.907	31.759	29.986	27.931	27.087
P54254	NA	NA	25.151	NA	NA	NA	25.509	NA	NA	25.279	NA	NA	NA	25.41	NA
P54276	30.314	29.94	28.973	29.383	30.181	29.861	28.979	29.245	30.2	29.143	29.3	30.356	29.979	28.989	29.458
P54279	24.879	24.713	24.704	NA	NA	NA	25.008	NA	24.635	24.925	24.352	24.346	24.392	24.621	NA
P54310-2;P54310	27.402	27.333	27.819	27.479	27.435	27.56	27.726	27.697	27.561	27.98	27.688	27.857	27.858	27.926	27.951
P54726	27.617	27.903	27.673	28.243	27.111	27.868	28.051	28.342	28.045	28.295	28.149	27.668	27.851	27.666	28.231
P54728	30.278	30.423	30.813	30.225	30.397	30.478	31.18	30.326	30.531	30.994	30.411	30.318	30.399	30.734	30.369
P54729	28.959	29.214	29.684	29.194	28.932	29.172	29.195	29.111	28.858	29.405	29.364	28.789	29.046	29.438	29.188
P54731	27.513	27.215	27.383	27.091	27.523	27.148	27.247	26.739	27.643	27.139	27.213	27.583	27.585	27.274	27.349
P54751	24.999	24.268	NA	24.182	24.679	NA	NA	NA	23.871	NA	24.361	24.804	23.963	NA	24.336
P54775	30.778	30.658	30.632	30.537	30.729	30.656	30.609	30.438	30.802	30.704	30.427	30.755	30.549	30.558	30.355
P54797	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.607	NA	NA	25.424
P54822	29.918	30.365	31.402	30.74	30.333	30.399	31.093	30.846	30.184	31.335	30.88	30.036	30.285	30.951	30.241
P54823	30.967	30.992	30.498	30.883	30.892	30.865	30.36	30.947	30.73	30.341	30.771	30.979	30.913	30.572	30.896
P54923	29.979	30.044	30.34	29.935	29.676	29.824	30.013	29.731	29.771	30.358	30.05	30.023	29.884	30.308	30.068
P55096	25.971	25.788	26.136	25.534	25.942	25.276	25.882	24.021	26.277	26.352	26.23	26.591	26.248	26.114	25.769
P55098	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.729
P55194	27.221	27.789	29.207	28.179	27.409	27.982	28.987	28.349	27.07	29.094	28.32	27.41	28.098	29.278	28.573
P55200-2;P55200	26.855	26.733	26.404	27.303	26.512	26.669	26.505	26.734	26.889	27.12	27.415	27.596	27.586	27.097	28.139
P55258	29.806	29.924	29.337	29.737	29.609	29.873	29.619	29.928	30.165	29.566	30.17	30.179	30.327	29.453	30.422
P55264;P55264-2	30.007	29.418	29.919	29.842	29.393	29.449	29.838	29.858	29.461	29.976	29.48	29.688	29.242	29.794	29.48
