ENSP00000354687	YP_003024026	P03886	ENST00000361390
ENSP00000590220			ENST00000920161
ENSP00000239449	NP_061757	Q9Y5E9	ENST00000239449
ENSP00000491877			ENST00000639072
ENSP00000590221			ENST00000920162
ENSP00000485055		Q9Y5E9	ENST00000624896
ENSP00000450878			ENST00000553329
ENSP00000498373			ENST00000651260
ENSP00000485074			ENST00000624396
ENSP00000452224			ENST00000554560
ENSP00000417039			ENST00000448925
ENSP00000485504			ENST00000623671
ENSP00000424878			ENST00000508538
ENSP00000451455			ENST00000556661
ENSP00000451047			ENST00000553676
ENSP00000427246			ENST00000510617
ENSP00000231173	NP_061758	Q9Y5E8	ENST00000231173
ENSP00000301452	NP_597999	Q8TDN7	ENST00000301452
ENSP00000424520			ENST00000510481
ENSP00000483471	NP_004468	Q14331	ENST00000620886
ENSP00000425276			ENST00000506876
ENSP00000357574		Q8IYW2	ENST00000368585
ENSP00000489189	NP_001336215	Q99933	ENST00000634734
ENSP00000489189	NP_004314	Q99933	ENST00000634734
ENSP00000485342			ENST00000624356
ENSP00000345270	NP_002400	Q09327	ENST00000341184
ENSP00000312709	NP_005633	Q15545	ENST00000313368
ENSP00000394239	NP_001373931	Q92802	ENST00000446957
ENSP00000394239	NP_001373930	Q92802	ENST00000446957
ENSP00000394239	NP_001307765	Q92802	ENST00000446957
ENSP00000485309			ENST00000507501
ENSP00000501483			ENST00000674456
ENSP00000485510		Q15545	ENST00000624761
ENSP00000416226			ENST00000429402
ENSP00000485145			ENST00000506962
ENSP00000239451	NP_114153	Q9BXI2	ENST00000239451
ENSP00000408075			ENST00000418314
ENSP00000486096			ENST00000625559
ENSP00000525390			ENST00000855331
ENSP00000425547			ENST00000504020
ENSP00000525391			ENST00000855332
ENSP00000525392			ENST00000855333
ENSP00000501358			ENST00000674272
ENSP00000525393			ENST00000855334
ENSP00000486212			ENST00000627466
ENSP00000501390			ENST00000674422
ENSP00000525394	NP_001091740		ENST00000855335
ENSP00000590290			ENST00000920231
ENSP00000501432	NP_001374094		ENST00000674452
ENSP00000590291			ENST00000920232
ENSP00000501505			ENST00000674384
ENSP00000369026	NP_001336228	Q99933	ENST00000379704
ENSP00000369026	NP_001165886	Q99933	ENST00000379704
ENSP00000265572	NP_000903	P41145	ENST00000265572
ENSP00000487528			ENST00000627980
ENSP00000423362			ENST00000505213
ENSP00000500765	NP_001305426		ENST00000673285
ENSP00000322649	NP_001308227	Q8N5S1	ENST00000321510
ENSP00000322649	NP_775908	Q8N5S1	ENST00000321510
ENSP00000369029			ENST00000379707
ENSP00000428231			ENST00000522508
ENSP00000489401			ENST00000473464
ENSP00000345772	NP_003205	Q99594	ENST00000338863
ENSP00000430923	NP_001269833	P41145	ENST00000524278
ENSP00000471238		Q8N5S1	ENST00000597558
ENSP00000424885			ENST00000503015
ENSP00000419092			ENST00000473781
ENSP00000267068	NP_001374154	Q92802	ENST00000267068
ENSP00000267068	NP_001374032	Q92802	ENST00000267068
ENSP00000267068	NP_001374036	Q92802	ENST00000267068
ENSP00000267068	NP_001374037	Q92802	ENST00000267068
ENSP00000267068	NP_001374009	Q92802	ENST00000267068
ENSP00000267068	NP_001374011	Q92802	ENST00000267068
ENSP00000267068	NP_001374030	Q92802	ENST00000267068
ENSP00000267068	NP_001374031	Q92802	ENST00000267068
ENSP00000267068	NP_055702	Q92802	ENST00000267068
ENSP00000501516		Q92802	ENST00000674349
ENSP00000406155			ENST00000420700
ENSP00000492431	NP_001382143		ENST00000639578
ENSP00000429706		P41145	ENST00000520287
ENSP00000501533	NP_001374010		ENST00000674428
ENSP00000417576			ENST00000488499
ENSP00000405411		Q8N5S1	ENST00000458275
ENSP00000395823			ENST00000425028
ENSP00000501518		Q92802	ENST00000674421
ENSP00000424261	NP_006598	Q9NZH5	ENST00000504686
ENSP00000501416		Q92802	ENST00000674465
ENSP00000501427			ENST00000674297
ENSP00000432481	NP_005458	Q9Y3Q0	ENST00000534061
ENSP00000501321	NP_001374028		ENST00000674180
ENSP00000501321	NP_001374029		ENST00000674180
ENSP00000501321	NP_001374012		ENST00000674180
ENSP00000501321	NP_001374152		ENST00000674180
ENSP00000501419			ENST00000674480
ENSP00000501387	NP_001374034		ENST00000674377
ENSP00000501437	NP_001382153		ENST00000674437
ENSP00000501454	NP_001374033		ENST00000674327
ENSP00000501535			ENST00000674196
ENSP00000433710			ENST00000527493
ENSP00000501541			ENST00000674399
ENSP00000501526			ENST00000674163
ENSP00000501537		Q92802	ENST00000674484
ENSP00000259523			ENST00000259523
ENSP00000320083	NP_001287859		ENST00000321955
ENSP00000493139			ENST00000641252
ENSP00000435249			ENST00000525171
ENSP00000429441			ENST00000517291
ENSP00000554243			ENST00000884184
ENSP00000554244	NP_001374153		ENST00000884185
ENSP00000554245	NP_001373988		ENST00000884186
ENSP00000365111		Q9Y3Q0	ENST00000375944
ENSP00000554246	NP_001373989		ENST00000884187
ENSP00000554246	NP_001374035		ENST00000884187
ENSP00000554247			ENST00000884188
ENSP00000616987	NP_001374008		ENST00000946928
ENSP00000516666			ENST00000706946
ENSP00000435670			ENST00000526637
ENSP00000616988			ENST00000946929
ENSP00000512565	NP_001382354		ENST00000696331
ENSP00000486753			ENST00000625420
ENSP00000486409			ENST00000627975
ENSP00000499182			ENST00000651626
ENSP00000485837		Q8N307	ENST00000625274
ENSP00000493145			ENST00000641036
ENSP00000376582	NP_001317076		ENST00000392837
ENSP00000376582	NP_001338295		ENST00000392837
ENSP00000376582	NP_001338290		ENST00000392837
ENSP00000376582	NP_001317075		ENST00000392837
ENSP00000376582	NP_001317074		ENST00000392837
ENSP00000367207		P01106	ENST00000377970
ENSP00000479947	NP_001269435	Q8N307	ENST00000610415
ENSP00000430235	NP_001341799	P01106	ENST00000524013
ENSP00000447801			ENST00000550215
ENSP00000454848		Q6ZRR7	ENST00000254271
ENSP00000376583	NP_001338296	Q9NVN3	ENST00000392839
ENSP00000376583	NP_001338291	Q9NVN3	ENST00000392839
ENSP00000376583	NP_001338292	Q9NVN3	ENST00000392839
ENSP00000376583	NP_060627	Q9NVN3	ENST00000392839
ENSP00000492825			ENST00000639026
ENSP00000447701			ENST00000548914
ENSP00000478544			ENST00000619358
ENSP00000350032	NP_001305265	Q9P2Q2	ENST00000357447
ENSP00000350032	NP_001305266	Q9P2Q2	ENST00000357447
ENSP00000350032	NP_060497	Q9P2Q2	ENST00000357447
ENSP00000315180	NP_001274112	P41235	ENST00000316673
ENSP00000315180	NP_787110	P41235	ENST00000316673
ENSP00000347662	NP_001338293	Q9NVN3	ENST00000355478
ENSP00000476609	NP_001274113	P41235	ENST00000609795
ENSP00000476609	NP_001025175	P41235	ENST00000609795
ENSP00000492700			ENST00000638310
ENSP00000448743			ENST00000552619
ENSP00000488764			ENST00000495956
ENSP00000480501			ENST00000610875
ENSP00000396216	NP_001274111	P41235	ENST00000457232
ENSP00000396216	NP_001025174	P41235	ENST00000457232
ENSP00000481502	NP_001991	P24071	ENST00000622157
ENSP00000450396			ENST00000549643
ENSP00000264546			ENST00000264546
ENSP00000478887	NP_002458	P01106	ENST00000621592
ENSP00000476310			ENST00000609262
ENSP00000516742		P01106	ENST00000707113
ENSP00000484589			ENST00000614052
ENSP00000312987	NP_001245284	P41235	ENST00000316099
ENSP00000312987	NP_000448	P41235	ENST00000316099
ENSP00000499105		P01106	ENST00000652288
ENSP00000516743		P01106	ENST00000707114
ENSP00000516744		P01106	ENST00000707115
ENSP00000435301		Q9NVN3	ENST00000462949
ENSP00000516745		P01106	ENST00000707116
ENSP00000423382	NP_001245378	Q9NZM6	ENST00000508638
ENSP00000487974			ENST00000632570
ENSP00000454748		Q6ZRR7	ENST00000445360
ENSP00000260229	NP_071405	Q9H306	ENST00000260229
ENSP00000493790	NP_001342201		ENST00000647410
ENSP00000436359		Q9NVN3	ENST00000470960
ENSP00000424725	NP_001287850	Q9NZM6	ENST00000508883
ENSP00000481668	NP_579807	P24071	ENST00000618287
ENSP00000481668	NP_579806	P24071	ENST00000618287
ENSP00000468394			ENST00000591738
ENSP00000464118			ENST00000546449
ENSP00000457773	NP_001382577		ENST00000570145
ENSP00000388060		Q9NZM6	ENST00000414094
ENSP00000427737			ENST00000523256
ENSP00000483437		P24071	ENST00000613663
ENSP00000479039		P24071	ENST00000616969
ENSP00000425513	NP_001245377	Q9NZM6	ENST00000502810
ENSP00000457559			ENST00000568404
ENSP00000488325			ENST00000477221
ENSP00000482273	NP_579803	P24071	ENST00000611943
ENSP00000494624			ENST00000644811
ENSP00000497425			ENST00000650014
ENSP00000290431	NP_055201	Q9NZM6	ENST00000290431
ENSP00000497228			ENST00000650137
ENSP00000430989			ENST00000521645
ENSP00000492091			ENST00000640906
ENSP00000307126	NP_996801	Q6QHC5	ENST00000305631
ENSP00000497350			ENST00000649155
ENSP00000362011			ENST00000372920
ENSP00000423926			ENST00000511176
ENSP00000450637			ENST00000553834
ENSP00000497396			ENST00000649246
ENSP00000497342			ENST00000649099
ENSP00000410911	NP_849181	P41235	ENST00000443598
ENSP00000497361			ENST00000648400
ENSP00000497500			ENST00000649947
ENSP00000497182			ENST00000649423
ENSP00000412111	NP_849180	P41235	ENST00000415691
ENSP00000496794			ENST00000648761
ENSP00000506914			ENST00000682427
ENSP00000507189			ENST00000681977
ENSP00000507389			ENST00000684136
ENSP00000474863			ENST00000493380
ENSP00000507555			ENST00000684046
ENSP00000481767			ENST00000611409
ENSP00000507529			ENST00000684476
ENSP00000473870			ENST00000475141
ENSP00000296641	NP_004092	O00254	ENST00000296641
ENSP00000481331			ENST00000619550
ENSP00000426703	NP_001243495	O00254	ENST00000504899
ENSP00000507346			ENST00000682169
ENSP00000564519			ENST00000894460
ENSP00000516752			ENST00000707124
ENSP00000483402	NP_579805	P24071	ENST00000622543
ENSP00000297578	NP_110407	Q9H2D1	ENST00000297578
ENSP00000481230	NP_579808	P24071	ENST00000613685
ENSP00000481230	NP_579812	P24071	ENST00000613685
ENSP00000484141	NP_579811	P24071	ENST00000617964
ENSP00000430371			ENST00000523866
ENSP00000266087	NP_036311	Q9Y3I1	ENST00000266087
ENSP00000388547	NP_001028196	Q9Y3I1	ENST00000452138
ENSP00000321326	NP_001298242	P25116	ENST00000319211
ENSP00000321326	NP_001983	P25116	ENST00000319211
ENSP00000426398			ENST00000505600
ENSP00000425622			ENST00000514165
ENSP00000380571	NP_001244919	Q9Y3I1	ENST00000397426
ENSP00000404388			ENST00000444207
ENSP00000556581			ENST00000886522
ENSP00000297316	NP_071899	Q9H6I2	ENST00000297316
ENSP00000556582			ENST00000886523
ENSP00000556583			ENST00000886524
ENSP00000452066			ENST00000553778
ENSP00000590487			ENST00000920428
ENSP00000296677	NP_005233	P55085	ENST00000296677
ENSP00000489107	NP_001009181	P02808	ENST00000634727
ENSP00000480194			ENST00000612796
ENSP00000217173	NP_001254513	O94941	ENST00000217173
ENSP00000217173	NP_055763	O94941	ENST00000217173
ENSP00000489243	NP_003145	P02808	ENST00000635686
ENSP00000311726	NP_955447	O94941	ENST00000348031
ENSP00000431776			ENST00000524892
ENSP00000404364			ENST00000449731
ENSP00000566673			ENST00000896614
ENSP00000434304			ENST00000531183
ENSP00000435961			ENST00000529535
ENSP00000426194			ENST00000509189
ENSP00000298815	NP_001354874	A6NI28	ENST00000298815
ENSP00000298815	NP_689645	A6NI28	ENST00000298815
ENSP00000487329			ENST00000630037
ENSP00000473631	NP_006251	Q13217	ENST00000602402
ENSP00000215754	NP_002406	P14174	ENST00000215754
ENSP00000486533			ENST00000625407
ENSP00000365991			ENST00000376795
ENSP00000303999			ENST00000303130
ENSP00000373726	NP_001157914	A6NKW6	ENST00000389074
ENSP00000486629		O14647	ENST00000626874
ENSP00000550291			ENST00000880232
ENSP00000527291			ENST00000857232
ENSP00000426145			ENST00000506473
ENSP00000319414	NP_001276324	O00294	ENST00000322263
ENSP00000591445			ENST00000921386
ENSP00000431759	NP_001354814	Q96N23	ENST00000524981
ENSP00000431759	NP_001293013	Q96N23	ENST00000524981
ENSP00000550292			ENST00000880233
ENSP00000591446			ENST00000921387
ENSP00000515055			ENST00000700549
ENSP00000489857			ENST00000636932
ENSP00000605477			ENST00000935418
ENSP00000486926			ENST00000627622
ENSP00000486965			ENST00000628987
ENSP00000617299			ENST00000947240
ENSP00000426802	NP_001284574		ENST00000508024
ENSP00000490104	NP_001362583		ENST00000637698
ENSP00000229771	NP_003313	O00294	ENST00000229771
ENSP00000487299			ENST00000629346
ENSP00000508985	NP_001304929		ENST00000685023
ENSP00000617300			ENST00000947241
ENSP00000487577			ENST00000628375
ENSP00000509061			ENST00000693640
ENSP00000617301			ENST00000947242
ENSP00000492220			ENST00000638767
ENSP00000406581	NP_001036037	O14647	ENST00000420239
ENSP00000508544			ENST00000685234
ENSP00000617302			ENST00000947243
ENSP00000477534			ENST00000614066
ENSP00000515056			ENST00000700550
ENSP00000220676	NP_006260	P56715	ENST00000220676
ENSP00000510173			ENST00000692660
ENSP00000481715	NP_060876		ENST00000617056
ENSP00000453633			ENST00000560338
ENSP00000510268			ENST00000688107
ENSP00000486497			ENST00000629929
ENSP00000489520		P15516	ENST00000635585
ENSP00000510604			ENST00000688896
ENSP00000452636			ENST00000560763
ENSP00000515057			ENST00000700551
ENSP00000406765			ENST00000428978
ENSP00000490000			ENST00000637336
ENSP00000486906			ENST00000631180
ENSP00000382857		Q9Y5T5	ENST00000399975
ENSP00000449035			ENST00000550977
ENSP00000487427			ENST00000630258
ENSP00000486358			ENST00000627577
ENSP00000487090			ENST00000630616
ENSP00000377747	NP_001262	O14647	ENST00000394196
ENSP00000313699	NP_001092142	Q6MZM0	ENST00000315765
ENSP00000481518	NP_004523		ENST00000619175
ENSP00000374328	NP_001333460	Q5TGI0	ENST00000389677
ENSP00000374328	NP_001333461	Q5TGI0	ENST00000389677
ENSP00000374328	NP_001333462	Q5TGI0	ENST00000389677
ENSP00000374328	NP_001333459	Q5TGI0	ENST00000389677
ENSP00000374328	NP_115900	Q5TGI0	ENST00000389677
ENSP00000485890			ENST00000625990
ENSP00000339390	NP_817089	Q8IXH8	ENST00000348616
ENSP00000487412	NP_612154		ENST00000631146
ENSP00000515058			ENST00000700552
ENSP00000445267		Q5TGI0	ENST00000538471
ENSP00000360030			ENST00000370991
ENSP00000489537			ENST00000635125
ENSP00000486487			ENST00000626782
ENSP00000436435		Q96M83	ENST00000476558
ENSP00000500810	NP_000191	P15516	ENST00000672568
ENSP00000244049	NP_001335133	Q8IXH8	ENST00000244049
ENSP00000310845	NP_068582	Q8IXH8	ENST00000350849
ENSP00000407939			ENST00000456106
ENSP00000566826			ENST00000896767
ENSP00000508653			ENST00000688318
ENSP00000474949			ENST00000497812
ENSP00000486007			ENST00000625662
ENSP00000509657	NP_001284573		ENST00000691921
ENSP00000520685			ENST00000718240
ENSP00000370460	NP_005860	Q6UX04	ENST00000381070
ENSP00000489976			ENST00000637613
ENSP00000508557			ENST00000693303
ENSP00000489846			ENST00000636881
ENSP00000510176			ENST00000689574
ENSP00000412024	NP_001190981	O95847	ENST00000411689
ENSP00000510365			ENST00000688564
ENSP00000510578			ENST00000687314
ENSP00000486417			ENST00000625243
ENSP00000509052			ENST00000693660
ENSP00000515059			ENST00000628118
ENSP00000510726	NP_001351407		ENST00000692763
ENSP00000484221			ENST00000619077
ENSP00000486931			ENST00000630016
ENSP00000478507			ENST00000615622
ENSP00000509199			ENST00000692005
ENSP00000489198		P15515	ENST00000635569
ENSP00000360398	NP_001190980	O95847	ENST00000371347
ENSP00000360398	NP_004268	O95847	ENST00000371347
ENSP00000486391			ENST00000625463
ENSP00000430624	NP_001103685	Q9NSP4	ENST00000472374
ENSP00000509647			ENST00000607786
ENSP00000474781			ENST00000603486
ENSP00000510592			ENST00000506168
ENSP00000384814	NP_001291302		ENST00000404067
ENSP00000489767			ENST00000637789
ENSP00000474429			ENST00000604217
ENSP00000384731	NP_001291299		ENST00000402338
ENSP00000474828			ENST00000604127
ENSP00000489349	NP_001355919	P15515	ENST00000635327
ENSP00000489349	NP_002150	P15515	ENST00000635327
ENSP00000485681			ENST00000629104
ENSP00000228644	NP_005584	P13349	ENST00000228644
ENSP00000473804			ENST00000604616
ENSP00000334808	NP_001027582	Q9Y5T5	ENST00000334352
ENSP00000517944			ENST00000709929
ENSP00000361405	NP_004985	P14780	ENST00000372330
ENSP00000485982			ENST00000627460
ENSP00000483452	NP_004820		ENST00000610621
ENSP00000483452	NP_001138929		ENST00000610621
ENSP00000483452	NP_004820		ENST00000610621
ENSP00000517945	NP_001363829		ENST00000709930
ENSP00000517945	NP_001363829		ENST00000709930
ENSP00000568262			ENST00000898203
ENSP00000517946	NP_001297143		ENST00000709931
ENSP00000517946	NP_064612		ENST00000709931
ENSP00000517946	NP_064612		ENST00000709931
ENSP00000568263			ENST00000898204
ENSP00000480921			ENST00000618585
ENSP00000443299	NP_001161831	O60522	ENST00000544460
ENSP00000382855			ENST00000399973
ENSP00000277657	NP_001021554	Q96M83	ENST00000277657
ENSP00000215980	NP_076958	Q9NSP4	ENST00000215980
ENSP00000346065	NP_001010870	O60522	ENST00000316081
ENSP00000397165			ENST00000450697
ENSP00000355078	NP_659460	Q96M83	ENST00000362006
ENSP00000384743	NP_001291300	Q9NSP4	ENST00000407253
ENSP00000384743	NP_001002876	Q9NSP4	ENST00000407253
ENSP00000382858	NP_006438	Q9Y5T5	ENST00000399976
ENSP00000327604	NP_065091	P0CI25	ENST00000329758
ENSP00000484377	NP_001229285	O76036	ENST00000610753
ENSP00000384132	NP_001291301		ENST00000402420
ENSP00000483611	NP_001138930		ENST00000618973
ENSP00000483611	NP_001138930		ENST00000618973
ENSP00000373648	NP_004510	O43525	ENST00000388996
ENSP00000216554	NP_001960	P55010	ENST00000216554
ENSP00000477625	NP_001229286	O76036	ENST00000621652
ENSP00000431618			ENST00000532501
ENSP00000555940			ENST00000885881
ENSP00000321389		Q93077	ENST00000314088
ENSP00000367022	NP_003503	Q93077	ENST00000377791
ENSP00000555941			ENST00000885882
ENSP00000473534		Q93077	ENST00000602637
ENSP00000453396			ENST00000558316
ENSP00000591452			ENST00000921393
ENSP00000491165			ENST00000639496
ENSP00000482092		O76036	ENST00000613556
ENSP00000489097		Q6MZM9	ENST00000634530
ENSP00000591453			ENST00000921394
ENSP00000436691	NP_067546	P57730	ENST00000530950
ENSP00000555942			ENST00000885883
ENSP00000591454			ENST00000921395
ENSP00000464938	NP_001276109	Q5FVE4	ENST00000588304
ENSP00000464938	NP_001308313	Q5FVE4	ENST00000588304
ENSP00000429799	NP_001191753	O43525	ENST00000521134
ENSP00000453856			ENST00000558265
ENSP00000497940			ENST00000649856
ENSP00000591455			ENST00000921396
ENSP00000555943			ENST00000885884
ENSP00000452883			ENST00000561325
ENSP00000489536			ENST00000635641
ENSP00000555944			ENST00000885885
ENSP00000428790			ENST00000519445
ENSP00000437035			ENST00000526823
ENSP00000506537			ENST00000681479
ENSP00000491655	NP_001308044	Q96M83	ENST00000639629
ENSP00000491655	NP_001381944	Q96M83	ENST00000639629
ENSP00000497054			ENST00000650491
ENSP00000489399	NP_999876	Q6MZM9	ENST00000634325
ENSP00000555945			ENST00000885886
ENSP00000465870			ENST00000588722
ENSP00000437187			ENST00000532895
ENSP00000376477	NP_892116	P55010	ENST00000392715
ENSP00000489311			ENST00000635200
ENSP00000489521			ENST00000635689
ENSP00000466336	NP_112186	Q5FVE4	ENST00000588485
ENSP00000555946			ENST00000885887
ENSP00000555947			ENST00000885888
ENSP00000467755	NP_001276107	Q5FVE4	ENST00000591403
ENSP00000491940			ENST00000638588
ENSP00000341094	NP_066409	P20671	ENST00000341023
ENSP00000452615			ENST00000559130
ENSP00000489408			ENST00000634747
ENSP00000453468			ENST00000559532
ENSP00000555948			ENST00000885889
ENSP00000492691			ENST00000639358
ENSP00000453743		P55010	ENST00000558506
ENSP00000244534	NP_005311	P16402	ENST00000244534
ENSP00000439930			ENST00000545067
ENSP00000555949			ENST00000885890
ENSP00000465589	NP_001276106	Q5FVE4	ENST00000586696
ENSP00000244537	NP_003531	P62805	ENST00000244537
ENSP00000555950			ENST00000885891
ENSP00000506442	NP_001276108		ENST00000681525
ENSP00000419536			ENST00000477474
ENSP00000477870	NP_003538	Q99525	ENST00000611444
ENSP00000468684			ENST00000592677
ENSP00000555951			ENST00000885892
ENSP00000473527			ENST00000494628
ENSP00000440632			ENST00000537047
ENSP00000473283			ENST00000463501
ENSP00000484095	NP_066298	P68431	ENST00000618052
ENSP00000468652			ENST00000589401
ENSP00000555952			ENST00000885893
ENSP00000441041			ENST00000539197
ENSP00000366962	NP_003516	P62807	ENST00000377733
ENSP00000465088			ENST00000587617
ENSP00000555953			ENST00000885894
ENSP00000516667			ENST00000706947
ENSP00000598059			ENST00000928000
ENSP00000465581			ENST00000587227
ENSP00000490962			ENST00000639041
ENSP00000598060			ENST00000928001
ENSP00000419773			ENST00000390583
ENSP00000598061	NP_001001992		ENST00000928002
ENSP00000370443	NP_922932	Q9UKP5	ENST00000381055
ENSP00000419583			ENST00000390584
ENSP00000466434			ENST00000590132
ENSP00000457704			ENST00000540096
ENSP00000598062			ENST00000928003
ENSP00000598063			ENST00000928004
ENSP00000598064			ENST00000928005
ENSP00000622540			ENST00000952481
ENSP00000622541			ENST00000952482
ENSP00000465845			ENST00000587519
ENSP00000622542			ENST00000952483
ENSP00000266744	NP_004307	P50553	ENST00000266744
ENSP00000622543			ENST00000952484
ENSP00000468040			ENST00000591889
ENSP00000622544			ENST00000952485
ENSP00000622545			ENST00000952486
ENSP00000451598			ENST00000556859
ENSP00000385187			ENST00000401414
ENSP00000622546			ENST00000952487
ENSP00000404297			ENST00000421793
ENSP00000419383	NP_001162588	Q9P246	ENST00000467011
ENSP00000622547			ENST00000952488
ENSP00000622548			ENST00000952489
ENSP00000622549			ENST00000952490
ENSP00000417569	NP_001162589		ENST00000465503
ENSP00000514004			ENST00000698882
ENSP00000481546			ENST00000619082
ENSP00000419073	NP_065911	Q9P246	ENST00000467087
ENSP00000221859	NP_006224	P36954	ENST00000221859
ENSP00000473581			ENST00000478049
ENSP00000362330	NP_115597	Q8TD26	ENST00000373233
ENSP00000420113			ENST00000473519
ENSP00000424377		Q9UKP5	ENST00000381052
ENSP00000478889	NP_996611		ENST00000614922
ENSP00000478889	NP_996611		ENST00000614922
ENSP00000404637			ENST00000440697
ENSP00000481565	NP_001392460		ENST00000621787
ENSP00000481565	NP_001120727		ENST00000621787
ENSP00000481565	NP_001392460		ENST00000621787
ENSP00000481565	NP_001120727		ENST00000621787
ENSP00000378582	NP_001072988	Q9NYF0	ENST00000395153
ENSP00000465455			ENST00000585842
ENSP00000483638	NP_631915		ENST00000619096
ENSP00000483638	NP_631915		ENST00000619096
ENSP00000221200	NP_060104	Q7L273	ENST00000221200
ENSP00000465755			ENST00000592962
ENSP00000518251			ENST00000710397
ENSP00000478429			ENST00000622173
ENSP00000337439	NP_057735	Q9NYF0	ENST00000335867
ENSP00000516754		Q9NYF0	ENST00000707126
ENSP00000514213			ENST00000699219
ENSP00000467134			ENST00000586439
ENSP00000442850			ENST00000541264
ENSP00000362319		Q8TD26	ENST00000373222
ENSP00000514840			ENST00000700173
ENSP00000427336	NP_001353	P55073	ENST00000510508
ENSP00000427336	NP_001353	P55073	ENST00000510508
ENSP00000392503			ENST00000440647
ENSP00000493111	NP_001304036	P0C645	ENST00000641792
ENSP00000568912			ENST00000898853
ENSP00000466874			ENST00000519665
ENSP00000364165			ENST00000375025
ENSP00000467904			ENST00000523140
ENSP00000379997	NP_689900	Q8N292	ENST00000396776
ENSP00000504870		O43379	ENST00000378860
ENSP00000303710			ENST00000302316
ENSP00000423113	NP_001291358	Q8N292	ENST00000502276
ENSP00000423113	NP_001291360	Q8N292	ENST00000502276
ENSP00000423113	NP_001291357	Q8N292	ENST00000502276
ENSP00000413475			ENST00000427823
ENSP00000422645		Q8N292	ENST00000511930
ENSP00000505251			ENST00000681542
ENSP00000508387		Q8N292	ENST00000513924
ENSP00000505525			ENST00000680321
ENSP00000507091		Q8N292	ENST00000515443
ENSP00000494253			ENST00000644764
ENSP00000364168			ENST00000375028
ENSP00000506079			ENST00000680359
ENSP00000323075		Q8N292	ENST00000318469
ENSP00000495193		B2RBV5	ENST00000307533
ENSP00000493540	NP_619644	B2RBV5	ENST00000635031
ENSP00000493702		B2RBV5	ENST00000444232
ENSP00000308725	NP_000805	P28472	ENST00000311550
ENSP00000356655	NP_001181966	Q008S8	ENST00000367682
ENSP00000299267	NP_068712	P28472	ENST00000299267
ENSP00000442307	NP_001071174	Q008S8	ENST00000541398
ENSP00000442408			ENST00000541819
ENSP00000382178	NP_001106970	Q7Z553	ENST00000399232
ENSP00000508633	NP_005203	P07498	ENST00000689459
ENSP00000304822	NP_001381926	P07498	ENST00000304954
ENSP00000359899	NP_001371201	O43614	ENST00000370862
ENSP00000349925	NP_878250	Q7Z553	ENST00000357362
ENSP00000489940			ENST00000635994
ENSP00000489768	NP_001265560	P28472	ENST00000636466
ENSP00000489768	NP_001178249	P28472	ENST00000636466
ENSP00000421131	NP_001345347	D6RGX4	ENST00000512047
ENSP00000452593			ENST00000557238
ENSP00000490678			ENST00000638099
ENSP00000477548	NP_001517	O43614	ENST00000615358
ENSP00000489687	NP_001382882	Q14409	ENST00000505354
ENSP00000354726		Q9H1J5	ENST00000361560
ENSP00000492961	NP_001005216		ENST00000641151
ENSP00000450827			ENST00000554762
ENSP00000493439			ENST00000641960
ENSP00000424809	NP_001287867		ENST00000504809
ENSP00000383049	NP_001178250	P28472	ENST00000400188
ENSP00000434991			ENST00000482848
ENSP00000366374		O76001	ENST00000377169
ENSP00000426653	NP_001287868		ENST00000506684
ENSP00000452041			ENST00000555632
ENSP00000452515			ENST00000486952
ENSP00000492959	NP_009091	O95918	ENST00000641840
ENSP00000381739	NP_490645	Q9H1J5	ENST00000398754
ENSP00000439169		P28472	ENST00000545868
ENSP00000373136		O95918	ENST00000383640
ENSP00000355175	NP_055749	Q86YF9	ENST00000361396
ENSP00000451077			ENST00000554556
ENSP00000359388	NP_001415185		ENST00000370363
ENSP00000359384	NP_001073976	A6NGQ2	ENST00000370359
ENSP00000397430			ENST00000441145
ENSP00000472409		P0DKL9	ENST00000601302
ENSP00000510304	NP_001371953	P0DKL9	ENST00000686077
ENSP00000510304	NP_001380903	P0DKL9	ENST00000686077
ENSP00000510304	NP_001182510	P0DKL9	ENST00000686077
ENSP00000485150	NP_001184216		ENST00000556246
ENSP00000332886	NP_001161707	P0C091	ENST00000329798
ENSP00000452159			ENST00000556636
ENSP00000366025	NP_945319	Q86YF9	ENST00000376829
ENSP00000336753	NP_009150	Q9Y225	ENST00000336095
ENSP00000368758	NP_001041717	Q4LDR2	ENST00000379445
ENSP00000363377	NP_005929	P98177	ENST00000374259
ENSP00000257312		Q86YF9	ENST00000347108
ENSP00000355018		Q86YF9	ENST00000361156
ENSP00000351166	NP_001127809	Q9Y225	ENST00000358395
ENSP00000351166	NP_001308678	Q9Y225	ENST00000358395
ENSP00000378732	NP_001120857	Q4LDR2	ENST00000395322
ENSP00000482081		Q4LDR2	ENST00000620385
ENSP00000388550		Q9Y225	ENST00000432261
ENSP00000342209	NP_001164402	P98177	ENST00000341558
ENSP00000444711	NP_001127810	Q9Y225	ENST00000545616
ENSP00000575789			ENST00000905730
ENSP00000575790			ENST00000905731
ENSP00000575791			ENST00000905732
ENSP00000333854	NP_620477	Q9Y5Z0	ENST00000328735
ENSP00000421119			ENST00000514389
ENSP00000362442	NP_001157903	Q5TG30	ENST00000373345
ENSP00000243967			ENST00000243967
ENSP00000351430	NP_941391	P15421	ENST00000358615
ENSP00000414822			ENST00000414158
ENSP00000274673	NP_775834	Q8IXS0	ENST00000274673
