NT_187605.1	chr15_KI270849v1_alt
GJ211967.2	KI270445.1
HSCHR8_7_CTG7	KZ559107.1
KI270872.1	chr21_KI270872v1_alt
NT_187686.1	chr19_KI270932v1_alt
NT_187643.1	chr19_KI270889v1_alt
HSCHR12_4_CTG2_1	chr12_GL383551v1_alt
HG2232_PATCH	NW_011332690.1
HSCHR3_6_CTG2_1	NW_019805492.1
HSCHRX_2_CTG3	KI270913.1
KQ090023.1	NW_013171809.1
HSCHR22_7_CTG1	KQ458388.1
KI270413.1	NT_187218.1
NT_187644.1	chr19_KI270890v1_alt
KI270619.1	NT_187320.1
HG2176_PATCH	MU273359.1
GL000009.2	chr14_GL000009v2_random
NT_187454.1	chrUn_KI270582v1
KI270608.1	NT_187309.1
KI270860.1	NT_187612.1
NW_003571054.1	chr19_GL949746v1_alt
GL383564.2	HSCHR17_1_CTG4
KI270730.1	NT_187385.1
NT_187635.1	chrX_KI270881v1_alt
KI270532.1	NT_187265.1
HSCHR2_2_CTG7	chr2_KI270894v1_alt
NT_187659.1	chr15_KI270906v1_alt
GJ211882.1	NT_187186.1
HSCHR4_4_CTG12	chr4_KI270788v1_alt
GL000254.2	HSCHR6_MHC_MCF_CTG1
NT_187594.1	chr13_KI270840v1_alt
HSCHR4_1_CTG9	chr4_GL000257v2_alt
KI270925.1	NT_187679.1
GL383567.1	HSCHR18_1_CTG1_1
KI270824.1	NT_187579.1
HG1506_PATCH	NW_021160028.1
KI270362.1	NT_187469.1
HSCHR17_10_CTG4	KI270909.1
NW_003315909.1	chr2_GL383522v1_alt
NT_187636.1	chr19_KI270882v1_alt
ML143356.1	NW_021160002.1
HG2580_PATCH	MU273383.1
NT_187434.1	chrUn_KI270522v1
GL383579.2	HSCHR21_2_CTG1_1
KI270855.1	chr16_KI270855v1_alt
HSCHR22_7_CTG1	NW_014040931.1
NT_187625.1	chr20_KI270871v1_alt
KI270486.1	NT_187250.1
KI270848.1	NT_187603.1
KI270395.1	NT_187476.1
GL383580.2	HSCHR21_3_CTG1_1
HSCHR7_2_CTG4_4	NT_187561.1
KI270743.1	NT_187498.1
KB021644.2	chr6_KB021644v2_alt
HSCHR19KIR_RSH_A_HAP_CTG3_1	NT_187645.1
KI270593.1	NT_187456.1
KQ031383.1	NW_012132914.1
GJ212161.2	NT_187342.1
KI270588.1	chrUn_KI270588v1
11	CM000673.2
KI270535.1	NT_187268.1
HG2128_PATCH	NW_009646200.1
HSCHR8_6_CTG7	KI270820.1
KI270316.1	chrUn_KI270316v1
NT_187382.1	chr15_KI270727v1_random
GL000113.2	NT_027140.7
GL000217.2	NT_167212.2
HG109_PATCH	ML143376.1
HG287_PATCH	MU273351.1
KI270819.1	chr8_KI270819v1_alt
KI270753.1	chrUn_KI270753v1
CM000678.2	NC_000016.10
GL000172.2	NT_011681.17
KQ090020.1	NW_013171806.1
GL000002.2	NT_077912.2
HSCHR22_1_CTG3	chr22_KI270875v1_alt
HG1651_PATCH	KQ031387.1
NT_167244.2	chr6_GL000250v2_alt
NT_187390.1	chr22_KI270735v1_random
HSCHR8_6_CTG1	NT_187655.1
GL000187.1	NT_011903.12
NW_003315961.1	chr18_GL383572v1_alt
GJ212051.1	NT_187264.1
HSCHR7_1_CTG7	NT_187560.1
KQ090021.1	NW_013171807.1
HSCHR2_1_CTG7	NT_187524.1
NT_187600.1	chr14_KI270846v1_alt
KQ090022.1	NW_013171808.1
KI270414.1	chrUn_KI270414v1
GJ211836.1	NT_187171.1
NT_187484.1	chrUn_KI270384v1
KI270428.1	NT_187223.1
KI270442.1	NT_187420.1
HSCHR3_9_CTG2_1	NW_019805490.1
NC_000022.11	chr22
NT_187487.1	chrUn_KI270385v1
HG1507_PATCH	ML143383.1
KI270542.1	NT_187273.1
HSCHR19KIR_HG2394_CTG3_1	NW_016107305.1
KI270793.1	chr5_KI270793v1_alt
HG2198_PATCH	NW_021160016.1
HSCHR17_1_CTG4	NW_003315953.2
GJ212005.2	KI270483.1
GJ211866.1	KI270327.1
KI270817.1	chr8_KI270817v1_alt
KI270888.1	NT_187642.1
KI270782.1	chr3_KI270782v1_alt
HSCHR19_3_CTG3_1	KI270867.1
KI270450.1	NT_187235.1
KI270483.1	NT_187248.1
KI270813.1	chr8_KI270813v1_alt
GL383522.1	chr2_GL383522v1_alt
KI270609.1	NT_187310.1
GL383570.1	chr18_GL383570v1_alt
HSCHR19KIR_G248_BA2_HAP_CTG3_1	NT_187640.1
KI270862.1	NT_187613.1
HSCHR21_8_CTG1_1	chr21_KI270874v1_alt
KV880765.1	NW_017852930.1
KI270810.1	NT_187567.1
GL000110.2	NT_024477.15
KI270537.1	NT_187270.1
KI270547.1	NT_187277.1
GL000151.2	NT_011512.12
KI270916.1	chr19_KI270916v1_alt
GJ212009.2	NT_187251.1
HG1524_PATCH	NW_021160011.1
GL383518.1	chr1_GL383518v1_alt
KI270343.1	NT_187186.1
HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	KI270890.1
HSCHR19KIR_G085_A_HAP_CTG3_1	chr19_KI270883v1_alt
HG2104_PATCH	NW_009646196.1
KI270870.1	chr20_KI270870v1_alt
KI270737.1	chr22_KI270737v1_random
KI270917.1	chr19_KI270917v1_alt
HG2499_PATCH	ML143369.1
HSCHR8_4_CTG1	NT_187572.1
KI270755.1	NT_187510.1
KI270817.1	NT_187573.1
KI270905.1	chr15_KI270905v1_alt
HSCHR19LRC_LRC_I_CTG3_1	chr19_GL949748v2_alt
HSCHR8_3_CTG1	NT_187570.1
KI270334.1	chrUn_KI270334v1
HSCHR18_1_CTG1_1	chr18_GL383567v1_alt
KI270597.1	NT_187298.1
KI270758.1	NT_187692.1
19	chr19
HSCHR22_2_CTG1	chr22_KB663609v1_alt
HSCHR7_4_CTG1	MU273358.1
KI270367.1	NT_187198.1
HSCHR9_1_CTG7	KQ090019.1
HSCHR12_4_CTG2	chr12_KI270835v1_alt
KI270870.1	NT_187624.1
KI270362.1	chrUn_KI270362v1
NT_113796.3	chr14_GL000009v2_random
KI270923.1	NT_187677.1
KI270699.1	NT_187354.1
HG107_HG2565_PATCH	KQ759759.2
NW_003315920.1	chr5_GL383532v1_alt
HSCHR5_6_CTG1	NT_187551.1
NT_187673.1	chr19_KI270919v1_alt
GJ211965.2	NT_187231.1
ML143375.1	NW_021160021.1
GL383540.1	NW_003315929.1
HSCHR22_1_CTG2	chr22_GL383583v2_alt
HG2236_PATCH	NW_017363813.1
KI270736.1	chr22_KI270736v1_random
KI270700.1	NT_187355.1
HSCHR2_1_CTG5	NW_003315908.1
KI270752.1	na
GL000245.1	NT_167239.1
HSCHR14_3_CTG1	KI270846.1
HG2088_PATCH	NW_017852929.1
KZ559107.1	NW_019805494.1
HG2067_PATCH	NW_017852931.1
KI270335.1	NT_187462.1
CM000674.2	chr12
HSCHR8_3_CTG7	NT_187571.1
HSCHR19_4_CTG3_1	chr19_KI270938v1_alt
HSCHR19KIR_FH06_BA1_HAP_CTG3_1	NT_187677.1
NT_187691.1	chr3_KI270937v1_alt
KI270530.1	chrUn_KI270530v1
GL383564.2	NW_003315953.2
HSCHR16_CTG2	KI270854.1
HSCHR4_1_CTG12	NW_003315914.1
KI270905.1	NT_187660.1
HSCHR7_2_CTG4_4	KI270809.1
KI270709.1	NT_187364.1
HSCHR12_3_CTG2_1	chr12_GL383553v2_alt
KI270371.1	chrUn_KI270371v1
GJ211938.1	NT_187219.1
NT_187556.1	chr6_KI270801v1_alt
GJ211962.2	NT_187229.1
NT_187504.1	chrUn_KI270749v1
GL000046.2	NT_016354.20
GL000042.2	NT_006238.12
NW_003315942.2	chr12_GL383553v2_alt
KQ090016.1	NW_013171802.1
HSCHR22_5_CTG1	KN196486.1
NT_187516.1	chr1_KI270759v1_alt
HSCHR2_8_CTG7_2	NW_018654710.1
KI270710.1	chr1_KI270710v1_random
HG2285_HG106_HG2252_PATCH	NW_017363817.1
HSCHR19KIR_G085_BA1_HAP_CTG3_1	KI270884.1
HSCHR2_2_CTG7	KI270894.1
KI270512.1	NT_187432.1
GJ212204.1	KI866539.1
ML143372.1	NW_021160018.1
HSCHR6_8_CTG1	NT_187692.1
GJ211881.1	KI270342.1
KI270620.1	NT_187321.1
NT_187531.1	chr2_KI270775v1_alt
KI270892.1	chr1_KI270892v1_alt
GJ212154.2	KI270656.1
GL383549.1	NW_003315938.1
HG2058_PATCH	KN196473.1
HSCHR4_2_CTG12	chr4_KI270785v1_alt
GL383545.1	NW_003315934.1
KI270842.1	NT_187596.1
KI270854.1	NT_187610.1
GJ212192.1	KI270704.1
JH159148.1	NW_003871093.1
HSCHR3_1_CTG1	chr3_JH636055v2_alt
GL000062.2	NT_023736.18
NT_187690.1	chr3_KI270936v1_alt
HSCHR19KIR_FH13_A_HAP_CTG3_1	NT_187685.1
KI270814.1	NT_187566.1
HSCHR22_1_CTG5	chr22_KI270877v1_alt
KN196480.1	NW_009646202.1
KI270580.1	NT_187448.1
KI270612.1	NT_187313.1
GL949748.2	chr19_GL949748v2_alt
HSCHR12_6_CTG2_1	NT_187590.1
HSCHR1_8_CTG3	KZ208904.1
NT_187677.1	chr19_KI270923v1_alt
HG2419_PATCH	KZ208914.1
GL000205.2	NT_113930.2
HG2087_PATCH	NW_021160020.1
HSCHR1_1_CTG11	KI270760.1
NT_187499.1	chrUn_KI270744v1
HSCHR1_2_CTG31	NW_003315906.1
GJ212060.1	KI270540.1
KI270760.1	chr1_KI270760v1_alt
HSCHR16_4_CTG1	KI270856.1
HSCHR1_1_CTG32_1	KI270759.1
HSCHR16_1_CTG1	NT_187607.1
GL949750.2	NW_003571058.2
GL383571.1	NW_003315960.1
HSCHR1_ALT2_1_CTG32_1	NT_187646.1
KI270938.1	chr19_KI270938v1_alt
NT_187371.1	chr2_KI270716v1_random
KZ559113.1	NW_019805500.1
KI270845.1	chr14_KI270845v1_alt
10	chr10
HSCHR11_1_CTG6	KI270830.1
HSCHR11_1_CTG3_1	KZ559111.1
NT_187604.1	chr15_KI270851v1_alt
GL000213.1	NT_167208.1
KI270633.1	NT_187327.1
HSCHR15_2_CTG8	chr15_GL383555v2_alt
KI270673.1	NT_187345.1
KI270856.1	chr16_KI270856v1_alt
GL582966.2	HSCHR2_2_CTG7_2
HSCHR2_1_CTG15	chr2_KI270767v1_alt
NT_187461.1	chrUn_KI270333v1
KV880766.1	NW_017852931.1
CM000682.2	chr20
HSCHR8_2_CTG7	KI270815.1
ML143383.1	NW_021160029.1
KI270591.1	chrUn_KI270591v1
NC_000014.9	chr14
HSCHR2_11_CTG7_2	MU273338.1
GJ212208.1	NT_187351.1
HSCHR7_3_CTG4_4	KZ208913.1
KI270833.1	chr12_KI270833v1_alt
KI270539.1	NT_187442.1
J01415.2	chrM
GL000001.2	NT_077402.3
HG2217_PATCH	KN196481.1
NT_167215.1	chr3_GL000221v1_random
KI270467.1	chrUn_KI270467v1
19	CM000681.2
KQ090018.1	NW_013171804.1
HSCHR2_3_CTG1	NT_187526.1
HSCHR22_5_CTG1	NW_009646208.1
KI270893.1	chr2_KI270893v1_alt
HSCHR1_5_CTG3	KQ983255.1
KI270887.1	NT_187641.1
NT_187419.1	chrUn_KI270429v1
HSCHR22_1_CTG7	NT_187633.1
NT_187457.1	chrUn_KI270591v1
KI270333.1	NT_187461.1
KI270718.1	chr9_KI270718v1_random
KI270338.1	chrUn_KI270338v1
KI270823.1	NT_187578.1
HG2541_PATCH	MU273394.1
GL949747.2	chr19_GL949747v2_alt
NT_187429.1	chrUn_KI270518v1
KI270676.1	NT_187347.1
GJ212117.1	KI270596.1
HSCHR3_3_CTG3	NT_187649.1
HSCHR8_6_CTG7	NT_187575.1
HSCHR4_1_CTG12	chr4_GL383527v1_alt
GJ211999.2	KI270477.1
KI270552.1	NT_187281.1
GL000141.2	NT_011387.9
KI270852.1	NT_187602.1
18	NC_000018.10
HSCHR3_7_CTG2_1	NW_019805488.1
NT_187606.1	chr15_KI270850v1_alt
HSCHR5_1_CTG1_1	NT_187651.1
KI270786.1	chr4_KI270786v1_alt
KV575247.1	NW_016107301.1
GL000182.2	NT_086998.2
ML143385.1	NW_021160031.1
NT_187417.1	chrUn_KI270423v1
KI270839.1	chr13_KI270839v1_alt
NT_187607.1	chr16_KI270853v1_alt
HSCHR13_1_CTG6	NT_187597.1
HSCHR19KIR_RSH_A_HAP_CTG3_1	KI270891.1
HG2121_PATCH	NW_017363815.1
GL383541.1	chr9_GL383541v1_alt
KI270782.1	NT_187534.1
KI270833.1	NT_187589.1
KV575253.1	NW_016107307.1
HSCHR12_6_CTG2_1	KI270834.1
KI270381.1	NT_187486.1
HSCHR8_2_CTG1	chr8_KI270812v1_alt
GL000155.2	NT_011520.13
HSCHR19KIR_7191059-1_CTG3_1	KV575255.1
HSCHR8_6_CTG1	KI270901.1
HSCHR2_4_CTG7_2	chr2_KI270771v1_alt
KI270706.1	NT_187361.1
KI270709.1	chr1_KI270709v1_random
GL383547.1	chr11_GL383547v1_alt
22	CM000684.2
NT_187365.1	chr1_KI270710v1_random
GL383552.1	chr12_GL383552v1_alt
KI270915.1	chr19_KI270915v1_alt
KI270326.1	NT_187179.1
GL000148.1	NT_113953.1
HG613_PATCH	NW_021159999.1
HG126_PATCH	NW_011332691.1
GL000221.1	chr3_GL000221v1_random
HG2191_PATCH	KN196480.1
NT_187532.1	chr3_KI270779v1_alt
KI270937.1	chr3_KI270937v1_alt
NW_003315964.2	chr19_GL383575v2_alt
CM000666.2	chr4
HG1362_PATCH	KN538369.1
NT_187387.1	chr22_KI270732v1_random
GL000142.2	NT_025215.5
GJ211963.2	NT_187230.1
NT_187400.1	chrUn_KI270322v1
HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	NT_187644.1
HSCHR12_9_CTG2_1	NW_019805499.1
GJ212155.2	NT_187340.1
GL949742.1	HSCHR5_2_CTG1
KI270611.1	NT_187312.1
HSCHR11_1_CTG1_2	KN538368.1
GJ211871.1	KI270332.1
GL383566.1	NW_003315955.1
HSCHR2_5_CTG7_2	chr2_KI270775v1_alt
KI270669.1	NT_187342.1
HSCHR10_1_CTG2	NW_003315935.1
KI270883.1	NT_187637.1
NW_003571033.2	chr2_GL582966v2_alt
HG1398_PATCH	NW_021160008.1
HSCHR5_6_CTG1	chr5_KI270794v1_alt
HSCHR20_1_CTG3	KI270870.1
NT_187397.1	chrUn_KI270304v1
KI270432.1	NT_187226.1
KZ208908.1	NW_018654710.1
KI270363.1	chrUn_KI270363v1
KI270422.1	NT_187416.1
GJ212107.1	KI270586.1
KI270308.1	NT_187194.1
KI270580.1	chrUn_KI270580v1
NT_187676.1	chr19_KI270922v1_alt
KI270526.1	NT_187262.1
GL383581.2	HSCHR21_4_CTG1_1
GJ212002.2	NT_187246.1
KI270901.1	chr8_KI270901v1_alt
GL383575.2	NW_003315964.2
KI270366.1	NT_187470.1
HSCHR8_7_CTG7	NW_019805494.1
HG460_PATCH	KZ559100.1
KI270385.1	chrUn_KI270385v1
MT	NC_012920.1
NC_000011.10	chr11
GJ212053.1	NT_187266.1
NT_187505.1	chrUn_KI270750v1
KI270892.1	NT_187646.1
HSCHR1_2_CTG3	chr1_KI270766v1_alt
HSCHR10_1_CTG3	chr10_KI270824v1_alt
ML143379.1	NW_021160025.1
NW_003571050.1	chr12_GL877876v1_alt
NW_003571055.2	chr19_GL949747v2_alt
HSCHR3_3_CTG2_1	NT_187536.1
GL000250.2	NT_167244.2
KI270849.1	chr15_KI270849v1_alt
KI270869.1	chr20_KI270869v1_alt
KI270417.1	NT_187415.1
HSCHR22_8_CTG1	KQ759761.1
HSCHR10_1_CTG1	chr10_GL383545v1_alt
HSCHR5_1_CTG1	chr5_GL383532v1_alt
GJ212165.2	NT_187345.1
KI270598.1	NT_187299.1
HSCHR8_1_CTG6	KI270814.1
GL383518.1	HSCHR1_1_CTG31
GL949750.2	HSCHR19LRC_LRC_S_CTG3_1
KI270895.1	NT_187649.1
HSCHR8_1_CTG6	chr8_KI270814v1_alt
GJ211929.1	KI270397.1
KI270373.1	chrUn_KI270373v1
HSCHR16_CTG2	chr16_KI270854v1_alt
GJ211860.1	KI270325.1
GL000029.2	NT_005403.18
NW_003315908.1	chr2_GL383521v1_alt
KQ031386.1	NW_012132917.1
HSCHR1_3_CTG31	chr1_GL383520v2_alt
KI270914.1	NT_187668.1
HSCHR1_1_CTG3	chr1_KI270762v1_alt
KI270756.1	NT_187511.1
HSCHR4_2_CTG4	KQ090013.1
NT_187618.1	chr18_KI270864v1_alt
GL383575.2	HSCHR19_2_CTG2
HG2288_HG2289_PATCH	KN538371.1
GL000184.2	NT_087001.2
GL000251.2	HSCHR6_MHC_COX_CTG1
HG142_HG150_NOVEL_TEST	chr11_JH159136v1_alt
KI270408.1	NT_187215.1
GJ212036.1	NT_187257.1
NT_187469.1	chrUn_KI270362v1
JH159146.1	NW_003871091.1
HG1523_PATCH	NW_021160010.1
HSCHR13_1_CTG7	KQ090024.1
HSCHR19KIR_CA01-TA01_1_CTG3_1	KV575247.1
HSCHR6_1_CTG5	NT_187553.1
HG2087_PATCH	ML143374.1
GJ212060.1	NT_187271.1
GJ211933.1	NT_187217.1
HG494_PATCH	ML143379.1
KZ208923.1	NW_018654725.1
HSCHR2_5_CTG7_2	NT_187531.1
GL949750.2	chr19_GL949750v2_alt
KI270473.1	NT_187242.1
KI270446.1	NT_187233.1
KI270768.1	NT_187528.1
KI270579.1	chrUn_KI270579v1
GJ211867.1	KI270328.1
HSCHR3_3_CTG3	chr3_KI270895v1_alt
HSCHR4_1_CTG4	KI270790.1
HSCHR5_5_CTG1	chr5_KI270793v1_alt
KI270884.1	chr19_KI270884v1_alt
KI866542.1	NT_187352.1
ML143364.1	NW_021160010.1
KQ031390.1	NW_012132921.1
CM000664.2	chr2
HG1817_1_PATCH	ML143363.1
NT_187537.1	chr3_KI270780v1_alt
NT_187563.1	chr7_KI270807v1_alt
KI270763.1	chr1_KI270763v1_alt
GL000226.1	chrUn_GL000226v1
KI270864.1	chr18_KI270864v1_alt
KZ559102.1	NW_019805489.1
KI270913.1	chrX_KI270913v1_alt
KI270706.1	chr1_KI270706v1_random
12	chr12
ML143380.1	NW_021160026.1
HSCHR15_5_CTG8	NT_187606.1
20	CM000682.2
NC_000018.10	chr18
KN196479.1	NW_009646201.1
HSCHR17_1_CTG2	NT_187611.1
GJ212132.2	NT_187328.1
CM000686.2	Y
GL383582.2	chr22_GL383582v2_alt
KI270834.1	chr12_KI270834v1_alt
HSCHR22_1_CTG2	NW_003315972.2
HSCHR4_4_CTG12	KI270788.1
GL383576.1	HSCHR19_3_CTG2
21	NC_000021.9
HG2023_PATCH	NW_015495300.1
NT_187558.1	chr7_KI270804v1_alt
NT_187418.1	chrUn_KI270425v1
GL949748.2	NW_003571056.2
KI270774.1	NT_187529.1
KI270543.1	NT_187274.1
KI270840.1	chr13_KI270840v1_alt
NT_187640.1	chr19_KI270886v1_alt
HSCHR1_2_CTG31	chr1_GL383519v1_alt
HSCHR5_5_CTG1	NT_187550.1
HG2578_PATCH	MU273371.1
HSCHR13_1_CTG1	KI270838.1
HSCHR12_3_CTG2_1	NW_003315942.2
KI270772.1	chr2_KI270772v1_alt
KI866541.1	NT_187351.1
HSCHR3_8_CTG3	chr3_KI270937v1_alt
NT_187375.1	chr9_KI270720v1_random
HSCHR2_2_CTG7_2	NW_003571033.2
NW_003315962.1	chr19_GL383573v1_alt
HG2525_PATCH	ML143345.1
GL383574.1	chr19_GL383574v1_alt
KI270930.1	NT_187684.1
NW_003315919.1	chr5_GL383531v1_alt
NT_167247.2	chr6_GL000254v2_alt
HSCHR5_9_CTG1	NW_018654712.1
HSCHR4_1_CTG4	NT_187540.1
NT_187392.1	chr22_KI270737v1_random
GL383521.1	chr2_GL383521v1_alt
GL383572.1	HSCHR18_2_CTG2_1
NT_187546.1	chr5_KI270795v1_alt
KI270336.1	chrUn_KI270336v1
NT_187472.1	chrUn_KI270379v1
KI270787.1	chr4_KI270787v1_alt
NT_187674.1	chr19_KI270920v1_alt
KI270843.1	chr13_KI270843v1_alt
GJ212205.1	KI866534.1
KI270376.1	NT_187489.1
NT_187641.1	chr19_KI270887v1_alt
HSCHR3_3_CTG1	NT_187535.1
GL383522.1	HSCHR2_1_CTG7_2
GL000235.1	NT_167229.1
KI270732.1	NT_187387.1
KZ208913.1	NW_018654715.1
HG1832_PATCH	KN538360.1
HSCHR1_2_CTG32_1	NT_187518.1
HSCHR8_3_CTG1	KI270813.1
KI270879.1	chr22_KI270879v1_alt
KI270363.1	NT_187467.1
GL383578.2	NW_003315967.2
KI270776.1	NT_187527.1
KI270411.1	chrUn_KI270411v1
CM000665.2	NC_000003.12
GL000147.1	NT_113958.2
KI866534.1	NT_187236.1
KI270878.1	NT_187632.1
NT_187443.1	chrUn_KI270538v1
KN538373.1	NW_011332700.1
HSCHR1_6_CTG3	KV880763.1
KI270816.1	NT_187571.1
HSCHR21_4_CTG1_1	chr21_GL383581v2_alt
NT_187596.1	chr13_KI270842v1_alt
GL000252.2	chr6_GL000252v2_alt
HSCHR1_1_CTG11	NT_187514.1
HSCHR19LRC_COX1_CTG3_1	NW_003571054.1
KQ090015.1	NW_013171801.1
NC_000023.11	chrX
KI270719.1	NT_187374.1
KI270524.1	NT_187260.1
NT_187496.1	chrUn_KI270521v1
NW_003315917.2	chr5_GL339449v2_alt
18	chr18
HSCHR6_1_CTG9	KI270802.1
KI270766.1	NT_187517.1
GL383541.1	HSCHR9_1_CTG3
HSCHR11_2_CTG8	NW_019805497.1
HG2407_PATCH	MU273380.1
GL000058.2	NT_077528.3
NT_187441.1	chrUn_KI270530v1
KB663609.1	NW_004504305.1
HSCHR19KIR_FH08_A_HAP_CTG3_1	NT_187683.1
HG2115_PATCH	NW_021160005.1
KI270904.1	NT_187658.1
GL383578.2	HSCHR21_1_CTG1_1
KI270887.1	chr19_KI270887v1_alt
GL383576.1	NW_003315965.1
HSCHR15_3_CTG8	chr15_KI270849v1_alt
GL383519.1	chr1_GL383519v1_alt
HSCHR12_3_CTG2	chr12_KI270904v1_alt
HSCHR3_4_CTG3	chr3_KI270924v1_alt
GL383539.1	NW_003315928.1
HSCHR17_1_CTG9	NT_187612.1
KI270742.1	NT_187513.1
KI270846.1	NT_187600.1
HSCHR3_7_CTG3	chr3_KI270936v1_alt
HSCHR16_3_CTG3_1	KQ031390.1
GL000112.2	NT_009952.15
HSCHR5_2_CTG1_1	chr5_GL339449v2_alt
GL000211.2	NT_113961.2
JH159136.1	NW_003871073.1
HSCHR2_5_CTG7_2	KI270775.1
KI270448.1	NT_187495.1
HSCHR9_1_CTG2	NW_003315929.1
GJ211860.1	NT_187178.1
HG1342_HG2282_PATCH	KQ031383.1
KI270711.1	chr1_KI270711v1_random
KI270874.1	chr21_KI270874v1_alt
NT_187431.1	chrUn_KI270516v1
HSCHR9_1_CTG6	KQ090018.1
GJ212207.1	KI866540.1
HG2057_PATCH	NW_018654713.1
HG2235_PATCH	KQ031385.1
GL000216.2	NT_167211.2
KZ559101.1	NW_019805488.1
KI270421.1	NT_187220.1
HSCHR19KIR_FH08_A_HAP_CTG3_1	KI270929.1
NW_003871060.2	chr3_JH636055v2_alt
HSCHR4_5_CTG12	NT_187545.1
HSCHR19_4_CTG2	NT_187621.1
HG2251_PATCH	MU273381.1
HSCHR22_1_CTG6	NT_187632.1
HG1369_PATCH	MU273382.1
GJ212131.2	KI270633.1
NT_187369.1	chr1_KI270714v1_random
KI270812.1	NT_187568.1
HG1299_PATCH	NW_021159992.1
HSCHR13_1_CTG3	NT_187594.1
KI270788.1	chr4_KI270788v1_alt
NT_187656.1	chr11_KI270902v1_alt
GL949749.2	chr19_GL949749v2_alt
HG2266_PATCH	NW_017852930.1
HG2461_PATCH	MU273384.1
NC_000020.11	chr20
KI270466.1	chrUn_KI270466v1
GL000125.2	NT_024773.12
ML143369.1	NW_021160015.1
HSCHR6_1_CTG5	KI270798.1
KI270832.1	NT_187586.1
KI270614.1	NT_187315.1
KI270720.1	chr9_KI270720v1_random
HSCHR19_1_CTG2	chr19_GL383573v1_alt
KI866540.1	NT_187331.1
HSCHR19KIR_HG2393_CTG3_1	NW_016107312.1
HG1047_PATCH	MU273360.1
KN196481.1	NW_009646203.1
GL383546.1	HSCHR10_1_CTG2
NT_187368.1	chr1_KI270713v1_random
KI270779.1	NT_187532.1
ML143346.1	NW_021159992.1
NC_000015.10	chr15
GL000039.2	NT_006316.17
KI270717.1	NT_187372.1
HSCHR11_1_CTG2	chr11_KI270826v1_alt
HSCHR5_3_CTG5	KI270898.1
HSCHR11_2_CTG1	chr11_KI270902v1_alt
NW_003315918.1	chr5_GL383530v1_alt
NT_187370.1	chr2_KI270715v1_random
1	CM000663.2
GJ212163.2	KI270671.1
KV880768.1	NW_017852933.1
NT_187381.1	chr14_KI270726v1_random
KI270880.1	NT_187634.1
GL000256.2	NT_167249.2
NT_187623.1	chr20_KI270869v1_alt
KI270391.1	NT_187481.1
ML143381.1	NW_021160027.1
HSCHR5_6_CTG1	KI270794.1
HSCHR17_12_CTG4	NW_019805501.1
HSCHR1_4_CTG3	KQ458383.1
GJ211887.1	KI270348.1
HSCHR4_1_CTG8_1	KI270787.1
KI270864.1	NT_187618.1
NT_187541.1	chr4_KI270787v1_alt
NT_187571.1	chr8_KI270816v1_alt
HSCHR19KIR_GRC212_AB_HAP_CTG3_1	NT_187641.1
KI270797.1	chr6_KI270797v1_alt
NW_003315930.1	chr9_GL383541v1_alt
GJ212055.1	KI270535.1
CM000663.2	NC_000001.11
KI270734.1	chr22_KI270734v1_random
KI270830.1	chr11_KI270830v1_alt
KI270583.1	chrUn_KI270583v1
GJ212072.2	KI270552.1
HG2442_PATCH	NW_018654724.1
KZ559114.1	NW_019805501.1
HSCHR8_4_CTG7	KI270817.1
HSCHR18_1_CTG1	NW_019805503.1
HSCHR8_7_CTG1	NT_187680.1
HSCHR19LRC_LRC_J_CTG3_1	NW_003571057.2
HSCHR6_MHC_APD_CTG1	chr6_GL000250v2_alt
HSCHR22_1_CTG3	NT_187629.1
GJ212131.2	NT_187327.1
NW_003315941.1	chr12_GL383552v1_alt
HSCHR14_7_CTG1	KI270847.1
HSCHR17_1_CTG5	NT_167251.2
KI270863.1	chr18_KI270863v1_alt
KI270312.1	chrUn_KI270312v1
HSCHR3_1_CTG3	KI270779.1
HSCHR3_4_CTG2_1	NT_187537.1
HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	chr19_KI270890v1_alt
NT_187513.1	chrUn_KI270742v1
2	NC_000002.12
NT_187379.1	chr14_KI270724v1_random
GL000135.2	NT_010966.15
NT_187363.1	chr1_KI270708v1_random
KV575257.1	NW_016107311.1
HSCHR4_9_CTG12	KQ090015.1
HSCHR8_5_CTG1	chr8_KI270900v1_alt
HSCHR2_6_CTG7_2	NW_015495299.1
GL383549.1	HSCHR12_1_CTG2
KI270789.1	NT_187545.1
ML143382.1	NW_021160028.1
HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1	NT_187673.1
GJ212095.1	NT_187290.1
NW_003315968.2	chr21_GL383579v2_alt
HSCHR17_11_CTG4	NW_017363818.1
KV766199.1	NW_017363820.1
KI270716.1	chr2_KI270716v1_random
HSCHR11_3_CTG1	chr11_KI270927v1_alt
GL000198.2	NT_113914.2
KI270762.1	NT_187515.1
GL000224.1	chrUn_GL000224v1
KI270482.1	NT_187247.1
KI270606.1	NT_187307.1
HG2291_PATCH	NW_011332699.1
KI270881.1	NT_187635.1
KN538364.1	NW_011332691.1
CM000670.2	chr8
NT_187468.1	chrUn_KI270364v1
HSCHR19KIR_CA01-TB04_CTG3_1	NW_016107303.1
KI270865.1	chr19_KI270865v1_alt
KI270867.1	NT_187620.1
NT_187409.1	chrUn_KI270411v1
