sampleID	hgncSymbol	seqnames	start	end	width	strand	type	pValue	padjust	psiValue	deltaPsi	counts	totalCounts	meanCounts	meanTotalCounts	nonsplitCounts	nonsplitProportion	nonsplitProportion_99quantile	annotatedJunction	pValueGene	padjustGene	pValueGene_Sample_specific_genes	pValueGene_Test_subset	padjustGene_Sample_specific_genes	padjustGene_Test_subset	HPO_label_overlap	HPO_id_overlap	Ngenes_per_pheno	Nphenos_gene	potentialImpact	causesFrameshift	UTR_overlap	blacklist
HG00116	CR392039.1_2	chr21	9909278	9966321	57044	-	jaccard	0.13735	1	0.65	0.15	28	43	14.6	30.2	1	0.02	0.21	both	0.13735	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	no	TRUE
HG00116	CR392039.2_2	chr21	9909278	9966321	57044	-	jaccard	0.13735	1	0.65	0.15	28	43	14.6	30.2	1	0.02	0.21	both	0.13735	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	no	TRUE
HG00116	CR392039.4	chr21	9909278	9966321	57044	-	jaccard	0.13735	1	0.65	0.15	28	43	14.6	30.2	1	0.02	0.21	both	0.13735	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	no	TRUE
HG00116	IFNAR2	chr21	34625136	34632901	7766	+	jaccard	0.088758	1	0.89	0.06	167	188	131.5	162.5	5	0.03	0.18	both	0.71006	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	3'-UTR	FALSE
HG00116	MCM3AP	chr21	47663637	47664720	1084	-	jaccard	0.25087	1	0.93	0.06	53	57	62.9	73.3	4	0.07	0.21	both	1	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	no	FALSE
HG00116	MRPS6	chr21	35446046	35497640	51595	+	jaccard	0.28259	1	0.7	-0.07	62	88	122.2	161.7	2	0.02	0.11	both	0.56517	1	NA	0.56517	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	5'-UTR	FALSE
HG00116	PIGP	chr21	38438013	38439561	1549	-	jaccard	0.17339	1	0.76	-0.07	55	72	82.8	99.9	16	0.22	0.22	both	0.69355	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00116	POFUT2	chr21	46698085	46702263	4179	-	jaccard	0.12813	1	0.96	0.13	23	24	17.8	22.5	1	0.04	0.35	both	0.3844	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	3'-UTR	FALSE
HG00116	PRMT2	chr21	48064401	48068369	3969	+	jaccard	0.010714	1	0.82	-0.12	125	153	106	114.2	28	0.18	0.18	both	0.11786	1	NA	0.11786	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	5'-UTR	FALSE
HG00116	RRP1	chr21	45219531	45220397	867	+	jaccard	0.0062178	1	0.77	-0.17	104	135	114.3	124.4	31	0.23	0.22	both	0.049742	1	NA	0.049742	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00116	SLC19A1	chr21	46952063	46957684	5622	-	jaccard	0.47123	1	0.51	0.07	22	43	13.4	32.2	3	0.07	0.25	both	1	1	NA	1	NA	1	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	no	FALSE
HG00116	SLC5A3	chr21	35446046	35497640	51595	+	jaccard	0.28259	1	0.7	-0.07	62	88	122.2	161.7	2	0.02	0.11	both	0.28259	1	NA	0.28259	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	5'-UTR	FALSE
HG00116	SPATC1L	chr21	47588573	47604269	15697	-	jaccard	0.69607	1	0.91	0.05	40	44	41.3	49.7	4	0.09	0.25	both	1	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	5'-UTR	FALSE
HG00116	TEKT4P2	chr21	9966381	9968515	2135	-	jaccard	0.062484	1	0.85	0.29	35	41	17.2	32.6	6	0.15	0.77	both	0.18745	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	no	TRUE
HG00116	U2AF1	chr21	44524513	44527560	3048	-	jaccard	0.0333	1	0.7	-0.1	276	393	373.9	465.3	116	0.3	0.29	both	0.1998	1	NA	0.1998	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	5'-UTR	FALSE
HG00116	U2AF1L5	chr21	44524513	44527560	3048	-	jaccard	0.0333	1	0.7	-0.1	276	393	373.9	465.3	116	0.3	0.29	both	0.1998	1	NA	0.1998	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	5'-UTR	FALSE
HG00116	URB1	chr21	33694255	33694787	533	-	jaccard	0.031792	1	0.7	-0.17	30	43	30.7	37.3	11	0.26	0.3	both	0.50867	1	NA	0.50867	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00116	VPS26C	chr21	38605744	38610760	5017	-	jaccard	0.13133	1	0.92	0.06	95	103	70	82.8	4	0.04	0.15	both	0.65664	1	NA	0.65664	NA	1	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	no	FALSE
HG00126	AP000295.1	chr21	34602522	34614190	11669	+	jaccard	0.025308	1	0.58	0.15	60	104	35.6	81.4	26	0.25	0.49	both	0.32901	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	5'-UTR	FALSE
HG00126	AP000317.2	chr21	35497781	35514707	16927	+	jaccard	0.23015	1	0.92	-0.05	34	37	37.9	39.5	0	0	0	both	0.4603	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00126	APP	chr21	27269986	27277335	7350	-	jaccard	0.11381	1	0.72	-0.06	114	158	115.7	146.1	19	0.12	0.12	both	1	1	NA	1	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00126	BTG3	chr21	18971143	18977177	6035	-	jaccard	0.2842	1	0.65	-0.07	42	65	63.1	89.7	10	0.15	0.22	both	1	1	NA	1	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00126	CR392039.1_2	chr21	9909278	9966321	57044	-	jaccard	0.46254	1	0.58	0.11	14	24	14.6	30.2	5	0.21	0.21	both	0.46254	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	no	TRUE
HG00126	CR392039.2_2	chr21	9909278	9966321	57044	-	jaccard	0.46254	1	0.58	0.11	14	24	14.6	30.2	5	0.21	0.21	both	0.46254	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	no	TRUE
HG00126	CR392039.4	chr21	9909278	9966321	57044	-	jaccard	0.46254	1	0.58	0.11	14	24	14.6	30.2	5	0.21	0.21	both	0.46254	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	no	TRUE
HG00126	FP565260.2	chr21	45553721	45553983	263	+	jaccard	0.21334	1	0.87	0.07	224	257	121.7	146.7	30	0.12	0.43	both	1	1	NA	1	NA	NA	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	no	FALSE
HG00126	GATD3A	chr21	45553721	45553983	263	+	jaccard	0.21334	1	0.87	0.07	224	257	121.7	146.7	30	0.12	0.43	both	1	1	NA	1	NA	NA	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	no	FALSE
HG00126	GATD3B	chr21	45553721	45553983	263	+	jaccard	0.21334	1	0.87	0.07	224	257	121.7	146.7	30	0.12	0.43	both	1	1	NA	1	NA	1	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	no	FALSE
HG00126	IFNAR2	chr21	34602522	34614190	11669	+	jaccard	0.025308	1	0.58	0.15	60	104	35.6	81.4	26	0.25	0.49	both	0.20247	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	5'-UTR	FALSE
HG00126	MCM3AP	chr21	47656894	47660724	3831	-	jaccard	0.14223	1	0.92	0.06	73	79	54	62.6	6	0.08	0.19	both	0.99563	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	no	FALSE
HG00126	MRPS6	chr21	35497781	35514707	16927	+	jaccard	0.23015	1	0.92	-0.05	34	37	37.9	39.5	0	0	0	both	0.4603	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00126	PIGP	chr21	38441925	38444733	2809	-	jaccard	0.18165	1	0.81	0.1	71	88	65.5	92.8	0	0	0.12	both	0.7266	1	NA	NA	NA	NA	Abnormality of the forehead	HP:0000290	821	236	annotatedIntron_increasedUsage	unlikely	5'-UTR	FALSE
HG00126	POFUT2	chr21	46698085	46702263	4179	-	jaccard	0.3188	1	0.71	-0.09	20	28	17.8	22.5	8	0.29	0.35	both	0.95641	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	3'-UTR	FALSE
HG00126	PRMT2	chr21	48055676	48056350	675	+	jaccard	0.032892	1	0.24	0.15	32	134	9	82.8	8	0.06	0.13	start	0.36181	1	NA	0.36181	NA	1	NA	NA	NA	NA	exonElongation	likely	5'-UTR	FALSE
HG00126	RN7SL109P	chr21	33713834	33716878	3045	-	jaccard	0.10231	1	0.91	-0.06	61	67	36.2	37.9	6	0.09	0.17	both	0.10231	1	NA	0.10231	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00126	RRP1	chr21	45220496	45220742	247	+	jaccard	0.10796	1	0.84	-0.06	114	135	127.4	140.4	20	0.15	0.17	both	0.86371	1	NA	0.86371	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00126	SLC5A3	chr21	35446046	35497640	51595	+	jaccard	0.23725	1	0.68	-0.07	147	216	122.2	161.7	17	0.08	0.11	both	0.23725	1	NA	0.23725	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	5'-UTR	FALSE
HG00126	SPATC1L	chr21	47581982	47588221	6240	-	jaccard	0.081242	1	0.84	-0.13	31	37	24.9	26.6	5	0.14	0.13	both	0.16248	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00126	TEKT4P2	chr21	9966381	9968515	2135	-	jaccard	0.33649	1	0.68	0.19	15	22	17.2	32.6	7	0.32	0.77	both	1	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	no	TRUE
HG00126	URB1	chr21	33691725	33692840	1116	-	jaccard	0.068153	1	0.8	-0.11	36	45	34.3	37.9	9	0.2	0.19	both	1	1	NA	1	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00126	VPS26C	chr21	38612941	38639538	26598	-	jaccard	0.29636	1	0.78	0.06	67	86	50.4	71.4	7	0.08	0.15	both	1	1	NA	1	NA	1	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	no	FALSE
HG00126	WRB	chr21	40759782	40762623	2842	+	jaccard	0.29109	1	0.58	0.16	19	33	15	34	0	0	0.1	end	1	1	NA	1	NA	NA	NA	NA	NA	NA	exonElongation	likely	5'-UTR	FALSE
HG00126	WRB-SH3BGR	chr21	40759782	40762623	2842	+	jaccard	0.29109	1	0.58	0.16	19	33	15	34	0	0	0.1	end	1	1	NA	1	NA	1	NA	NA	NA	NA	exonElongation	likely	5'-UTR	FALSE
HG00132	AP000311.1	chr21	35286805	35288031	1227	-	jaccard	0.7648	1	0.79	0.07	52	66	37.2	57.4	13	0.2	0.75	both	0.7648	1	NA	0.7648	NA	1	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	no	FALSE
HG00132	AP000317.2	chr21	35446046	35497640	51595	+	jaccard	0.36571	1	0.72	-0.06	71	98	122.2	161.7	2	0.02	0.11	both	0.73142	1	NA	0.73142	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	5'-UTR	FALSE
HG00132	APP	chr21	27277390	27284052	6663	-	jaccard	0.059062	1	0.75	-0.08	82	109	113.4	140.1	8	0.07	0.09	both	0.88593	1	NA	0.88593	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00132	ATP5PO	chr21	35286805	35288031	1227	-	jaccard	0.7648	1	0.79	0.07	52	66	37.2	57.4	13	0.2	0.75	both	0.7648	1	NA	0.7648	NA	NA	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	no	FALSE
HG00132	CR392039.1_2	chr21	9909278	9966321	57044	-	jaccard	0.5915	1	0.43	-0.08	12	28	14.6	30.2	1	0.04	0.21	both	0.5915	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	TRUE
HG00132	CR392039.2_2	chr21	9909278	9966321	57044	-	jaccard	0.5915	1	0.43	-0.08	12	28	14.6	30.2	1	0.04	0.21	both	0.5915	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	TRUE
HG00132	CR392039.4	chr21	9909278	9966321	57044	-	jaccard	0.5915	1	0.43	-0.08	12	28	14.6	30.2	1	0.04	0.21	both	0.5915	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	TRUE
HG00132	FP565260.2	chr21	45553721	45553983	263	+	jaccard	0.049375	1	0.45	-0.33	5	11	121.7	146.7	5	0.45	0.43	both	0.24687	1	NA	0.24687	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00132	GATD3A	chr21	45553721	45553983	263	+	jaccard	0.049375	1	0.45	-0.33	5	11	121.7	146.7	5	0.45	0.43	both	0.24687	1	NA	0.24687	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00132	GATD3B	chr21	45553721	45553983	263	+	jaccard	0.049375	1	0.45	-0.33	5	11	121.7	146.7	5	0.45	0.43	both	0.24687	1	NA	0.24687	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00132	MRPS6	chr21	35446046	35497640	51595	+	jaccard	0.36571	1	0.72	-0.06	71	98	122.2	161.7	2	0.02	0.11	both	0.73142	1	NA	0.73142	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	5'-UTR	FALSE
HG00132	PIGP	chr21	38444838	38445299	462	-	jaccard	0.069654	1	0.44	-0.16	33	75	35.3	59.1	36	0.48	0.47	both	0.27862	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	5'-UTR	FALSE
HG00132	PKNOX1	chr21	44438341	44441412	3072	+	jaccard	0.087423	1	0.85	-0.09	29	34	20	21.8	5	0.15	0.15	both	0.34969	1	NA	0.34969	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	3'-UTR	FALSE
HG00132	POFUT2	chr21	46697058	46698017	960	-	jaccard	0.40526	1	0.88	0.11	22	25	14.6	17.9	3	0.12	0.31	both	1	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	5'-UTR	FALSE
HG00132	PRMT2	chr21	48080875	48081711	837	+	jaccard	0.061019	1	0.34	-0.31	15	44	25.2	39.3	27	0.61	0.6	both	0.67121	1	NA	0.67121	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00132	SLC5A3	chr21	35446046	35497640	51595	+	jaccard	0.36571	1	0.72	-0.06	71	98	122.2	161.7	2	0.02	0.11	both	0.36571	1	NA	0.36571	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	5'-UTR	FALSE
HG00132	SPATC1L	chr21	47588573	47604269	15697	-	jaccard	0.39223	1	0.8	-0.07	36	45	41.3	49.7	7	0.16	0.25	both	0.78446	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	5'-UTR	FALSE
HG00132	TEKT4P2	chr21	9909278	9966321	57044	-	jaccard	0.5915	1	0.43	-0.08	12	28	14.6	30.2	1	0.04	0.21	both	1	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	TRUE
HG00132	VPS26C	chr21	38600108	38600523	416	-	jaccard	0.27622	1	0.87	-0.07	26	30	43.7	48.4	0	0	0.13	both	1	1	NA	1	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00149	AP000295.1	chr21	34602522	34614144	11623	+	jaccard	0.094683	1	0.32	0.08	34	107	15.2	63.2	19	0.18	0.27	start	1	1	NA	NA	NA	NA	NA	NA	NA	NA	exonElongation	likely	5'-UTR	FALSE
HG00149	AP000311.1	chr21	35286805	35288031	1227	-	jaccard	0.46583	1	0.35	-0.15	13	37	37.2	57.4	23	0.62	0.75	both	0.46583	1	NA	0.46583	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00149	AP001469.3	chr21	47671597	47674305	2709	-	jaccard	0.2591	1	0.87	0.07	45	52	40.9	50.5	7	0.13	0.33	both	0.2591	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	no	FALSE
HG00149	APP	chr21	27254083	27264033	9951	-	jaccard	0.25226	1	0.92	0.05	99	108	116.1	132.2	9	0.08	0.19	both	1	1	NA	1	NA	1	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	no	FALSE
HG00149	ATP5PO	chr21	35286805	35288031	1227	-	jaccard	0.46583	1	0.35	-0.15	13	37	37.2	57.4	23	0.62	0.75	both	0.46583	1	NA	0.46583	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00149	BTG3	chr21	18971143	18977177	6035	-	jaccard	0.10404	1	0.82	0.09	58	71	63.1	89.7	13	0.18	0.22	both	0.41616	1	NA	0.41616	NA	1	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	no	FALSE
HG00149	CLDN14	chr21	37898826	37914862	16037	-	jaccard	0.39223	1	0.65	0.14	11	17	11.5	20.1	2	0.12	0.33	both	0.39223	1	NA	0.39223	NA	1	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	5'-UTR	FALSE
HG00149	FP565260.2	chr21	45560225	45563086	2862	+	jaccard	0.39931	1	0.66	0.06	170	258	121	188.3	69	0.27	0.46	both	1	1	NA	1	NA	NA	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	3'-UTR	FALSE
HG00149	GATD3A	chr21	45560225	45563086	2862	+	jaccard	0.39931	1	0.66	0.06	170	258	121	188.3	69	0.27	0.46	both	1	1	NA	1	NA	NA	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	3'-UTR	FALSE
HG00149	GATD3B	chr21	45560225	45563086	2862	+	jaccard	0.39931	1	0.66	0.06	170	258	121	188.3	69	0.27	0.46	both	1	1	NA	1	NA	1	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	3'-UTR	FALSE
HG00149	HSPA13	chr21	15746606	15747972	1367	-	jaccard	0.20706	1	0.94	0.07	48	51	37	41.3	3	0.06	0.23	both	0.82824	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	no	FALSE
HG00149	IFNAR2	chr21	34602522	34614144	11623	+	jaccard	0.094683	1	0.32	0.08	34	107	15.2	63.2	19	0.18	0.27	start	0.75746	1	NA	NA	NA	NA	NA	NA	NA	NA	exonElongation	likely	5'-UTR	FALSE
HG00149	IL10RB	chr21	34640823	34648900	8078	+	jaccard	0.12803	1	0.85	-0.06	79	93	85.9	93.2	4	0.04	0.07	both	0.64017	1	NA	0.64017	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	3'-UTR	FALSE
HG00149	MCM3AP	chr21	47671597	47674305	2709	-	jaccard	0.2591	1	0.87	0.07	45	52	40.9	50.5	7	0.13	0.33	both	1	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	no	FALSE
HG00149	PIGP	chr21	38439681	38441851	2171	-	jaccard	0.13339	1	0.97	0.06	75	77	83.2	93.9	2	0.03	0.13	both	0.53355	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	no	FALSE
HG00149	PKNOX1	chr21	44430335	44433177	2843	+	jaccard	0.18806	1	0.91	-0.06	21	23	20	20.4	2	0.09	0.09	both	0.75222	1	NA	0.75222	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00149	POFUT2	chr21	46697058	46698017	960	-	jaccard	0.17549	1	0.79	-0.12	19	24	14.6	17.9	5	0.21	0.31	both	0.52646	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	5'-UTR	FALSE
HG00149	PRMT2	chr21	48078833	48080744	1912	+	jaccard	0.24454	1	0.51	-0.08	31	61	43.7	74.7	30	0.49	0.49	both	1	1	NA	1	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	3'-UTR	FALSE
HG00149	RRP1	chr21	45217433	45217511	79	+	jaccard	0.059302	1	0.82	-0.08	108	131	158.8	169.8	23	0.18	0.18	both	0.47441	1	NA	0.47441	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	3'-UTR	FALSE
HG00149	SLC19A1	chr21	46952063	46957684	5622	-	jaccard	0.27806	1	0.31	-0.07	20	64	13.4	32.2	11	0.17	0.25	both	0.83418	1	NA	0.83418	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00149	SPATC1L	chr21	47588573	47604269	15697	-	jaccard	0.31968	1	0.91	0.09	42	46	41.3	49.7	2	0.04	0.25	both	0.63937	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	5'-UTR	FALSE
HG00149	TEKT4P2	chr21	9966381	9968515	2135	-	jaccard	0.25893	1	0.22	-0.21	6	27	17.2	32.6	21	0.78	0.77	both	0.7768	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	TRUE
HG00149	URB1	chr21	33687411	33688776	1366	-	jaccard	0.075052	1	0.89	-0.1	31	35	21.6	22.9	4	0.11	0.16	both	1	1	NA	1	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00149	VPS26C	chr21	38605744	38610760	5017	-	jaccard	0.13899	1	0.76	-0.08	70	92	70	82.8	14	0.15	0.15	both	0.69496	1	NA	0.69496	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00149	WRB	chr21	40765207	40768791	3585	+	jaccard	0.27427	1	0.77	-0.1	17	22	18.3	20.6	3	0.14	0.14	both	1	1	NA	1	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	3'-UTR	FALSE
HG00149	WRB-SH3BGR	chr21	40765207	40768791	3585	+	jaccard	0.27427	1	0.77	-0.1	17	22	18.3	20.6	3	0.14	0.14	both	1	1	NA	1	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	3'-UTR	FALSE
HG00150	AP000295.1	chr21	34614283	34615977	1695	+	jaccard	0.069497	1	0.89	-0.06	84	94	97.9	105.3	9	0.1	0.16	both	0.90346	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00150	AP000311.1	chr21	35286805	35288031	1227	-	jaccard	0.40425	1	0.88	0.14	66	75	37.2	57.4	8	0.11	0.75	both	0.40425	1	NA	0.40425	NA	1	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	no	FALSE
HG00150	AP000317.2	chr21	35497781	35514707	16927	+	jaccard	0.19491	1	0.92	-0.05	35	38	37.9	39.5	0	0	0	both	0.38982	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00150	AP001469.3	chr21	47671597	47674305	2709	-	jaccard	0.025203	1	0.67	-0.17	24	36	40.9	50.5	12	0.33	0.33	both	0.025203	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00150	APP	chr21	27348342	27354656	6315	-	jaccard	0.082268	1	0.8	-0.07	81	101	107.3	123.6	20	0.2	0.2	both	1	1	NA	1	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00150	ATP5PO	chr21	35286805	35288031	1227	-	jaccard	0.40425	1	0.88	0.14	66	75	37.2	57.4	8	0.11	0.75	both	0.40425	1	NA	0.40425	NA	NA	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	no	FALSE
HG00150	BTG3	chr21	18981471	18985016	3546	-	jaccard	0.099996	1	0.73	0.23	49	67	31.1	52.8	15	0.22	0.76	both	0.39998	1	NA	0.39998	NA	1	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	5'-UTR	FALSE
HG00150	CR392039.1_2	chr21	9909278	9966321	57044	-	jaccard	0.20493	1	0.33	-0.18	7	21	14.6	30.2	1	0.05	0.21	both	0.20493	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	TRUE
HG00150	CR392039.2_2	chr21	9909278	9966321	57044	-	jaccard	0.20493	1	0.33	-0.18	7	21	14.6	30.2	1	0.05	0.21	both	0.20493	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	TRUE
HG00150	CR392039.4	chr21	9909278	9966321	57044	-	jaccard	0.20493	1	0.33	-0.18	7	21	14.6	30.2	1	0.05	0.21	both	0.20493	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	TRUE
HG00150	FP565260.2	chr21	45560225	45563086	2862	+	jaccard	0.15679	1	0.59	-0.09	113	192	121	188.3	58	0.3	0.46	both	0.78394	1	NA	0.78394	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	3'-UTR	FALSE
HG00150	GATD3A	chr21	45560225	45563086	2862	+	jaccard	0.15679	1	0.59	-0.09	113	192	121	188.3	58	0.3	0.46	both	0.78394	1	NA	0.78394	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	3'-UTR	FALSE
HG00150	GATD3B	chr21	45560225	45563086	2862	+	jaccard	0.15679	1	0.59	-0.09	113	192	121	188.3	58	0.3	0.46	both	0.78394	1	NA	0.78394	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	3'-UTR	FALSE
HG00150	HSPA13	chr21	15746606	15747972	1367	-	jaccard	0.21275	1	0.83	-0.08	24	29	37	41.3	4	0.14	0.23	both	0.85099	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00150	IFNAR2	chr21	34614283	34615977	1695	+	jaccard	0.069497	1	0.89	-0.06	84	94	97.9	105.3	9	0.1	0.16	both	0.55598	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00150	MCM3AP	chr21	47660932	47662715	1784	-	jaccard	0.01343	1	0.83	-0.11	95	114	100.4	111.5	16	0.14	0.18	both	0.09401	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
