ensembl_gene_id	gene_biotype	external_gene_name	percentage_gene_gc_content
ENSG00000198912	protein_coding	C1orf174	49.32
ENSG00000198914	protein_coding	POU3F3	62
ENSG00000198915	protein_coding	RASGEF1A	56.36
ENSG00000198917	protein_coding	SPOUT1	57.6
ENSG00000198918	protein_coding	RPL39	46.07
ENSG00000198919	protein_coding	DZIP3	35.7
ENSG00000198920	protein_coding	KIAA0753	41.53
ENSG00000198923	processed_pseudogene	AC011611.1	47.72
ENSG00000198924	protein_coding	DCLRE1A	36.75
ENSG00000198925	protein_coding	ATG9A	55.52
ENSG00000198929	protein_coding	NOS1AP	42.44
ENSG00000198930	protein_coding	CSAG1	40.67
ENSG00000198931	protein_coding	APRT	64.29
ENSG00000198932	protein_coding	GPRASP1	49.32
ENSG00000198933	protein_coding	TBKBP1	58.66
ENSG00000198934	protein_coding	MAGEE1	54.03
ENSG00000198937	protein_coding	CCDC167	52.28
ENSG00000198938	protein_coding	MT-CO3	46.56
ENSG00000198939	protein_coding	ZFP2	42.31
ENSG00000198944	protein_coding	SOWAHA	57.68
ENSG00000198945	protein_coding	L3MBTL3	38.41
ENSG00000198947	protein_coding	DMD	36.42
ENSG00000198948	protein_coding	MFAP3L	42.91
ENSG00000198951	protein_coding	NAGA	53.26
ENSG00000198952	protein_coding	SMG5	49.82
ENSG00000198954	protein_coding	KIF1BP	43.19
ENSG00000198959	protein_coding	TGM2	52.67
ENSG00000198960	protein_coding	ARMCX6	51.56
ENSG00000198961	protein_coding	PJA2	37.65
ENSG00000198963	protein_coding	RORB	37.74
ENSG00000198964	protein_coding	SGMS1	39.37
ENSG00000198965	protein_coding	OR10R2	34.14
ENSG00000198967	protein_coding	OR10Z1	39.04
ENSG00000198972	miRNA	MIRLET7E	56.96
ENSG00000198973	miRNA	MIR375	67.19
ENSG00000198974	miRNA	MIR30E	51.09
ENSG00000198975	miRNA	MIRLET7A2	40.28
ENSG00000198976	miRNA	MIR429	57.83
ENSG00000198982	miRNA	MIR380	40.98
ENSG00000198983	miRNA	MIR449A	42.86
ENSG00000198984	miRNA	MIR345	60.2
ENSG00000198987	miRNA	MIR16-2	37.04
ENSG00000198995	miRNA	MIR340	38.95
ENSG00000198997	miRNA	MIR107	46.91
ENSG00000199001	miRNA	MIR448	53.15
ENSG00000199005	miRNA	MIR370	57.33
ENSG00000199012	miRNA	MIR412	52.75
ENSG00000199015	miRNA	MIR377	39.13
ENSG00000199017	miRNA	MIR1-1	36.62
ENSG00000199020	miRNA	MIR381	40
ENSG00000199023	miRNA	MIR339	73.4
ENSG00000199024	miRNA	MIR103A2	44.87
ENSG00000199025	miRNA	MIR369	37.14
ENSG00000199030	miRNA	MIRLET7C	47.62
ENSG00000199031	miRNA	MIR371A	52.24
ENSG00000199032	miRNA	MIR425	57.47
ENSG00000199035	miRNA	MIR103A1	48.72
ENSG00000199036	miRNA	MIR219A1	68.18
ENSG00000199038	miRNA	MIR210	72.73
ENSG00000199043	miRNA	MIR335	38.3
ENSG00000199047	miRNA	MIR378A	53.03
ENSG00000199051	miRNA	MIR361	41.67
ENSG00000199053	miRNA	MIR324	61.45
ENSG00000199059	miRNA	MIR135B	52.58
ENSG00000199065	miRNA	MIR101-2	40.51
ENSG00000199069	miRNA	MIR323A	50
ENSG00000199072	miRNA	MIRLET7F1	40.23
ENSG00000199075	miRNA	MIR26A1	55.84
ENSG00000199077	miRNA	MIR129-2	53.33
ENSG00000199080	miRNA	MIR133B	57.14
ENSG00000199082	miRNA	MIR342	49.49
ENSG00000199085	miRNA	MIR148A	45.59
ENSG00000199088	miRNA	MIR379	41.79
ENSG00000199090	miRNA	MIR326	64.21
ENSG00000199092	miRNA	MIR410	41.25
ENSG00000199094	miRNA	MIR30C2	41.67
ENSG00000199095	miRNA	MIR372	50.75
ENSG00000199102	miRNA	MIR302C	45.59
ENSG00000199104	miRNA	MIR346	67.37
ENSG00000199107	miRNA	MIR409	53.16
ENSG00000199109	miRNA	MIR411	46.88
ENSG00000199121	miRNA	MIR26B	55.84
ENSG00000199122	miRNA	MIR148B	43.43
ENSG00000199127	miRNA	MIR383	49.32
ENSG00000199130	miRNA	MIR365A	44.83
ENSG00000199132	miRNA	MIR450A1	27.47
ENSG00000199133	miRNA	MIRLET7D	48.28
ENSG00000199135	miRNA	MIR101-1	45.33
ENSG00000199143	miRNA	MIR373	50.72
ENSG00000199145	miRNA	MIR302D	42.65
ENSG00000199150	miRNA	MIRLET7G	50
ENSG00000199151	miRNA	MIR337	48.39
ENSG00000199153	miRNA	MIR30D	45.71
ENSG00000199156	miRNA	MIR422A	57.78
ENSG00000199157	miRNA	MIR208A	50.7
ENSG00000199158	miRNA	MIR96	47.44
ENSG00000199161	miRNA	MIR126	52.94
ENSG00000199165	miRNA	MIRLET7A1	42.5
ENSG00000199168	miRNA	MIR374A	31.94
ENSG00000199169	miRNA	MIR367	35.29
ENSG00000199172	miRNA	MIR331	51.06
ENSG00000199177	miRNA	MIR31	50.7
ENSG00000199179	miRNA	MIRLET7I	53.57
ENSG00000199196	snoRNA	AL160394.1	39.06
ENSG00000199197	misc_RNA	RN7SKP72	53.77
ENSG00000199200	misc_RNA	Y_RNA	41.67
ENSG00000199201	misc_RNA	Y_RNA	41.75
ENSG00000199202	rRNA_pseudogene	RNA5SP289	47.45
ENSG00000199203	misc_RNA	Y_RNA	42.86
ENSG00000199204	misc_RNA	Y_RNA	40.2
ENSG00000199212	snoRNA	RNU105C	52.63
ENSG00000199217	snRNA	RNU6-1123P	41.51
ENSG00000199218	misc_RNA	RN7SKP184	49.85
ENSG00000199219	snRNA	RNU6-500P	35.51
ENSG00000199220	misc_RNA	Y_RNA	38.6
ENSG00000199222	misc_RNA	Y_RNA	42.16
ENSG00000199223	misc_RNA	Y_RNA	42.16
ENSG00000199224	misc_RNA	Y_RNA	42.57
ENSG00000199226	snRNA	RNU6-50P	33.98
ENSG00000199231	snoRNA	AC069285.1	38.75
ENSG00000199237	snRNA	RNU6-834P	40
ENSG00000199240	rRNA_pseudogene	RNA5SP46	47.5
ENSG00000199241	misc_RNA	Y_RNA	40
ENSG00000199245	misc_RNA	Y_RNA	38.53
ENSG00000199246	snRNA	RNU6-896P	38.32
ENSG00000199248	snRNA	RNU6-28P	41.12
ENSG00000199251	snRNA	RNU6-664P	37.38
ENSG00000199260	snRNA	RNU6-874P	42.86
ENSG00000199263	misc_RNA	Y_RNA	44.64
ENSG00000199266	snoRNA	SNORA60	50.75
ENSG00000199270	rRNA	RNA5S12	60.5
ENSG00000199272	snRNA	RNU6-349P	40.19
ENSG00000199273	misc_RNA	Y_RNA	45.54
ENSG00000199276	rRNA_pseudogene	RNA5SP26	42.86
ENSG00000199279	snRNA	RNU6-661P	39.25
ENSG00000199282	snoRNA	AL356754.1	48.09
ENSG00000199283	snRNA	RNU1-58P	47.85
ENSG00000199285	misc_RNA	Y_RNA	39.81
ENSG00000199286	snRNA	RNU6-1094P	41.35
ENSG00000199289	snRNA	RNU6-502P	44.44
ENSG00000199290	misc_RNA	Y_RNA	41.18
ENSG00000199291	misc_RNA	Y_RNA	42.16
ENSG00000199293	snoRNA	SNORA21	47.73
ENSG00000199295	snRNA	RNU6-1312P	35.19
ENSG00000199299	rRNA_pseudogene	RNA5SP430	53.64
ENSG00000199301	snRNA	RNU6-208P	41.12
ENSG00000199303	misc_RNA	Y_RNA	41.44
ENSG00000199306	snRNA	RNU6-858P	40.19
ENSG00000199308	snRNA	RNU6-222P	42.99
ENSG00000199311	snoRNA	SNORD115-34	41.46
ENSG00000199313	snRNA	RNU4-82P	40.71
ENSG00000199315	rRNA_pseudogene	RNA5SP347	47.06
ENSG00000199318	rRNA_pseudogene	RNA5SP52	47.01
ENSG00000199319	misc_RNA	RN7SKP25	53.25
ENSG00000199321	snoRNA	AL512272.1	41.1
ENSG00000199322	rRNA_pseudogene	RNA5SP183	52.94
ENSG00000199325	snRNA	RNU4-39P	45.67
ENSG00000199326	snRNA	RNU6-1298P	35.64
ENSG00000199327	snRNA	RNU6-230P	37.5
ENSG00000199331	misc_RNA	Y_RNA	44.12
ENSG00000199332	misc_RNA	Y_RNA	40.4
ENSG00000199334	rRNA	RNA5S11	60.5
ENSG00000199335	snRNA	RNU6-204P	43.93
ENSG00000199337	rRNA	RNA5S3	60.5
ENSG00000199347	snRNA	RNU5E-1	40
ENSG00000199348	snRNA	RNU6-766P	42.99
ENSG00000199349	misc_RNA	Y_RNA	39.82
ENSG00000199350	rRNA_pseudogene	RNA5SP432	51.72
ENSG00000199352	rRNA	RNA5S1	60.5
ENSG00000199354	rRNA_pseudogene	RNA5SP273	52.21
ENSG00000199357	misc_RNA	Y_RNA	39.18
ENSG00000199360	snRNA	RNU6-1115P	39.62
ENSG00000199361	snRNA	RNU1-150P	49.38
ENSG00000199362	misc_RNA	Y_RNA	44.12
ENSG00000199363	snoRNA	SNORA63E	46.56
ENSG00000199364	rRNA_pseudogene	RNA5SP327	44.55
ENSG00000199366	misc_RNA	Y_RNA	43.4
ENSG00000199368	snRNA	RNU6-1084P	41.12
ENSG00000199370	snoRNA	U3	48.37
ENSG00000199373	rRNA_pseudogene	RNA5SP453	47.06
ENSG00000199377	snRNA	RNU5F-1	35.04
ENSG00000199378	misc_RNA	Y_RNA	41.75
ENSG00000199381	snRNA	RNU6-79P	35.51
ENSG00000199385	snRNA	RNU6-369P	42.16
ENSG00000199390	snoRNA	SNORD114-7	40.26
ENSG00000199392	snoRNA	AC124254.1	42.52
ENSG00000199394	snRNA	RNU6-600P	39.39
ENSG00000199395	rRNA_pseudogene	RNA5SP93	50.88
ENSG00000199396	rRNA	RNA5S5	60.5
ENSG00000199398	misc_RNA	Y_RNA	45.1
ENSG00000199400	misc_RNA	RNY4P19	37.5
ENSG00000199402	rRNA_pseudogene	RNA5SP308	45.22
ENSG00000199404	rRNA	RNA5SP250	56.3
ENSG00000199405	snoRNA	SNORA1B	39.85
ENSG00000199407	rRNA_pseudogene	RNA5SP301	48.76
ENSG00000199409	misc_RNA	Y_RNA	43.56
ENSG00000199410	misc_RNA	Y_RNA	45.63
ENSG00000199411	snoRNA	SNORD62	41.86
ENSG00000199415	rRNA_pseudogene	RNA5SP370	59.5
ENSG00000199420	misc_RNA	RN7SKP170	46.65
ENSG00000199422	misc_RNA	VTRNA3-1P	53.92
ENSG00000199424	misc_RNA	Y_RNA	45.05
ENSG00000199426	snRNA	RNU1-108P	44.72
ENSG00000199436	snoRNA	SNORD9	47.12
ENSG00000199440	misc_RNA	Y_RNA	42.48
ENSG00000199442	misc_RNA	Y_RNA	47.42
ENSG00000199444	misc_RNA	Y_RNA	42.16
ENSG00000199446	snRNA	RNU6-543P	35.19
ENSG00000199448	snRNA	RNU6-845P	37.86
ENSG00000199450	rRNA_pseudogene	RNA5SP276	45.74
ENSG00000199453	snoRNA	SNORD115-12	43.9
ENSG00000199454	rRNA_pseudogene	RNA5SP388	48.74
ENSG00000199455	rRNA_pseudogene	RNA5SP191	50.98
ENSG00000199458	snRNA	RNU4-35P	41.84
ENSG00000199459	misc_RNA	Y_RNA	43.64
ENSG00000199460	snRNA	RNU6-1216P	40.19
ENSG00000199461	misc_RNA	Y_RNA	46.08
ENSG00000199466	misc_RNA	Y_RNA	40.2
ENSG00000199468	snRNA	RNU6-556P	40
ENSG00000199469	snRNA	RNU1-62P	45.73
ENSG00000199470	snoRNA	AC011891.1	48.48
ENSG00000199471	misc_RNA	Y_RNA	43.56
ENSG00000199472	misc_RNA	Y_RNA	39.29
ENSG00000199473	snoRNA	SNORA63	34.92
ENSG00000199474	snoRNA	AC092324.1	38.71
ENSG00000199475	misc_RNA	RN7SKP104	45.43
ENSG00000199476	misc_RNA	Y_RNA	43.52
ENSG00000199477	snoRNA	SNORA31	43.08
ENSG00000199480	rRNA_pseudogene	RNA5SP389	52.17
ENSG00000199482	snRNA	RNU6-633P	36.89
ENSG00000199483	snRNA	RNU4-15P	39.01
ENSG00000199487	misc_RNA	Y_RNA	41.18
ENSG00000199488	snRNA	RNU1-70P	51.22
ENSG00000199489	snoRNA	SNORD115-25	42.68
ENSG00000199490	misc_RNA	Y_RNA	40.82
ENSG00000199492	snRNA	RNU6-1313P	39.22
ENSG00000199497	snRNA	RNU1-94P	49.13
ENSG00000199506	snRNA	RNU6-247P	36.45
ENSG00000199508	rRNA_pseudogene	RNA5SP110	52.17
ENSG00000199509	rRNA_pseudogene	RNA5SP477	52.94
ENSG00000199512	snRNA	RNU6-212P	36.54
ENSG00000199514	snRNA	RNU6-235P	37.38
ENSG00000199515	misc_RNA	Y_RNA	44.09
ENSG00000199516	misc_RNA	Y_RNA	42.16
ENSG00000199520	snRNA	RNU6-386P	40.19
ENSG00000199523	rRNA_pseudogene	RNA5SP226	54.78
ENSG00000199525	rRNA_pseudogene	RNA5SP295	48.76
ENSG00000199529	snRNA	RNU6-462P	36.19
ENSG00000199530	misc_RNA	Y_RNA	38.89
ENSG00000199535	rRNA_pseudogene	RNA5SP305	48.74
ENSG00000199536	snRNA	RNU6-315P	39.25
ENSG00000199540	misc_RNA	Y_RNA	37.84
ENSG00000199545	rRNA_pseudogene	RNA5SP195	50.43
ENSG00000199546	misc_RNA	Y_RNA	38.89
ENSG00000199550	misc_RNA	Y_RNA	46.02
ENSG00000199551	snRNA	RNU6-545P	43.27
ENSG00000199552	snoRNA	SNORA63	39.39
ENSG00000199556	rRNA_pseudogene	RNA5SP361	45.76
ENSG00000199562	snRNA	RNU6-37P	45.79
ENSG00000199564	rRNA_pseudogene	RNA5SP502	48.74
ENSG00000199565	misc_RNA	Y_RNA	44.12
ENSG00000199566	snoRNA	AC008083.1	52.27
ENSG00000199567	misc_RNA	Y_RNA	38.89
ENSG00000199568	snRNA	RNU5A-1	41.38
ENSG00000199570	snRNA	RNU6-228P	40.57
ENSG00000199571	snoRNA	AC121336.1	37.31
ENSG00000199572	rRNA_pseudogene	RNA5SP174	61.86
ENSG00000199574	snoRNA	SNORD18C	33.33
ENSG00000199575	snoRNA	SNORD114-1	48.61
ENSG00000199577	snRNA	RNU6-822P	39.62
ENSG00000199580	misc_RNA	Y_RNA	43.69
ENSG00000199584	misc_RNA	Y_RNA	44.64
ENSG00000199585	rRNA_pseudogene	RNA5SP119	47.86
ENSG00000199591	misc_RNA	Y_RNA	42.99
ENSG00000199592	rRNA_pseudogene	RNA5SP321	49.55
ENSG00000199593	snoRNA	SNORD114-14	46.67
ENSG00000199594	snRNA	RNU6-1301P	36.54
ENSG00000199595	misc_RNA	Y_RNA	40.2
ENSG00000199598	snRNA	RNU6-859P	47.66
ENSG00000199601	snRNA	RNU6-562P	37.38
ENSG00000199603	snRNA	RNU6-951P	42.99
ENSG00000199605	misc_RNA	RNY4P24	40.62
ENSG00000199609	rRNA_pseudogene	RNA5SP124	52.73
ENSG00000199620	rRNA_pseudogene	RNA5SP258	48.74
ENSG00000199622	misc_RNA	RN7SKP20	48.24
ENSG00000199626	snRNA	RNU6-989P	37.38
ENSG00000199627	snRNA	RNU6-1010P	42.06
ENSG00000199629	snRNA	RNU1-14P	50
ENSG00000199630	misc_RNA	Y_RNA	40.62
ENSG00000199631	snoRNA	SNORD33	55.29
ENSG00000199633	snoRNA	SNORA63	35.71
ENSG00000199634	snRNA	RNU4-79P	39.01
ENSG00000199635	misc_RNA	Y_RNA	45.1
ENSG00000199636	misc_RNA	Y_RNA	36.19
ENSG00000199638	rRNA_pseudogene	RNA5SP319	50.42
ENSG00000199640	misc_RNA	RN7SKP294	48.52
ENSG00000199643	snRNA	RNU4-90P	34.04
ENSG00000199645	snRNA	RNU6-1330P	40.95
ENSG00000199646	snRNA	RNU6-1272P	43.93
ENSG00000199652	snRNA	RNU1-35P	37.91
ENSG00000199664	snRNA	RNU6-1266P	39.05
ENSG00000199666	snoRNA	SNORD3G	48.37
ENSG00000199667	misc_RNA	Y_RNA	43.14
ENSG00000199668	misc_RNA	Y_RNA	41.07
ENSG00000199672	snRNA	RNU4-21P	42.86
ENSG00000199673	snoRNA	SNORD16	44.44
ENSG00000199674	snRNA	RNU6-862P	40.95
ENSG00000199676	misc_RNA	Y_RNA	38.05
ENSG00000199677	misc_RNA	Y_RNA	42.16
ENSG00000199683	misc_RNA	RN7SKP185	53.07
ENSG00000199687	snRNA	RNU1-38P	47.22
ENSG00000199691	misc_RNA	RN7SKP173	48.25
ENSG00000199695	snRNA	RNU6-1128P	42.2
ENSG00000199697	snRNA	RNU6-446P	42.45
ENSG00000199698	misc_RNA	Y_RNA	39.22
ENSG00000199700	snRNA	RNU6-223P	39.25
ENSG00000199701	misc_RNA	Y_RNA	43.88
ENSG00000199702	snRNA	RNU6-170P	39.42
ENSG00000199704	snoRNA	SNORD115-29	42.68
ENSG00000199705	misc_RNA	Y_RNA	41.18
ENSG00000199709	snRNA	RNU4-23P	40
ENSG00000199710	misc_RNA	Y_RNA	46.46
ENSG00000199711	misc_RNA	Y_RNA	41.18
ENSG00000199712	snoRNA	SNORD115-2	42.68
ENSG00000199713	snoRNA	U8	40.3
ENSG00000199715	misc_RNA	Y_RNA	40.2
ENSG00000199716	misc_RNA	Y_RNA	40
ENSG00000199719	misc_RNA	RN7SKP74	49.19
ENSG00000199728	snRNA	RNU6-655P	42.06
ENSG00000199730	misc_RNA	RN7SKP95	50.5
ENSG00000199731	snRNA	RNU6-1079P	42.73
ENSG00000199732	misc_RNA	Y_RNA	45.1
ENSG00000199733	rRNA_pseudogene	RNA5SP307	50
ENSG00000199735	snRNA	RNU6-227P	39.81
ENSG00000199739	snRNA	RNU6-552P	40.34
ENSG00000199740	misc_RNA	Y_RNA	44
ENSG00000199744	snoRNA	SNORD36A	39.73
ENSG00000199751	misc_RNA	Y_RNA	42.16
ENSG00000199753	snoRNA	SNORD104	51.43
ENSG00000199755	misc_RNA	Y_RNA	38.53
ENSG00000199756	misc_RNA	Y_RNA	37.27
ENSG00000199762	misc_RNA	Y_RNA	38.46
ENSG00000199764	misc_RNA	Y_RNA	39.81
ENSG00000199765	snRNA	RNU6-363P	38.1
ENSG00000199767	snRNA	RNU6-78P	41.12
ENSG00000199771	rRNA_pseudogene	RNA5SP426	47.93
ENSG00000199773	snRNA	RNU1-76P	45.28
ENSG00000199780	misc_RNA	Y_RNA	36.28
ENSG00000199781	misc_RNA	Y_RNA	36.36
ENSG00000199782	snoRNA	SNORD115-9	43.9
ENSG00000199783	snoRNA	AL049759.1	44.12
ENSG00000199784	snRNA	RNU6-1287P	37.38
ENSG00000199785	snoRNA	SNORA52	60.45
ENSG00000199786	rRNA_pseudogene	RNA5SP188	50.39
ENSG00000199787	snoRNA	SNORA80C	54.81
ENSG00000199788	misc_RNA	RNY3P2	44.12
ENSG00000199790	snRNA	RNU6-836P	34.58
ENSG00000199791	snRNA	RNU6-451P	36.45
ENSG00000199792	snRNA	RNU6-1233P	36.27
ENSG00000199796	snRNA	RNU6-924P	38.89
ENSG00000199797	misc_RNA	Y_RNA	41.24
ENSG00000199798	snoRNA	SNORD114-5	44.29
ENSG00000199801	misc_RNA	Y_RNA	41.28
ENSG00000199803	snRNA	RNU6-1159P	40.19
ENSG00000199804	rRNA_pseudogene	RNA5SP383	48.33
ENSG00000199805	snRNA	RNU1-134P	54.55
ENSG00000199806	rRNA_pseudogene	RNA5SP491	61.02
ENSG00000199809	rRNA_pseudogene	RNA5SP374	46.4
ENSG00000199812	snRNA	RNU6-428P	42.06
ENSG00000199814	snRNA	RNU6-1260P	42.06
ENSG00000199815	snoRNA	AC034186.1	46.03
ENSG00000199824	snRNA	RNU6-199P	38.32
ENSG00000199827	snRNA	RNU6-1290P	36.7
ENSG00000199831	misc_RNA	RN7SKP291	51.68
ENSG00000199832	misc_RNA	Y_RNA	37.38
ENSG00000199833	snoRNA	SNORD115-21	41.98
ENSG00000199836	snRNA	RNU1-47P	57.06
ENSG00000199837	rRNA	RNA5SP71	56.35
ENSG00000199839	rRNA	RNA5SP150	60.5
ENSG00000199840	misc_RNA	Y_RNA	40
ENSG00000199843	rRNA_pseudogene	RNA5SP358	56.41
ENSG00000199845	rRNA_pseudogene	RNA5SP375	51.26
ENSG00000199846	snRNA	RNU1-72P	43.14
ENSG00000199849	snRNA	RNU5F-6P	36.21
ENSG00000199851	snoRNA	U3	45.71
ENSG00000199855	snRNA	RNU6-490P	39.25
ENSG00000199856	snoRNA	U3	46.76
ENSG00000199857	snoRNA	AC096743.1	32.39
ENSG00000199858	snRNA	RNU6-1120P	34.26
ENSG00000199859	snRNA	RNU6-582P	44.86
ENSG00000199862	misc_RNA	Y_RNA	38.94
ENSG00000199865	snRNA	RNU6-495P	44.86
ENSG00000199866	misc_RNA	Y_RNA	43.14
ENSG00000199867	misc_RNA	Y_RNA	39.22
ENSG00000199870	misc_RNA	Y_RNA	41.18
ENSG00000199872	snRNA	RNU6-942P	38.32
ENSG00000199874	rRNA_pseudogene	RNA5SP452	57.98
ENSG00000199875	misc_RNA	Y_RNA	37.17
ENSG00000199878	misc_RNA	RN7SKP149	42.44
ENSG00000199879	snRNA	RNU1-120P	42.68
ENSG00000199880	snRNA	RNU6-888P	35.64
ENSG00000199881	misc_RNA	Y_RNA	38.46
ENSG00000199883	misc_RNA	RN7SKP90	53.43
ENSG00000199884	misc_RNA	Y_RNA	40.54
ENSG00000199885	snRNA	RNU6-330P	30.84
ENSG00000199886	snRNA	RNU6-249P	43.14
ENSG00000199890	misc_RNA	Y_RNA	40.54
ENSG00000199892	snRNA	RNU1-17P	46.71
ENSG00000199894	snoRNA	AC093872.1	37.5
ENSG00000199895	misc_RNA	Y_RNA	43.56
ENSG00000199899	misc_RNA	Y_RNA	37.37
ENSG00000199900	rRNA	RNA5SP463	52.5
ENSG00000199901	misc_RNA	Y_RNA	43.14
ENSG00000199903	snRNA	RNU6-1273P	42.31
ENSG00000199905	snRNA	RNU6-492P	42.31
ENSG00000199906	snRNA	RNU5B-2P	38.94
ENSG00000199910	rRNA	RNA5S10	60.5
ENSG00000199911	misc_RNA	Y_RNA	35.29
ENSG00000199912	misc_RNA	Y_RNA	42.99
ENSG00000199913	misc_RNA	Y_RNA	41.18
ENSG00000199914	snoRNA	SNORD114-16	47.14
ENSG00000199920	snRNA	RNU4-44P	42.55
ENSG00000199921	snRNA	RNU6-161P	39.62
ENSG00000199924	snRNA	RNU6-1252P	39.42
ENSG00000199927	snoRNA	AC025614.1	44.7
ENSG00000199929	rRNA_pseudogene	RNA5SP405	46.49
ENSG00000199932	snRNA	RNU1-18P	47.56
ENSG00000199933	misc_RNA	RNY1P16	45.05
ENSG00000199934	snoRNA	SNORD81	32.47
ENSG00000199936	misc_RNA	Y_RNA	39.45
ENSG00000199938	misc_RNA	Y_RNA	38.68
ENSG00000199940	misc_RNA	RN7SKP75	50
ENSG00000199942	snoRNA	SNORD114-19	40
ENSG00000199944	snRNA	RNU6-653P	39.62
ENSG00000199949	misc_RNA	Y_RNA	36.84
ENSG00000199953	rRNA	RNA5SP443	56.06
ENSG00000199959	snoRNA	AL359273.1	37.23
ENSG00000199960	snoRNA	SNORD115-14	41.98
ENSG00000199961	snoRNA	SNORD1B	40.48
ENSG00000199962	misc_RNA	Y_RNA	39.45
ENSG00000199963	snRNA	RNU6-605P	40.74
ENSG00000199964	misc_RNA	Y_RNA	44.12
ENSG00000199968	snoRNA	SNORD115-19	41.46
ENSG00000199970	snoRNA	SNORD115-3	41.46
ENSG00000199971	snRNA	RNU6-797P	38.53
ENSG00000199975	misc_RNA	RN7SKP243	51.46
ENSG00000199977	snoRNA	SNORA73	46.83
ENSG00000199979	misc_RNA	Y_RNA	42.16
ENSG00000199985	rRNA_pseudogene	RNA5SP264	49.53
ENSG00000199986	snRNA	RNU6-486P	39.25
ENSG00000199990	misc_RNA	VTRNA1-1	52.53
ENSG00000199994	rRNA_pseudogene	RNA5SP145	52
ENSG00000200003	snRNA	RNU6-986P	35.29
ENSG00000200008	misc_RNA	Y_RNA	47.62
ENSG00000200011	misc_RNA	Y_RNA	46.08
ENSG00000200013	snRNA	RNU6-623P	39.05
ENSG00000200021	rRNA_pseudogene	RNA5SP448	54.05
ENSG00000200024	misc_RNA	Y_RNA	41.18
ENSG00000200026	snoRNA	U8	45.52
ENSG00000200028	rRNA_pseudogene	RNA5SP98	44.53
ENSG00000200029	snRNA	RNU6-642P	37.5
ENSG00000200033	snRNA	RNU6-403P	38.46
ENSG00000200034	snRNA	RNU4-73P	39.01
ENSG00000200036	rRNA_pseudogene	RNA5SP65	51.26
ENSG00000200040	misc_RNA	Y_RNA	38.94
ENSG00000200041	misc_RNA	Y_RNA	39.22
ENSG00000200047	misc_RNA	RN7SKP115	49.53
ENSG00000200048	snRNA	RNU6-812P	38.32
ENSG00000200049	misc_RNA	Y_RNA	45.54
ENSG00000200051	snoRNA	AC011399.1	32.47
ENSG00000200052	misc_RNA	Y_RNA	35.14
ENSG00000200057	misc_RNA	RN7SKP63	49.17
ENSG00000200058	rRNA_pseudogene	RNA5SP218	55.05
ENSG00000200059	misc_RNA	Y_RNA	46
ENSG00000200060	misc_RNA	Y_RNA	42.15
ENSG00000200062	snRNA	RNU4-58P	42.55
ENSG00000200063	snoRNA	AC061992.1	59.69
ENSG00000200064	misc_RNA	RNY4P9	38.14
ENSG00000200065	misc_RNA	Y_RNA	44.33
ENSG00000200070	snRNA	RNU4-80P	39.72
ENSG00000200072	snoRNA	AL138691.1	44.26
ENSG00000200075	snoRNA	AC022973.1	41.73
ENSG00000200079	rRNA_pseudogene	RNA5SP326	47.27
ENSG00000200084	snoRNA	SNORD68	45.24
ENSG00000200085	misc_RNA	Y_RNA	44.12
ENSG00000200086	snRNA	RNU6-433P	36.54
ENSG00000200087	snoRNA	SNORA73B	54.9
ENSG00000200089	snoRNA	SNORD114-31	50.67
ENSG00000200090	misc_RNA	Y_RNA	44.44
ENSG00000200091	misc_RNA	RN7SKP163	49.09
ENSG00000200095	snRNA	RNU6-181P	34.58
ENSG00000200097	snRNA	RNU6-1167P	37.23
ENSG00000200101	snRNA	RNU6-508P	32.04
ENSG00000200102	snRNA	RNU6-252P	37.38
ENSG00000200105	snRNA	RNU6-251P	39.42
ENSG00000200106	snRNA	RNU6-984P	41.28
ENSG00000200107	snRNA	RNU6-1249P	39.64
ENSG00000200108	snRNA	RNU6-774P	39.25
ENSG00000200112	snoRNA	AC012157.1	30.99
ENSG00000200113	snoRNA	AC078843.1	51.43
ENSG00000200114	rRNA_pseudogene	RNA5SP123	52.1
ENSG00000200118	misc_RNA	Y_RNA	47
ENSG00000200120	misc_RNA	Y_RNA	42.16
ENSG00000200121	misc_RNA	Y_RNA	36.17
ENSG00000200131	misc_RNA	RN7SKP77	47.88
ENSG00000200132	snRNA	RNU6-1021P	42.99
ENSG00000200135	misc_RNA	Y_RNA	39.82
ENSG00000200138	misc_RNA	RNY1P10	45.13
ENSG00000200139	snRNA	RNU6-778P	38.83
ENSG00000200142	misc_RNA	Y_RNA	44.9
ENSG00000200146	snRNA	RNU6-544P	37.38
ENSG00000200150	snoRNA	AL132709.1	35.62
ENSG00000200151	misc_RNA	RN7SKP231	54.87
ENSG00000200152	snRNA	RNU6-216P	43.27
ENSG00000200153	snRNA	RNU6-23P	43.93
ENSG00000200156	snRNA	RNU5B-1	39.66
ENSG00000200161	misc_RNA	RN7SKP145	48.51
ENSG00000200162	misc_RNA	Y_RNA	39.81
ENSG00000200163	snoRNA	SNORD115-18	41.46
ENSG00000200164	misc_RNA	Y_RNA	41.58
ENSG00000200168	rRNA_pseudogene	RNA5SP350	50.45
ENSG00000200169	snRNA	RNU5D-1	37.93
ENSG00000200170	misc_RNA	Y_RNA	47.52
ENSG00000200171	misc_RNA	Y_RNA	44.79
ENSG00000200174	misc_RNA	Y_RNA	43.64
