accession	superkingdom	phylum	class	order	family	genus	species
NZ_JGCM01000164.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JGCN01000047.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JGCN01000132.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JGCO01000181.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JGCO01000222.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JGCQ01000333.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JGCQ01000394.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JGCQ01000406.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JGCR01000269.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JGCS01000244.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JGCT01000237.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JGCW01000086.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JGCW01000376.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JGCW01000396.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JGCX01000126.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JGCY01000244.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JGCY01000264.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JGCY01000389.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JGCY01000398.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JGCZ01000108.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JGDE01000035.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JGDE01000065.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JGDE01000107.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JGDE01000136.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JGDE01000148.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JGDF01000063.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JGDF01000132.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JGDF01000148.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JGDG01000294.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JGDG01000513.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JGDG01000521.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JGDH01000016.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JGDH01000034.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JGDH01000066.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JGDH01000111.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JGDH01000122.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JGDI01000112.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JGDL01000038.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JGDM01000018.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JGDM01000089.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JGDP01000106.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JGDQ01000027.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JGDQ01000032.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JGDR01000054.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JGDS01000040.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JGDS01000047.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JGDS01000055.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JGVD01000093.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JGVF01000060.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JGVF01000077.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JGVG01000009.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JH724173.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JH724176.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JH724177.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JH724181.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JH815491.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JH815524.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JH815525.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JHEF01000020.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JUOZ01000078.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JUPJ01000148.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JVLP01000012.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JVLQ01000118.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JVLR01000112.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_KQ971004.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_KQ971013.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_KQ971036.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_KV751174.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_LIDU01000051.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_LIDU01000056.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_LIDV01000006.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_LIDV01000016.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_LIDV01000041.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_LN877293.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_MBRB01000006.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_MBRB01000008.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_MBRB01000020.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_MU255076.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_MU255080.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_MU255081.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_MU255083.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_MU255084.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_PDCT01000013.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_PDCT01000019.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_PDCT01000021.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_PDCU01000005.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_PDCU01000006.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_PDCV01000016.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_PDCW01000001.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_PDCW01000012.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_PDCW01000023.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_PDCW01000024.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_PDCX01000003.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_PDCX01000014.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_QRBX01000004.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_QRBX01000013.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_QRBX01000017.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_QRJE01000019.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_QRJX01000012.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_QRJX01000015.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_QRJX01000030.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_QRKP01000005.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_QRLH01000004.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_QRLH01000009.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_QRLH01000012.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_QRQH01000010.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_QRQH01000015.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_QRTQ01000017.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_QRTQ01000030.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_QRTT01000009.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_QRTT01000011.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_QRYS01000002.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_QRZH01000013.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_QRZH01000025.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_QRZO01000009.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_QRZO01000029.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_QSGL01000020.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_QSJF01000004.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_QSJF01000005.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_QSJF01000008.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_QSJF01000015.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_QSJF01000018.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_QSLE01000008.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_QSLE01000012.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_QSOR01000004.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_QSOR01000010.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_QSOR01000011.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_QSOR01000013.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_QSRG01000001.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_QSRG01000010.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_QSRG01000014.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_QSSJ01000009.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_QSTV01000011.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_QSUS01000001.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_QSUS01000002.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_QSUS01000014.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_QSVD01000010.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_QSVT01000007.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_QSVT01000009.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_QSVT01000011.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_QSWB01000004.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_QSWB01000006.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_QSWB01000009.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_QSWB01000012.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_QSWE01000001.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_QSWE01000007.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_QSWE01000014.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_RCXN01000001.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_RCXN01000007.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_RCXN01000008.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_WQQV01000008.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_WQQV01000096.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
