"Feature","CAS","SUPER_PATHWAY","SUB_PATHWAY","COMP_ID","PLATFORM","RI","MASS","PUBCHEM","KEGG","HMDB"
"cortisol","50-23-7;","Lipid","Sterol/Steroid",1712,"LC/MS Pos",4573,363.2,NA,"C00735","HMDB00063"
"cortisone","53-06-5;","Lipid","Sterol/Steroid",1769,"LC/MS Pos",4420,361.2,"222786","C00762","HMDB02802"
"creatine","57-00-1;","Amino acid","Creatine metabolism",27718,"LC/MS Pos",758,132.1,"586","C00300","HMDB00064"
"creatinine","60-27-5;","Amino acid","Creatine metabolism",513,"LC/MS Pos",730,114.1,"588","C00791","HMDB00562"
"cysteine","52-90-4;56-89-3;","Amino acid","Cysteine, methionine, SAM, taurine metabolism",31453,"GC/MS",1560.1,218,"5862","C00097","HMDB00574"
"cysteine-glutathione disulfide","13081-14-6;","Amino acid","Glutathione metabolism",35159,"LC/MS Pos",821,427.1,"53477713; 65359; 11215652; 11767258",NA,"HMDB00656"
"cysteinylglycine","19246-18-5;","Peptide","Dipeptide",35637,"LC/MS Neg",881,177,"439498","C01419","HMDB00078"
"cystine","56-89-3;","Amino acid","Cysteine, methionine, SAM, taurine metabolism",39512,"GC/MS",2015.3,145.9,"595","C00491","HMDB00192"
"cytidine","65-46-3;","Nucleotide","Pyrimidine metabolism, cytidine containing",514,"LC/MS Pos",1065,244,"6175","C00475","HMDB00089"
"cytidine 5'-diphosphocholine","33818-15-4;","Lipid","Glycerolipid metabolism",34418,"LC/MS Pos",777,489.1,NA,NA,NA
"cytidine 5'-monophosphate (5'-CMP)","63-37-6;","Nucleotide","Pyrimidine metabolism, cytidine containing",2372,"LC/MS Pos",887,324,"7058165","C00055","HMDB00095"
"cytidine-3'-monophosphate (3'-CMP)","84-52-6;","Nucleotide","Pyrimidine metabolism, cytidine containing",2959,"LC/MS Pos",1181,323.9,"66535","C05822",NA
"cytosine-2',3'-cyclic monophosphate","15718-51-1;","Nucleotide","Pyrimidine metabolism, cytidine containing",37465,"LC/MS Pos",912,306.2,"417654","C02354","HMDB11691"
"deoxycarnitine","6249-56-5;","Lipid","Carnitine metabolism",36747,"LC/MS Pos",759,146.1,"725","C01181","HMDB01161"
"dihomo-linoleate (20:2n6)","2091-39-6;","Lipid","Long chain fatty acid",17805,"LC/MS Neg",5722,307.3,"6439848","C16525",NA
"dihomo-linolenate (20:3n3 or n6)",NA,"Lipid","Essential fatty acid",35718,"LC/MS Neg",5600,305.4,"5312529","C03242","HMDB02925"
"dihydrocholesterol","80-97-7;","Lipid","Sterol/Steroid",21131,"GC/MS",2320.8,215.2,"6665",NA,"HMDB00908"
"dimethylarginine (SDMA + ADMA)",NA,"Amino acid","Urea cycle; arginine-, proline-, metabolism",36808,"LC/MS Pos",812,203.2,"123831","C03626","HMDB01539,HMDB03334"
"dimethylglycine","1118-68-9;","Amino acid","Glycine, serine and threonine metabolism",5086,"GC/MS",1030,57.9,"673; 6971056","C01026","HMDB00092"
"docosadienoate (22:2n6)","7370-49-2 ;","Lipid","Long chain fatty acid",32415,"LC/MS Neg",6017,335.4,"5282807","C16533",NA
"docosahexaenoate (DHA; 22:6n3)","6217-54-5;","Lipid","Essential fatty acid",19323,"LC/MS Neg",5518,327.3,"445580","C06429","HMDB02183"
"docosapentaenoate (n3 DPA; 22:5n3)","2234-74-4 ;","Lipid","Essential fatty acid",32504,"LC/MS Neg",5574,329.4,NA,"C16513","HMDB01976"
"docosapentaenoate (n6 DPA; 22:5n6)","25182-74-5;","Lipid","Essential fatty acid",37478,"LC/MS Neg",5625,329.4,"6441454","C06429","HMDB13123"
"docosatrienoate (22:3n3)","59708-86-0 ;","Lipid","Long chain fatty acid",32417,"LC/MS Neg",5825,333.4,"5312556","C16534","HMDB02823"
"dodecanedioate","693-23-2 ;","Lipid","Fatty acid, dicarboxylate",32388,"LC/MS Neg",2990,229.2,"12736","C02678","HMDB00623"
"eicosapentaenoate (EPA; 20:5n3)","10-2005-9;10417-94-4;","Lipid","Essential fatty acid",18467,"LC/MS Neg",5442,301.3,"446284","C06428","HMDB01999"
"eicosenoate (20:1n9 or 11)",NA,"Lipid","Long chain fatty acid",33587,"LC/MS Neg",5955,309.4,NA,NA,"HMDB02231"
"ergothioneine","58511-63-0;","Xenobiotics","Food component/Plant",37459,"LC/MS Pos",847,230.2,"5351619","C05570","HMDB03045"
"erucate (22:1n9)","112-86-7;","Lipid","Long chain fatty acid",1552,"GC/MS",2134,395.4,"8216","C08316","HMDB02068"
"erythritol","149-32-6;","Xenobiotics","Sugar, sugar substitute, starch",20699,"GC/MS",1517.5,217,NA,"C00503","HMDB02994"
"erythronate*","88759-55-1;","Carbohydrate","Aminosugars metabolism",33477,"GC/MS",1546.9,292.1,"2781043",NA,"HMDB00613"
"ethanolamine","141-43-5;","Lipid","Glycerolipid metabolism",1497,"GC/MS",1304,174.1,NA,"C00189","HMDB00149"
"flavin adenine dinucleotide (FAD)","146-14-5;84366-81-4;","Cofactors and vitamins","Riboflavin metabolism",2134,"LC/MS Neg",2413,784.1,"643975","C00016","HMDB01248"
"fructose","57-48-7;","Carbohydrate","Fructose, mannose, galactose, starch, and sucrose metabolism",577,"GC/MS",1758,217,"439709","C00095","HMDB00660"
"fructose 1-phosphate","53823-70-4;","Carbohydrate","Glycolysis, gluconeogenesis, pyruvate metabolism",15907,"GC/MS",1996.5,445.2,"65246","C01094","HMDB01076"
"fructose-6-phosphate","103213-47-4;","Carbohydrate","Glycolysis, gluconeogenesis, pyruvate metabolism",12021,"GC/MS",1994.9,315.1,NA,"C05345","HMDB00124"
"fucose","2438-80-4;","Carbohydrate","Aminosugars metabolism",15821,"GC/MS",1682.2,204,"439554; 17106",NA,"HMDB00174"
"fumarate","100-17-8;","Energy","Krebs cycle",1643,"GC/MS",1382.1,245,NA,"C00122","HMDB00134"
"gabapentin","60142-96-3;","Xenobiotics","Drug",38686,"LC/MS Pos",2482,172.2,"3446","D00332","HMDB05015"
"galactose","59-23-4;","Carbohydrate","Fructose, mannose, galactose, starch, and sucrose metabolism",12055,"GC/MS",1793.8,203.9,"3037556","C01582","HMDB00143"
"gamma-aminobutyrate (GABA)","56-12-2;","Amino acid","Glutamate metabolism",1416,"GC/MS",1539.7,304.1,"119; 5460232","C00334","HMDB00112"
"gamma-glutamylcysteine","636-58-8;","Peptide","gamma-glutamyl",1778,"LC/MS Pos",1274,251.1,"842","C00669","HMDB01049"
"gamma-glutamylglutamate","1116-22-9;","Peptide","gamma-glutamyl",36738,"LC/MS Pos",1036,277.1,"92865",NA,NA
"gamma-glutamylglutamine","10148-81-9;","Peptide","gamma-glutamyl",2730,"LC/MS Pos",806,276.1,"150914",NA,"HMDB11738"
"gamma-glutamylisoleucine*",NA,"Peptide","gamma-glutamyl",34456,"LC/MS Pos",2644,261.2,NA,NA,"HMDB11170"
"gamma-glutamylleucine","2566-39-4;","Peptide","gamma-glutamyl",18369,"LC/MS Pos",2744,261.2,"151023",NA,"HMDB11171"
"gamma-glutamylphenylalanine","7432-24-8;","Peptide","gamma-glutamyl",33422,"LC/MS Pos",2846,295.1,"111299",NA,"HMDB00594"
"gamma-glutamylvaline","2746-34-1;","Peptide","gamma-glutamyl",32393,"LC/MS Pos",2040,247.2,NA,NA,"HMDB11172"
"gamma-tocopherol","54-28-4;","Cofactors and vitamins","Tocopherol metabolism",33420,"GC/MS",2264,488.4,"92729","C02483","HMDB01492"
"glucarate (saccharate)","5793-88-4;","Cofactors and vitamins","Ascorbate and aldarate metabolism",1476,"GC/MS",1885.8,333.1,"33037","C00818","HMDB00663"
"gluconate","527-07-1;","Carbohydrate","Nucleotide sugars, pentose metabolism",587,"GC/MS",1879.4,333,"10690","C00257","HMDB00625"
"glucose","50-99-7;","Carbohydrate","Glycolysis, gluconeogenesis, pyruvate metabolism",20488,"GC/MS",1866.8,217.1,"79025","C00031","HMDB00122"
"glucose 1-phosphate","56401-20-8;","Carbohydrate","Glycolysis, gluconeogenesis, pyruvate metabolism",15561,"GC/MS",2017,299.1,"65533","C00103","HMDB01586"
"glucose-6-phosphate (G6P)","103192-55-8;","Carbohydrate","Glycolysis, gluconeogenesis, pyruvate metabolism",31260,"GC/MS",2042.7,387.2,NA,"C00668","HMDB01401"
"glucuronate","207300-70-7;","Carbohydrate","Glycolysis, gluconeogenesis, pyruvate metabolism",15443,"GC/MS",1886.5,217,"444791","C00191","HMDB00127"
"glutamate","56-86-0;","Amino acid","Glutamate metabolism",57,"LC/MS Pos",700,148.1,"611","C00025","HMDB03339"
"glutamate, gamma-methyl ester","1499-55-4 ;","Amino acid","Glutamate metabolism",33487,"LC/MS Pos",1062,162.1,"68662",NA,NA
"glutamine","56-85-9;","Amino acid","Glutamate metabolism",53,"LC/MS Pos",684,147.2,"5961","C00064","HMDB00641"
"glutarate (pentanedioate)","110-94-1;","Amino acid","Lysine metabolism",396,"GC/MS",1433.6,261,"743","C00489","HMDB00661"
"glutaroyl carnitine","102636-82-8;","Amino acid","Lysine metabolism",35439,"LC/MS Pos",1565,276.1,NA,NA,"HMDB13130"
"glutathione, oxidized (GSSG)","103239-24-3;","Amino acid","Glutathione metabolism",27727,"LC/MS Pos",1535,613.1,"53477713; 65359; 11215652; 11767258","C00127","HMDB03337"
"glutathione, reduced (GSH)","70-18-8;","Amino acid","Glutathione metabolism",2127,"LC/MS Pos",1274,308.1,"124886","C00051","HMDB00125"
"glycerate","600-19-1;","Carbohydrate","Glycolysis, gluconeogenesis, pyruvate metabolism",1572,"GC/MS",1360.7,189,"439194; 5460358","C00258","HMDB00139"
"glycerol","56-81-5;","Lipid","Glycerolipid metabolism",15122,"GC/MS",1311,205,"753","C00116","HMDB00131"
"glycerol 2-phosphate","819-83-0;","Xenobiotics","Chemical",27728,"GC/MS",1691.8,243,"2526","C02979","HMDB02520"
"glycerol 3-phosphate (G3P)","29849-82-9;","Lipid","Glycerolipid metabolism",15365,"GC/MS",1719.7,357.1,"754","C00093","HMDB00126"
"glycerophosphoethanolamine","33049-08-0;","Lipid","Glycerolipid metabolism",37455,"GC/MS",1906,357.1,"123874","C01233","HMDB00114"
"glycerophosphorylcholine (GPC)","28319-77-9;","Lipid","Glycerolipid metabolism",15990,"LC/MS Pos",694,258.1,"657272","C00670","HMDB00086"
"glycine","56-40-6;","Amino acid","Glycine, serine and threonine metabolism",11777,"GC/MS",1166,101.9,"750","C00037","HMDB00123"
"glycocholenate sulfate*",NA,"Lipid","Bile acid metabolism",32599,"LC/MS Neg",4763,254.8,NA,NA,NA
"glycolate (hydroxyacetate)","79-14-1;","Xenobiotics","Chemical",15737,"GC/MS",1119,177,"757; 5460308","C00160","HMDB00115"
"glycolithocholate sulfate*",NA,"Lipid","Bile acid metabolism",32620,"LC/MS Neg",5015,512.3,"72222","C11301","HMDB02639"
"glycylglycine","556-50-3;","Peptide","Dipeptide",21029,"GC/MS",1757.9,174,"11163","C02037","HMDB11733"
"glycylisoleucine","19461-38-2;","Peptide","Dipeptide",36659,"LC/MS Pos",2080,189.1,NA,NA,NA
"glycylleucine","869-19-2;","Peptide","Dipeptide",34398,"LC/MS Pos",2236,189.1,"92843","C02155","HMDB00759"
"glycyllysine","31461-63-9;","Peptide","Dipeptide",41529,"GC/MS",2088.3,174.1,"306144",NA,NA
"glycylmethionine","554-94-9;","Peptide","Dipeptide",42012,"LC/MS Pos",1593,207.1,"96757",NA,NA
"glycylphenylalanine","3321-03-7;","Peptide","Dipeptide",33954,"LC/MS Neg",2193,221.2,"1549344; 92953",NA,NA
"glycylproline","704-15-4;","Peptide","Dipeptide",22171,"LC/MS Pos",1115,173.1,"3013625",NA,"HMDB00721"
"glycylthreonine","7093-70-1;","Peptide","Dipeptide",42050,"GC/MS",1911.1,174.1,"351980",NA,NA
"glycyltryptophan",NA,"Peptide","Dipeptide",38151,"LC/MS Pos",2542,262.4,"1551340; 92181",NA,NA
"glycyltyrosine","658-79-7;","Peptide","Dipeptide",33958,"LC/MS Pos",1728,239.1,"92829",NA,NA
"glycylvaline","1963-21-9;","Peptide","Dipeptide",18357,"LC/MS Pos",1572,175.1,"2724807",NA,NA
"guanidinoacetate","352-97-6;","Amino acid","Guanidino and acetamido metabolism",12359,"GC/MS",1696.6,172,"763","C00581","HMDB00128"
"guanine","73-40-5;","Nucleotide","Purine metabolism, guanine containing",418,"GC/MS",1942.3,352.1,"764","C00242","HMDB00132"
"guanosine","118-00-3;","Nucleotide","Purine metabolism, guanine containing",1573,"LC/MS Neg",1675,282.1,"6802","C00387","HMDB00133"
"guanosine 5'- monophosphate (5'-GMP)","5550-12-9;","Nucleotide","Purine metabolism, guanine containing",2849,"LC/MS Pos",1300,364,"135414246",NA,NA
"gulono-1,4-lactone","1128-23-0;","Cofactors and vitamins","Ascorbate and aldarate metabolism",33454,"GC/MS",1862,333.1,"608","C01040","HMDB03466"
"heme","14875-96-8;","Cofactors and vitamins","Hemoglobin and porphyrin metabolism",41754,"LC/MS Pos",5057,616.2,NA,NA,NA
"hexanoylcarnitine","6920-35-0;","Lipid","Carnitine metabolism",32328,"LC/MS Pos",3174,260.2,"6426853","C01585","HMDB00705"
"hippurate","495-69-2;","Xenobiotics","Benzoate metabolism",15753,"LC/MS Neg",2136,178.1,"464","C01586","HMDB00714"
"histamine","51-45-6;","Amino acid","Histidine metabolism",1574,"GC/MS",1808,174.1,"774","C00388","HMDB00870"
"histidine","5934-29-2;","Amino acid","Histidine metabolism",59,"LC/MS Neg",757,154.1,"6274; 86580368","C00135","HMDB00177"
"histidylleucine","7763-65-7;","Peptide","Dipeptide",40061,"LC/MS Pos",1482,269.2,"189008; 440549",NA,NA
"histidylmethionine","2488-11-1;",NA,NA,41965,"LC/MS Pos",1025,287.2,NA,NA,NA
"histidylphenylalanine","16874-81-0;","Peptide","Dipeptide",42084,"LC/MS Pos",1730,303.2,"152198",NA,NA
"histidyltryptophan","23403-90-9;","Peptide","Dipeptide",41912,"LC/MS Pos",1961,342.2,"6539217",NA,NA
"histidyltyrosine","35979-00-1;","Peptide","Dipeptide",41899,"LC/MS Pos",1253,319.2,"515713",NA,NA
"homocysteine","454-29-5;","Amino acid","Cysteine, methionine, SAM, taurine metabolism",40266,"GC/MS",1648.2,234,"778","C00155","HMDB00742"
"homoserine","672-15-1;","Amino acid","Glycine, serine and threonine metabolism",23642,"GC/MS",1471,218.1,"12647","C00263","HMDB00719"
"homostachydrine*","1195-94-4;","Xenobiotics","Food component/Plant",33009,"LC/MS Pos",1199,158.2,"441447","C08283",NA
"hydrochlorothiazide","58-93-5;","Xenobiotics","Drug",39625,"LC/MS Neg",2041.6,296.1,"3639","340","192"
"hypotaurine","300-84-5;","Amino acid","Cysteine, methionine, SAM, taurine metabolism",590,"GC/MS",1598.5,188,"107812","C00519","HMDB00965"
"hypoxanthine","68-94-0;","Nucleotide","Purine metabolism, (hypo)xanthine/inosine containing",3127,"LC/MS Neg",1313,135.1,"790","C00262","HMDB00157"
"imidazole propionate","1074-59-5;","Amino acid","Histidine metabolism",40730,"LC/MS Pos",1011.7,141.1,"70630",NA,"HMDB02271"
"indoleacetate","6505-45-9;","Amino acid","Tryptophan metabolism",27513,"GC/MS",1862,202,"802","C00954","HMDB00197"
"indolelactate","832-97-3;","Amino acid","Tryptophan metabolism",18349,"GC/MS",1964.9,202,"676157","C02043","HMDB00671"
"inosine","58-63-9;","Nucleotide","Purine metabolism, (hypo)xanthine/inosine containing",1123,"LC/MS Neg",1600,267.2,NA,NA,NA
"inositol 1-phosphate (I1P)","106032-59-1;","Lipid","Inositol metabolism",1481,"GC/MS",2057.8,318.1,NA,NA,"HMDB00213"
"Isobar: fructose 1,6-diphosphate, glucose 1,6-diphosphate, myo-inositol 1,4 or 1,3-diphosphate",NA,"Carbohydrate","Glycolysis, gluconeogenesis, pyruvate metabolism",36984,"LC/MS Neg",572,339,NA,NA,NA
"Isobar: ribulose 5-phosphate, xylulose 5-phosphate",NA,"Carbohydrate","Nucleotide sugars, pentose metabolism",37288,"GC/MS",1935,357.2,NA,NA,NA
"isobutyrylcarnitine","25518-49-4;","Amino acid","Valine, leucine and isoleucine metabolism",33441,"LC/MS Pos",1941,232.2,NA,NA,NA
"isoleucine","73-32-5;","Amino acid","Valine, leucine and isoleucine metabolism",1125,"LC/MS Pos",1614,132.1,"6306","C00407","HMDB00172"
"isoleucylalanine","24787-73-3;","Peptide","Dipeptide",40046,"LC/MS Pos",1686,203.2,"7009577",NA,NA
"isoleucylarginine","55715-01-0;","Peptide","Dipeptide",40071,"LC/MS Pos",1245,288.2,"9900561",NA,NA
"isoleucylglutamate","42516-53-0;","Peptide","Dipeptide",40057,"LC/MS Pos",1650,261.2,NA,NA,NA
"isoleucylglycine","868-28-0;","Peptide","Dipeptide",40008,"LC/MS Pos",1732,189.2,"342532",NA,NA
"isoleucylhistidine",NA,"Peptide","Dipeptide",40085,"LC/MS Pos",1021,269.2,NA,NA,NA
"isoleucylisoleucine","42537-99-5;","Peptide","Dipeptide",36761,"LC/MS Pos",2678,245.1,NA,NA,NA
"isoleucylmethionine","42384-14-5;","Peptide","Dipeptide",40058,"LC/MS Pos",2392,263.2,NA,NA,NA
"isoleucylphenylalanine","22951-98-0;","Peptide","Dipeptide",40067,"LC/MS Pos",3155,279.2,"435728",NA,NA
"isoleucylserine","6403-14-1;","Peptide","Dipeptide",40012,"LC/MS Pos",1472.5,219.2,NA,NA,NA
"isoleucyltryptophan","13589-06-5;","Peptide","Dipeptide",40079,"LC/MS Pos",3080,318.2,"9797038",NA,NA
"isoleucyltyrosine","38579-21-4;","Peptide","Dipeptide",40073,"LC/MS Pos",2300,295.2,"342468",NA,NA
"isoleucylvaline","41017-96-3;","Peptide","Dipeptide",40049,"LC/MS Pos",2202,231.2,"449407",NA,NA
"isovalerylcarnitine",NA,"Amino acid","Valine, leucine and isoleucine metabolism",34407,"LC/MS Pos",2533,246.2,"6426851",NA,"HMDB00688"
"kynurenine","2922-83-0;","Amino acid","Tryptophan metabolism",15140,"LC/MS Pos",1902,209.1,"161166","C00328","HMDB00684"
"lactate","79-33-4;","Carbohydrate","Glycolysis, gluconeogenesis, pyruvate metabolism",527,"GC/MS",1102.8,116.9,"107689; 5460161","C00186","HMDB00190"
"laurate (12:0)","143-07-7;","Lipid","Medium chain fatty acid",1645,"LC/MS Neg",5288,199.3,"3893","C02679","HMDB00638"
"laurylcarnitine",NA,"Lipid","Carnitine metabolism",34534,"LC/MS Pos",5066,344.3,"10427569",NA,"HMDB02250"
"leucine","61-90-5;","Amino acid","Valine, leucine and isoleucine metabolism",60,"LC/MS Pos",1674,132.2,"6106","C00123","HMDB00687"
"leucylalanine","7298-84-2;","Peptide","Dipeptide",40010,"LC/MS Pos",1760,203.2,"81721",NA,NA
"leucylarginine","26607-15-8;","Peptide","Dipeptide",40028,"LC/MS Pos",1300,288.2,"3800205",NA,NA
"leucylasparagine","14608-81-2;","Peptide","Dipeptide",40052,"LC/MS Pos",1418,246.2,"4128305",NA,NA
"leucylglutamate",NA,"Peptide","Dipeptide",40021,"LC/MS Pos",1716,261.2,"5259590; 5259589",NA,NA
"leucylglycine","686-50-0;","Peptide","Dipeptide",40045,"LC/MS Pos",1800,189.2,"79070",NA,NA
"leucylhistidine","38062-72-5;","Peptide","Dipeptide",40077,"LC/MS Pos",1056,269.2,"341684",NA,NA
"leucylleucine","3303-31-9;","Peptide","Dipeptide",36756,"LC/MS Pos",3012,245.1,"94244","C11332",NA
"leucylmethionine","36077-39-1;","Peptide","Dipeptide",40022,"LC/MS Pos",2504,263.2,"118276",NA,NA
"leucylphenylalanine","3063-05-6;","Peptide","Dipeptide",40026,"LC/MS Pos",3308,279.2,"259325",NA,NA
"leucylserine","6209-12-7;","Peptide","Dipeptide",40048,"LC/MS Pos",1519.7,219.2,"3621685",NA,NA
"leucyltryptophan","5156-22-9;","Peptide","Dipeptide",40034,"LC/MS Pos",3216,318.2,"329275",NA,NA
"leucyltyrosine","968-21-8;","Peptide","Dipeptide",40030,"LC/MS Pos",2413,295.2,"273262",NA,NA
"lidocaine","137-58-6;","Xenobiotics","Drug",35661,"LC/MS Pos",2761,235.2,"3676","D00358",NA
"linoleate (18:2n6)","60-33-3;","Lipid","Essential fatty acid",1105,"LC/MS Neg",5533,279.3,"5280450","C01595","HMDB00673"
"linolenate [alpha or gamma; (18:3n3 or 6)]",NA,"Lipid","Essential fatty acid",34035,"LC/MS Neg",5450,277.3,NA,"C06427","HMDB01388"
"L-urobilin","34217-90-8;","Cofactors and vitamins","Hemoglobin and porphyrin metabolism",40173,"LC/MS Pos",4091,595.4,"440785; 6433298","C05793","HMDB04159"
"lysine","56-87-1;","Amino acid","Lysine metabolism",1301,"LC/MS Pos",603,147.2,"5962","C00047","HMDB00182"
"lysylleucine","7369-79-1;","Peptide","Dipeptide",40020,"LC/MS Pos",1546,260.2,"7016103",NA,NA
"lysyllysine","13184-13-9;",NA,NA,42090,"LC/MS Pos",533,138.2,"4293571",NA,NA
"lysylmethionine","97729-52-7;","Peptide","Dipeptide",41943,"LC/MS Pos",1013.1,278.2,NA,NA,NA
"lysyltyrosine","35978-98-4;","Peptide","Dipeptide",42089,"LC/MS Pos",1310,310.3,NA,NA,NA
"malate","6915-15-7;","Energy","Krebs cycle",1303,"GC/MS",1502,233,"525","C00149","HMDB00156"
"malonylcarnitine",NA,"Lipid","Fatty acid synthesis",37059,"LC/MS Pos",980,248.1,NA,NA,"HMDB02095"
"maltohexaose","34620-77-4;","Carbohydrate","Fructose, mannose, galactose, starch, and sucrose metabolism",35170,"LC/MS Neg",1224,989.1,"5288409","C01936","HMDB12253"
"maltopentaose","34620-76-3;","Carbohydrate","Fructose, mannose, galactose, starch, and sucrose metabolism",35163,"LC/MS Neg",1100,827.1,"3710145","C06218","HMDB12254"
"maltose","6363-53-7;","Carbohydrate","Fructose, mannose, galactose, starch, and sucrose metabolism",15804,"GC/MS",2176.2,204.1,"439341","C00208","HMDB00163"
"maltotetraose","34612-38-9;","Carbohydrate","Oligosaccharide",15910,"LC/MS Neg",965,665.1,"439639; 25147451; 870","C02052","HMDB01296"
"maltotriose","1109-28-0;","Carbohydrate","Fructose, mannose, galactose, starch, and sucrose metabolism",15877,"GC/MS",2419,204,"439586","C01835","HMDB01262"
"mannitol","69-65-8;","Carbohydrate","Fructose, mannose, galactose, starch, and sucrose metabolism",15335,"GC/MS",1839,319.1,"6251","C00392","HMDB00765"
"mannose","3458-28-4;","Carbohydrate","Fructose, mannose, galactose, starch, and sucrose metabolism",584,"GC/MS",1753.5,203.9,"161658","C00159","HMDB00169"
"mannose-6-phosphate","70442-25-0;104872-94-8;","Carbohydrate","Fructose, mannose, galactose, starch, and sucrose metabolism",1469,"GC/MS",2004.6,387.1,NA,"C00275","HMDB01078"
"margarate (17:0)","506-12-7;","Lipid","Long chain fatty acid",1121,"LC/MS Neg",5733,269.3,"10465",NA,"HMDB02259"
"metformin","1115-70-4;","Xenobiotics","Drug",39972,"GC/MS",1746.4,284.1,"4091","C07151","HMDB01921"
"methionine","63-68-3;","Amino acid","Cysteine, methionine, SAM, taurine metabolism",1302,"LC/MS Pos",1252,150.1,"6137","C00073","HMDB00696"
"methionylalanine","3061-96-9;","Peptide","Dipeptide",40685,"LC/MS Pos",1500,221.1,NA,NA,NA
"methionylasparagine","36261-61-7;","Peptide","Dipeptide",40686,"LC/MS Pos",1060.3,264.1,"333467",NA,NA
"methionylaspartate","14595-65-4;",NA,NA,40687,"LC/MS Pos",1275.3,265.1,NA,NA,NA
"methionylglutamate","14517-44-3;","Peptide","Dipeptide",40693,"LC/MS Pos",1503,279.1,NA,NA,NA
"methionylglycine","14486-03-4;","Peptide","Dipeptide",40717,"LC/MS Pos",1478,207.1,"259185",NA,NA
"methionylleucine","14486-16-9;","Peptide","Dipeptide",40023,"LC/MS Pos",2698,263.2,"3425788",NA,NA
"methionylphenylalanine","14492-14-9;","Peptide","Dipeptide",41441,"LC/MS Pos",3042,297.2,"100048",NA,NA
"methyl-alpha-glucopyranoside","97-30-3;","Xenobiotics","Chemical",20714,"LC/MS Pos",1087,212.1,"64947","C02603",NA
"methylglutaroylcarnitine",NA,"Amino acid","Valine, leucine and isoleucine metabolism",37060,"LC/MS Pos",1900,290.1,"128145",NA,"HMDB00552"
"methylphosphate","7023-27-0;","Nucleotide","Purine and pyrimidine metabolism",37070,"GC/MS",1221,240.9,"13130",NA,NA
"metoprolol","56392-17-7;","Xenobiotics","Drug",18037,"LC/MS Pos",3205,268.2,"4171","C07202,D02358","HMDB01932"
"metoprolol acid metabolite*",NA,"Xenobiotics","Drug",34109,"LC/MS Pos",2535,268.2,"62936",NA,NA
"myo-inositol","87-89-8;","Lipid","Inositol metabolism",19934,"GC/MS",1924.9,217,NA,"C00137","HMDB00211"
"myristate (14:0)","544-63-8;","Lipid","Long chain fatty acid",1365,"LC/MS Neg",5439,227.3,"11005","C06424","HMDB00806"
"myristoleate (14:1n5)","544-64-9 ;","Lipid","Long chain fatty acid",32418,"LC/MS Neg",5338,225.3,"5281119","C08322","HMDB02000"
"myristoylcarnitine","18822-89-4;","Lipid","Carnitine metabolism",33952,"LC/MS Pos",5113,372.4,"6426854",NA,NA
"N1-Methyl-2-pyridone-5-carboxamide","701-44-0;","Cofactors and vitamins","Nicotinate and nicotinamide metabolism",40469,"LC/MS Pos",1707.3,153.2,"69698","C05842","HMDB04193"
"N1-methyladenosine","15763-06-1;","Nucleotide","Purine metabolism, adenine containing",15650,"LC/MS Pos",1356,282.1,"27476","C02494","HMDB03331"
"N1-methylguanosine","2140-65-0;","Nucleotide","Purine metabolism, guanine containing",31609,"LC/MS Pos",1850,298.1,"96373",NA,"HMDB01563"
"N2,N2-dimethylguanosine","2140-67-2;","Nucleotide","Purine metabolism, guanine containing",35137,"LC/MS Pos",2157,312.1,"92919",NA,"HMDB04824"
"N2-acetyllysine","1946-82-3;","Amino acid","Lysine metabolism",36751,"LC/MS Pos",853,189.1,"92907","C12989","HMDB00446"
"N2-methylguanosine","2140-77-4;","Nucleotide","Purine metabolism, guanine containing",35133,"LC/MS Pos",1950,298.1,"3035422",NA,"HMDB05862"
"N6-acetyllysine","692-04-6;","Amino acid","Lysine metabolism",36752,"LC/MS Pos",1134,189.1,"92832","C02727","HMDB00206"
"N6-carbamoylthreonyladenosine","24719-82-2;","Nucleotide","Purine metabolism, guanine containing",35157,"LC/MS Pos",2656,413,NA,NA,NA
"N-6-trimethyllysine","23284-33-5;","Amino acid","Lysine metabolism",1498,"LC/MS Pos",650,189.2,"159659","C03793","HMDB01325"
"N-acetylalanine","97-69-8;","Amino acid","Alanine and aspartate metabolism",1585,"LC/MS Neg",882,130.1,"88064","C02847","HMDB00766"
"N-acetylarginine","155-84-0;","Amino acid","Urea cycle; arginine-, proline-, metabolism",33953,"LC/MS Neg",1149,215.2,"67427","C02562","HMDB04620"
"N-acetylasparagine","4033-40-3;","Amino acid","Alanine and aspartate metabolism",33942,"LC/MS Pos",974,175.1,"99715",NA,"HMDB06028"
"N-acetylaspartate (NAA)","997-55-7;997-55-7 ;","Amino acid","Alanine and aspartate metabolism",22185,"LC/MS Pos",1222,176.1,"65065","C01042","HMDB00812"
"N-acetyl-aspartyl-glutamate (NAAG)","3106-85-2;","Amino acid","Glutamate metabolism",35665,"LC/MS Pos",1563,305,"5255","C12270","HMDB01067"
"N-acetylglucosamine","7512-17-6;","Carbohydrate","Aminosugars metabolism",15095,"GC/MS",1903.3,245,"24139","C00140","HMDB00215"
"N-acetylglucosamine 6-phosphate","102029-88-9;","Carbohydrate","Aminosugars metabolism",15107,"LC/MS Neg",628,300.1,"440996; 25243963","C00357","HMDB02817"
"N-acetylglutamine","2490-97-3;","Amino acid","Glutamate metabolism",33943,"LC/MS Pos",1204,189.1,"182230","C02716","HMDB06029"
