sgRNA,Gene,HL60.initial,KBM7.initial,HL60.final,KBM7.final
CHD5_p6228273,CHD5,285,408,936,804
CHD5_p6228318,CHD5,278,245,659,499
CHD5_p6240014,CHD5,76,270,326,632
CHD5_p6240051,CHD5,242,171,646,896
CHD6_m40161957,CHD6,336,330,833,1161
CHD6_m40161973,CHD6,1072,1044,1617,2597
CHD6_m40161982,CHD6,718,677,674,659
CHD6_m40161988,CHD6,841,291,1588,837
CHD6_m40161995,CHD6,1120,533,2262,2673
CHD6_m40162067,CHD6,705,377,1735,764
CHD6_p40162040,CHD6,332,438,1412,747
CHD6_p40162051,CHD6,110,125,159,445
CHD6_p40162111,CHD6,927,783,2442,2730
CHD6_p40162156,CHD6,507,641,2356,2493
CHD7_m61654062,CHD7,263,276,405,65
CHD7_m61654090,CHD7,151,175,264,1110
CHD7_m61654099,CHD7,646,843,1933,2341
CHD7_m61654117,CHD7,1227,623,1407,2105
CHD7_m61654125,CHD7,543,390,1065,1612
CHD7_m61654136,CHD7,1298,1468,4663,2260
CHD7_p61653982,CHD7,758,678,2326,1753
CHD7_p61654042,CHD7,174,126,309,648
CHD7_p61654051,CHD7,66,326,707,909
CHD7_p61654105,CHD7,826,442,1437,1214
CHD8_m21897376,CHD8,1147,605,1787,470
CHD8_m21897387,CHD8,0,209,401,107
CHD8_m21897405,CHD8,881,308,908,819
CHD8_m21897416,CHD8,384,694,854,399
CHD8_m21897447,CHD8,1600,918,1771,1008
CHD8_m21897472,CHD8,598,795,862,785
CHD8_p21897346,CHD8,577,400,626,1009
CHD8_p21897358,CHD8,1004,524,1194,615
CHD8_p21897418,CHD8,404,336,1143,1583
CHD8_p21897451,CHD8,364,313,494,401
CHD9_m53190056,CHD9,83,145,14,794
CHD9_m53190091,CHD9,178,188,507,757
CHD9_m53190097,CHD9,421,337,818,915
CHD9_m53190142,CHD9,256,337,735,658
CHD9_m53190165,CHD9,252,261,812,1048
CHD9_m53190181,CHD9,624,401,1619,1093
CHD9_p53189997,CHD9,1208,700,3201,2179
CHD9_p53190070,CHD9,298,261,669,743
CHD9_p53190102,CHD9,619,397,1226,1262
CHD9_p53190151,CHD9,434,204,1154,857
CHEK1_m125496675,CHEK1,197,401,666,83
CHEK1_m125497675,CHEK1,545,218,672,785
CHEK1_m125499131,CHEK1,359,570,1178,203
CHEK1_m125499146,CHEK1,373,454,1054,658
CHEK1_p125496659,CHEK1,2406,1257,4326,856
CHEK1_p125496667,CHEK1,708,535,2146,2974
CHEK1_p125496686,CHEK1,595,458,239,5
CHEK1_p125496693,CHEK1,292,239,85,28
CHEK1_p125496702,CHEK1,393,277,253,95
CHEK1_p125497679,CHEK1,529,511,751,822
CHEK2_m29095892,CHEK2,631,338,984,949
CHEK2_m29095918,CHEK2,805,526,3591,3565
CHEK2_m29107901,CHEK2,541,187,1509,1597
CHEK2_m29107971,CHEK2,194,217,1147,1035
CHEK2_m29107982,CHEK2,983,579,2201,2008
CHEK2_m29107991,CHEK2,278,591,1589,1636
CHEK2_m29107996,CHEK2,198,296,681,813
CHEK2_p29095824,CHEK2,847,982,3370,4202
CHEK2_p29095857,CHEK2,583,406,1293,2483
CHEK2_p29106021,CHEK2,399,302,1006,1498
CHFR_m133463791,CHFR,374,177,455,319
CHFR_m133463808,CHFR,856,476,1159,2043
CHFR_m133463815,CHFR,743,426,1096,910
CHFR_m133463837,CHFR,322,149,242,1103
CHFR_m133463844,CHFR,670,448,1168,1188
CHFR_m133463908,CHFR,369,290,535,705
CHFR_p133463776,CHFR,199,356,724,1162
CHFR_p133463796,CHFR,365,391,743,1012
CHFR_p133463881,CHFR,469,453,1142,1069
CHFR_p133463894,CHFR,367,470,1584,1524
CHMP1A_m89717993,CHMP1A,680,465,1053,427
CHMP1A_m89717999,CHMP1A,310,521,398,75
CHMP1A_m89718011,CHMP1A,272,287,642,689
CHMP1A_m89718017,CHMP1A,687,518,661,285
CHMP1A_m89718029,CHMP1A,207,200,710,452
CHMP1A_m89718038,CHMP1A,532,793,1657,1943
CHMP1A_m89723991,CHMP1A,325,523,1091,693
CHMP1A_p89717982,CHMP1A,903,619,2358,2423
CHMP1A_p89718003,CHMP1A,426,406,2103,1684
CHMP1A_p89723975,CHMP1A,177,172,464,210
CHMP1B_m11851533,CHMP1B,400,371,360,1765
CHMP1B_m11851542,CHMP1B,871,553,1486,2271
CHMP1B_m11851556,CHMP1B,87,157,572,530
CHMP1B_m11851680,CHMP1B,289,560,998,814
CHMP1B_m11851692,CHMP1B,18,10,1728,435
CHMP1B_p11851500,CHMP1B,395,422,1775,2544
CHMP1B_p11851547,CHMP1B,46,192,466,293
CHMP1B_p11851623,CHMP1B,201,277,422,219
CHMP1B_p11851634,CHMP1B,985,784,2317,1649
CHMP1B_p11851671,CHMP1B,400,214,770,350
CHMP2B_m87294888,CHMP2B,87,214,269,625
CHMP2B_m87295021,CHMP2B,234,160,262,630
CHMP2B_m87302608,CHMP2B,238,435,1249,744
CHMP2B_p87294880,CHMP2B,76,18,696,844
CHMP2B_p87294921,CHMP2B,426,319,1023,1248
CHMP2B_p87295013,CHMP2B,964,953,2935,1858
CHMP2B_p87299029,CHMP2B,344,338,1383,1331
CHMP2B_p87299071,CHMP2B,373,181,297,1001
CHMP2B_p87302561,CHMP2B,340,510,1940,1295
CHMP2B_p87302587,CHMP2B,453,541,1195,488
CHMP3_m86734652,CHMP3,645,412,1272,392
CHMP3_m86734703,CHMP3,1125,391,977,301
CHMP3_m86737482,CHMP3,604,192,611,836
CHMP3_m86737506,CHMP3,1466,1354,2004,440
CHMP3_m86737518,CHMP3,236,294,1375,1291
CHMP3_m86756412,CHMP3,576,346,174,37
CHMP3_m86756422,CHMP3,566,249,806,707
CHMP3_p86737474,CHMP3,779,323,1214,2014
CHMP3_p86737489,CHMP3,526,278,282,479
CHMP3_p86737528,CHMP3,218,79,1080,343
CHMP5_m33265084,CHMP5,72,144,20,0
CHMP5_m33265106,CHMP5,228,141,196,923
CHMP5_m33265115,CHMP5,1144,1015,932,325
CHMP5_m33265126,CHMP5,327,245,264,306
CHMP5_m33266106,CHMP5,218,173,547,308
CHMP5_m33267849,CHMP5,44,63,179,189
CHMP5_p33265070,CHMP5,312,215,164,351
CHMP5_p33266090,CHMP5,383,23,93,98
CHMP5_p33270644,CHMP5,550,622,780,1840
CHMP5_p33270677,CHMP5,588,237,1086,1475
CHP1_m41523596,CHP1,526,745,1721,1062
CHP1_m41535870,CHP1,738,630,1832,1687
CHP1_m41535889,CHP1,134,186,339,481
CHP1_m41535906,CHP1,404,434,1327,560
CHP1_p41523569,CHP1,0,0,0,0
CHP1_p41523587,CHP1,730,362,1213,716
CHP1_p41523603,CHP1,583,370,1984,888
CHP1_p41523615,CHP1,165,170,555,646
CHP1_p41535876,CHP1,352,681,1495,1500
CHP1_p41535915,CHP1,715,621,1472,1273
CHP2_m23766389,CHP2,520,370,756,956
CHP2_m23766987,CHP2,669,656,2542,3763
CHP2_m23766993,CHP2,1536,743,1707,1378
CHP2_m23767021,CHP2,422,339,1420,1173
CHP2_p23766375,CHP2,199,109,172,234
CHP2_p23766412,CHP2,315,534,1081,1338
CHP2_p23766999,CHP2,347,357,1013,1105
CHP2_p23767006,CHP2,304,486,897,1116
CHP2_p23767011,CHP2,395,247,683,1334
CHP2_p23767032,CHP2,472,633,1465,796
CHRAC1_m141521658,CHRAC1,450,373,777,756
CHRAC1_m141521665,CHRAC1,1153,800,1802,2912
CHRAC1_m141521694,CHRAC1,494,464,1193,1463
CHRAC1_m141521704,CHRAC1,497,443,958,1257
CHRAC1_p141521588,CHRAC1,749,501,1332,802
CHRAC1_p141521594,CHRAC1,279,361,513,1271
CHRAC1_p141521606,CHRAC1,616,504,1169,853
CHRAC1_p141521611,CHRAC1,191,309,643,258
CHRAC1_p141521650,CHRAC1,174,135,155,473
CHRAC1_p141521696,CHRAC1,857,469,1454,519
CHTF18_m838731,CHTF18,116,41,361,386
CHTF18_m838748,CHTF18,332,145,785,632
CHTF18_p838680,CHTF18,407,205,582,272
CHTF18_p838690,CHTF18,194,103,546,394
CHTF18_p838698,CHTF18,1259,1152,2573,2017
CHTF18_p838722,CHTF18,411,196,762,1271
CHTF18_p838734,CHTF18,521,467,912,990
CHTF18_p838740,CHTF18,1510,1133,4211,3315
CHTF18_p838756,CHTF18,1108,440,1169,335
CHTF18_p838932,CHTF18,696,318,747,1181
CHTF8_m69154980,CHTF8,530,696,1140,794
CHTF8_m69154992,CHTF8,441,497,1233,1431
CHTF8_m69155001,CHTF8,675,942,1610,1392
CHTF8_m69155028,CHTF8,411,234,789,170
CHTF8_m69155047,CHTF8,645,502,1603,1588
CHTF8_m69155056,CHTF8,336,409,1075,2490
CHTF8_m69155061,CHTF8,927,639,1559,1441
CHTF8_m69155068,CHTF8,535,367,1166,1366
CHTF8_p69154960,CHTF8,1054,769,1331,1989
CHTF8_p69155035,CHTF8,1017,714,2326,2858
CHTOP_m153609107,CHTOP,349,406,396,378
CHTOP_m153610807,CHTOP,83,94,110,182
CHTOP_m153610850,CHTOP,108,107,593,459
CHTOP_m153610856,CHTOP,69,47,339,665
CHTOP_m153610874,CHTOP,289,198,532,406
CHTOP_m153610894,CHTOP,343,456,662,1336
CHTOP_p153610796,CHTOP,238,298,372,1270
CHTOP_p153610881,CHTOP,361,250,356,157
CHTOP_p153614735,CHTOP,327,271,750,604
CHTOP_p153614740,CHTOP,560,742,956,898
CHUK_m101989186,CHUK,605,455,1778,1961
CHUK_m101989211,CHUK,424,625,1748,1937
CHUK_m101989227,CHUK,202,331,715,1642
CHUK_m101989232,CHUK,693,962,2378,1563
CHUK_m101989237,CHUK,696,539,774,1272
CHUK_p101982703,CHUK,136,70,451,855
CHUK_p101982708,CHUK,872,567,1134,2465
CHUK_p101985671,CHUK,501,381,888,507
CHUK_p101985680,CHUK,426,339,1399,862
CHUK_p101989199,CHUK,875,536,1232,1733
CIAPIN1_m57468117,CIAPIN1,133,51,272,678
CIAPIN1_m57470569,CIAPIN1,403,289,636,87
CIAPIN1_m57470589,CIAPIN1,349,536,1648,2105
CIAPIN1_m57473095,CIAPIN1,1103,1222,1918,970
CIAPIN1_m57473134,CIAPIN1,196,255,121,260
CIAPIN1_m57474724,CIAPIN1,880,841,1826,1105
CIAPIN1_m57474733,CIAPIN1,197,222,598,882
CIAPIN1_p57468080,CIAPIN1,490,619,1160,1982
CIAPIN1_p57473177,CIAPIN1,584,759,1100,1179
CIAPIN1_p57474711,CIAPIN1,645,1119,1108,1353
CIB1_m90775497,CIB1,568,813,1769,2208
CIB1_m90775549,CIB1,235,228,755,757
CIB1_m90776913,CIB1,347,345,1243,1865
CIB1_m90777068,CIB1,1238,1235,3048,3867
CIB1_m90777089,CIB1,959,659,1227,1393
CIB1_p90775506,CIB1,510,393,807,1149
CIB1_p90776901,CIB1,363,176,807,935
CIB1_p90776916,CIB1,243,316,992,534
CIB1_p90777054,CIB1,549,288,1216,1896
CIB1_p90777074,CIB1,296,173,481,680
CIC_m42788878,CIC,584,628,2069,2802
CIC_m42788887,CIC,503,483,1643,1137
CIC_m42788912,CIC,979,1175,3101,3428
CIC_m42790981,CIC,182,150,852,947
CIC_m42791008,CIC,662,752,1550,1085
CIC_p42788843,CIC,120,238,307,239
CIC_p42788851,CIC,228,293,871,897
CIC_p42788901,CIC,303,333,870,1353
CIC_p42790914,CIC,379,293,871,1134
CIC_p42790943,CIC,195,116,694,846
CIDEA_m12254383,CIDEA,451,421,738,978
CIDEA_m12254395,CIDEA,306,108,374,513
CIDEA_m12262828,CIDEA,283,286,230,792
CIDEA_m12262871,CIDEA,515,168,644,296
CIDEA_m12262884,CIDEA,639,734,1472,1113
CIDEA_m12262892,CIDEA,91,276,1244,329
CIDEA_p12254374,CIDEA,605,432,1007,1930
CIDEA_p12254385,CIDEA,257,185,374,957
CIDEA_p12254398,CIDEA,507,778,2190,2458
CIDEA_p12262876,CIDEA,1211,610,2708,3099
CIDEC_m9918859,CIDEC,768,504,1452,2064
CIDEC_m9918880,CIDEC,481,510,1260,786
CIDEC_p9918804,CIDEC,881,777,2837,2912
CIDEC_p9918809,CIDEC,534,570,1393,1841
CIDEC_p9918850,CIDEC,265,97,125,117
CIDEC_p9918863,CIDEC,543,368,969,926
CIDEC_p9918884,CIDEC,628,476,1644,1508
CIDEC_p9920103,CIDEC,204,219,744,1205
CIDEC_p9920110,CIDEC,1127,759,3787,1828
CIDEC_p9920137,CIDEC,717,641,1163,2065
CINP_m102822148,CINP,511,380,810,251
CINP_m102822154,CINP,462,314,995,279
CINP_m102822190,CINP,210,184,460,674
CINP_m102825803,CINP,638,600,1983,1811
CINP_m102825822,CINP,239,222,426,412
CINP_m102825844,CINP,843,803,3354,2453
CINP_m102825914,CINP,658,259,891,1365
CINP_p102825772,CINP,745,591,1306,1213
CINP_p102825807,CINP,126,160,996,497
CINP_p102825869,CINP,413,368,1559,1218
CIR1_m175243697,CIR1,264,475,1754,1011
CIR1_m175243756,CIR1,300,42,587,389
CIR1_m175246496,CIR1,311,552,1261,1393
CIR1_m175252500,CIR1,434,108,1006,1340
CIR1_p175216415,CIR1,676,403,1097,889
CIR1_p175243642,CIR1,310,400,909,1478
CIR1_p175244920,CIR1,476,488,1677,991
CIR1_p175245398,CIR1,187,182,742,602
CIR1_p175260282,CIR1,194,26,217,184
CIR1_p175260317,CIR1,395,349,1026,848
CIRH1A_m69167382,CIRH1A,536,488,180,315
CIRH1A_m69167421,CIRH1A,527,406,94,2
CIRH1A_m69167442,CIRH1A,768,667,965,2187
CIRH1A_p69167355,CIRH1A,431,378,1148,1429
CIRH1A_p69167392,CIRH1A,176,132,956,1085
CIRH1A_p69167406,CIRH1A,108,156,64,1
CIRH1A_p69167433,CIRH1A,354,163,1016,496
CIRH1A_p69167452,CIRH1A,430,335,392,29
CIRH1A_p69167460,CIRH1A,790,812,376,244
CIRH1A_p69167493,CIRH1A,74,307,157,378
CITED1_m71522030,CITED1,598,661,1761,1222
CITED1_m71522051,CITED1,671,578,1071,2015
CITED1_m71522661,CITED1,845,651,2047,2365
CITED1_m71522681,CITED1,454,416,1648,1428
CITED1_m71522704,CITED1,123,135,607,855
CITED1_p71522033,CITED1,246,422,1240,1171
CITED1_p71522043,CITED1,399,231,604,461
CITED1_p71522063,CITED1,231,339,888,606
CITED1_p71522653,CITED1,714,507,1372,1690
CITED1_p71522693,CITED1,2,115,559,311
CITED2_m139694902,CITED2,571,334,894,496
CITED2_m139694908,CITED2,413,346,1715,953
CITED2_m139694927,CITED2,665,705,1610,1618
CITED2_m139694992,CITED2,109,240,1387,729
CITED2_m139694998,CITED2,1055,939,1859,1289
CITED2_m139695051,CITED2,735,664,1243,761
CITED2_p139694910,CITED2,98,77,89,45
CITED2_p139694919,CITED2,360,32,370,550
CITED2_p139695009,CITED2,269,544,1852,1116
CITED2_p139695018,CITED2,782,604,2920,1115
CITED4_m41327692,CITED4,191,263,1058,860
CITED4_m41327754,CITED4,503,300,1357,735
CITED4_m41327762,CITED4,71,52,753,444
CITED4_m41327773,CITED4,349,450,1162,960
CITED4_p41327701,CITED4,372,372,986,976
CITED4_p41327708,CITED4,1686,744,2447,3052
CITED4_p41327718,CITED4,208,238,352,1047
CITED4_p41327741,CITED4,70,64,100,164
CITED4_p41327765,CITED4,1230,481,1156,1658
CITED4_p41327778,CITED4,422,426,966,434
CIT_m120313878,CIT,347,490,1349,2101
CIT_m120313905,CIT,455,340,1202,1201
CIT_m120313931,CIT,403,397,1160,1717
CIT_m120313938,CIT,185,162,491,625
CIT_m120313948,CIT,499,336,622,1024
CIT_m120313955,CIT,548,302,1557,580
CIT_p120306972,CIT,120,146,478,283
CIT_p120313884,CIT,110,125,367,424
CIT_p120313894,CIT,499,191,323,1141
CIT_p120313919,CIT,828,623,507,1207
CIZ1_m130948034,CIZ1,1811,1203,2979,1754
CIZ1_m130948039,CIZ1,1165,942,1834,1118
CIZ1_m130948045,CIZ1,325,683,2315,1745
CIZ1_p130947923,CIZ1,469,406,1325,1476
CIZ1_p130947930,CIZ1,1109,390,1550,2128
CIZ1_p130947935,CIZ1,668,719,2371,2001
CIZ1_p130947958,CIZ1,276,72,94,360
CIZ1_p130947963,CIZ1,632,191,850,1017
CIZ1_p130947973,CIZ1,363,489,2314,1874
CIZ1_p130948025,CIZ1,547,554,1427,1508
CKAP2_m53029732,CKAP2,122,138,1133,689
CKAP2_m53029752,CKAP2,210,244,650,498
CKAP2_m53035066,CKAP2,952,380,923,1371
CKAP2_m53035273,CKAP2,656,405,1871,1506
CKAP2_m53035289,CKAP2,385,237,1513,1010
CKAP2_p53029681,CKAP2,1224,938,2348,1471
CKAP2_p53029739,CKAP2,709,519,897,1623
CKAP2_p53035039,CKAP2,633,812,1541,1622
CKAP2_p53035055,CKAP2,778,328,677,2003
CKAP2_p53035302,CKAP2,307,119,306,171
CKAP5_m46837949,CKAP5,1062,748,738,502
CKAP5_m46839911,CKAP5,292,229,803,445
CKAP5_m46839924,CKAP5,689,335,356,39
CKAP5_m46840023,CKAP5,664,741,1125,128
CKAP5_m46840033,CKAP5,997,897,768,942
CKAP5_m46842727,CKAP5,680,751,943,493
CKAP5_m46842764,CKAP5,1078,566,1639,558
CKAP5_p46837930,CKAP5,995,274,466,660
CKAP5_p46839852,CKAP5,1058,361,1030,2117
CKAP5_p46842729,CKAP5,106,215,612,1475
CLASP1_m122363299,CLASP1,712,702,1667,2231
CLASP1_m122363316,CLASP1,397,375,1069,1585
CLASP1_m122363421,CLASP1,606,365,1131,712
CLASP1_m122363440,CLASP1,699,1047,1907,2143
CLASP1_m122363458,CLASP1,61,416,452,1531
CLASP1_p122363320,CLASP1,421,384,1220,1141
CLASP1_p122363332,CLASP1,1141,385,1595,1996
CLASP1_p122363377,CLASP1,216,299,240,501
CLASP1_p122363425,CLASP1,769,568,1552,1151
CLASP1_p122363442,CLASP1,870,553,1721,1715
CLASP2_m33673854,CLASP2,361,437,737,1827
CLASP2_m33686250,CLASP2,530,433,1293,975
CLASP2_m33686285,CLASP2,1021,1161,3180,2714
CLASP2_m33686329,CLASP2,625,431,1394,1181
CLASP2_m33686357,CLASP2,446,464,1279,1816
CLASP2_m33686364,CLASP2,654,322,703,468
CLASP2_p33686238,CLASP2,329,507,695,1052
CLASP2_p33686273,CLASP2,418,581,1586,1091
CLASP2_p33686312,CLASP2,107,215,626,535
CLASP2_p33686331,CLASP2,508,322,1415,1562
CLASRP_p45543460,CLASRP,263,476,775,1122
CLASRP_p45543465,CLASRP,447,535,1092,1863
CLASRP_p45543477,CLASRP,613,360,970,420
CLASRP_p45543488,CLASRP,1188,997,1773,3858
CLASRP_p45543496,CLASRP,786,933,1113,1079
CLASRP_p45543513,CLASRP,1356,872,1207,505
CLASRP_p45543522,CLASRP,1336,588,1600,783
CLASRP_p45543528,CLASRP,415,320,814,290
CLASRP_p45555333,CLASRP,358,407,341,147
CLASRP_p45555340,CLASRP,608,739,1296,1847
CLCC1_m109486480,CLCC1,194,235,551,196
CLCC1_m109486485,CLCC1,251,340,520,586
CLCC1_m109490239,CLCC1,596,256,635,792
CLCC1_m109492443,CLCC1,178,253,509,632
CLCC1_m109492952,CLCC1,594,239,966,954
CLCC1_m109492993,CLCC1,796,600,777,1385
CLCC1_m109493015,CLCC1,727,476,1074,1329
CLCC1_p109492484,CLCC1,4,166,481,363
CLCC1_p109492960,CLCC1,823,836,1257,1736
CLCC1_p109493019,CLCC1,730,681,1258,2432
CLDN19_m43205647,CLDN19,679,400,1681,1994
CLDN19_m43205678,CLDN19,375,324,1913,1043
CLDN19_m43205683,CLDN19,292,100,100,103
CLDN19_m43205690,CLDN19,433,246,542,1314
CLDN19_m43205708,CLDN19,453,417,448,1436
CLDN19_m43205723,CLDN19,678,494,1855,2129
CLDN19_p43205635,CLDN19,768,503,1645,1190
CLDN19_p43205670,CLDN19,560,368,461,1041
CLDN19_p43205694,CLDN19,1397,801,2995,3224
CLDN19_p43205713,CLDN19,202,285,781,781
CLEC3B_m45067883,CLEC3B,1515,1564,387,27
CLEC3B_m45067897,CLEC3B,56,299,668,660
CLEC3B_m45067906,CLEC3B,812,755,2094,3095
CLEC3B_m45067915,CLEC3B,85,117,296,361
CLEC3B_m45067923,CLEC3B,360,208,765,588
CLEC3B_m45067930,CLEC3B,113,131,561,299
CLEC3B_m45067938,CLEC3B,357,348,654,1644
CLEC3B_p45067843,CLEC3B,505,626,1314,1478
CLEC3B_p45067886,CLEC3B,413,413,495,1264
CLEC3B_p45067941,CLEC3B,437,655,1493,1858
CLGN_m141330992,CLGN,481,218,723,468
CLGN_m141331011,CLGN,1530,1443,3686,4153
CLGN_m141331708,CLGN,298,462,1443,802
CLGN_m141331754,CLGN,991,667,1906,2853
CLGN_m141334090,CLGN,438,175,478,150
CLGN_m141334150,CLGN,712,510,1451,2646
CLGN_m141334168,CLGN,398,169,342,910
CLGN_p141327183,CLGN,703,484,3429,1682
CLGN_p141331742,CLGN,494,250,432,879
CLGN_p141334073,CLGN,267,172,295,720
CLIC1_m31701646,CLIC1,449,283,1023,1432
CLIC1_m31701707,CLIC1,951,755,2539,2898
CLIC1_m31701977,CLIC1,467,481,708,1291
CLIC1_m31701985,CLIC1,566,400,1355,1804
CLIC1_m31704040,CLIC1,200,301,1069,1403
CLIC1_m31704058,CLIC1,725,261,1529,1500
CLIC1_p31701667,CLIC1,803,503,1128,1829
CLIC1_p31701710,CLIC1,775,452,2005,2141
CLIC1_p31701719,CLIC1,251,250,1090,1199
CLIC1_p31701938,CLIC1,477,397,1125,1222
CLIC2_m154528350,CLIC2,796,591,2021,1106
CLIC2_m154528387,CLIC2,476,567,1792,2097
CLIC2_m154528435,CLIC2,624,541,3086,1296
CLIC2_m154528447,CLIC2,1102,1329,2138,2764
CLIC2_m154563708,CLIC2,371,283,882,1155
CLIC2_m154563719,CLIC2,224,193,373,1297
CLIC2_m154563724,CLIC2,1200,773,2476,2289
CLIC2_m154563731,CLIC2,382,376,751,287
CLIC2_p154528376,CLIC2,278,514,1373,2071
CLIC2_p154563697,CLIC2,129,156,805,363
CLIC3_m139890138,CLIC3,240,342,1416,1357
CLIC3_m139890154,CLIC3,199,183,353,555
CLIC3_m139890197,CLIC3,606,492,1490,1344
CLIC3_m139890202,CLIC3,764,547,479,856
CLIC3_m139890964,CLIC3,886,591,968,1428
CLIC3_p139890121,CLIC3,1491,892,1537,1483
CLIC3_p139890127,CLIC3,86,129,747,416
CLIC3_p139890145,CLIC3,675,773,1902,1725
CLIC3_p139890955,CLIC3,370,527,1425,1281
CLIC3_p139890974,CLIC3,466,132,757,806
CLIC4_m25072096,CLIC4,807,413,629,812
CLIC4_m25124231,CLIC4,353,416,2480,2236
CLIC4_m25124275,CLIC4,380,417,1839,1174
CLIC4_m25140615,CLIC4,177,50,247,309
CLIC4_p25072047,CLIC4,566,498,1582,1273
CLIC4_p25072055,CLIC4,783,866,1599,1990
CLIC4_p25072061,CLIC4,584,340,533,444
CLIC4_p25124283,CLIC4,277,106,605,490
CLIC4_p25140587,CLIC4,102,171,384,460
CLIC4_p25140594,CLIC4,499,492,1669,1188
CLIP1_m122862412,CLIP1,333,431,1010,1977
CLIP1_m122862429,CLIP1,2417,1677,4090,6562
CLIP1_m122864916,CLIP1,282,251,409,742
CLIP1_m122864971,CLIP1,743,911,2242,1879
CLIP1_m122864978,CLIP1,1417,1196,2954,3721
CLIP1_p122862434,CLIP1,475,369,712,813
CLIP1_p122864901,CLIP1,552,474,1240,2375
CLIP1_p122864925,CLIP1,330,363,1659,1329
CLIP1_p122864932,CLIP1,122,196,388,65
CLIP1_p122864939,CLIP1,252,143,618,772
CLK1_m201726093,CLK1,1072,1123,2920,3164
CLK1_m201726105,CLK1,726,504,2039,2319
CLK1_m201726181,CLK1,247,80,606,597
CLK1_m201726470,CLK1,508,789,1596,1344
CLK1_m201726529,CLK1,353,612,1520,2538
CLK1_m201726536,CLK1,417,493,1559,856
CLK1_m201726542,CLK1,552,520,2081,1988
CLK1_m201726551,CLK1,756,360,905,1751
CLK1_p201726166,CLK1,481,271,814,1185
CLK1_p201726449,CLK1,553,259,1885,1232
CLK2_m155239478,CLK2,450,340,860,1475
CLK2_m155240626,CLK2,685,613,2969,1333
CLK2_m155240633,CLK2,641,1024,2352,2977
CLK2_m155240666,CLK2,143,64,282,392
CLK2_p155240587,CLK2,412,280,823,790
CLK2_p155240593,CLK2,146,224,459,900
CLK2_p155240674,CLK2,1027,452,1511,1706
CLK2_p155240692,CLK2,855,663,1759,1795
CLK2_p155240725,CLK2,313,443,750,1265
CLK2_p155240749,CLK2,451,323,809,1197
CLK3_m74911566,CLK3,363,301,1507,1165
CLK3_m74911573,CLK3,302,476,1488,2185
CLK3_m74911578,CLK3,813,261,623,1293
CLK3_m74911668,CLK3,853,732,1784,1776
CLK3_m74912352,CLK3,532,850,2120,2030
CLK3_p74911580,CLK3,588,765,1760,1755
CLK3_p74911586,CLK3,1192,1473,5145,3405
CLK3_p74911598,CLK3,1062,926,3748,2520
CLK3_p74911609,CLK3,1086,1210,3178,3874
CLK3_p74911634,CLK3,778,766,3196,1640
CLK4_m178045738,CLK4,428,430,1266,2009
CLK4_m178045763,CLK4,191,248,402,926
CLK4_m178050297,CLK4,1407,841,2125,3040
CLK4_m178050327,CLK4,1067,1005,2442,3426
CLK4_m178050333,CLK4,854,831,2760,3402
CLK4_m178050365,CLK4,1064,846,2949,3845
CLK4_m178050383,CLK4,370,343,1801,1652
CLK4_p178050254,CLK4,564,550,1798,2447
CLK4_p178050262,CLK4,292,490,1127,1396
CLK4_p178050367,CLK4,112,18,149,111
CLN3_m28500701,CLN3,1,39,95,75
CLN3_m28502804,CLN3,969,743,1330,1927
CLN3_m28502811,CLN3,120,10,36,114
CLN3_m28503056,CLN3,1015,872,3209,3105
CLN3_m28503066,CLN3,696,744,1926,1971
CLN3_m28503075,CLN3,306,173,336,692
CLN3_p28500688,CLN3,560,301,884,1389
CLN3_p28502818,CLN3,1243,1066,2508,1449
CLN3_p28502829,CLN3,547,455,1321,1594
CLN3_p28502836,CLN3,730,955,1683,1027
CLNS1A_m77340809,CLNS1A,176,114,823,732
CLNS1A_m77348658,CLNS1A,1051,545,130,1
CLNS1A_m77348664,CLNS1A,64,177,1125,160
CLNS1A_m77348670,CLNS1A,1240,559,448,179
CLNS1A_m77348675,CLNS1A,1108,836,1238,437
CLNS1A_m77348689,CLNS1A,379,384,233,0
CLNS1A_p77340796,CLNS1A,483,410,579,2102
CLNS1A_p77340847,CLNS1A,157,503,599,1092
CLNS1A_p77348629,CLNS1A,262,130,126,236
CLNS1A_p77348644,CLNS1A,627,507,605,138
CLOCK_m56342180,CLOCK,740,444,1398,1302
CLOCK_m56342185,CLOCK,615,489,1862,1581
CLOCK_m56345052,CLOCK,621,418,1774,1222
CLOCK_m56345067,CLOCK,607,343,1236,1476
CLOCK_m56345822,CLOCK,875,481,1809,1348
CLOCK_m56348907,CLOCK,489,341,1299,1640
CLOCK_p56342143,CLOCK,588,317,1219,1401
CLOCK_p56342151,CLOCK,196,177,918,597
CLOCK_p56345031,CLOCK,469,325,779,870
CLOCK_p56345039,CLOCK,440,202,1144,1319
CLP1_m57426981,CLP1,183,342,440,876
CLP1_m57427099,CLP1,230,244,394,773
CLP1_p57426938,CLP1,767,651,735,415
CLP1_p57427004,CLP1,1236,1358,3149,4078
CLP1_p57427010,CLP1,613,527,1276,733
CLP1_p57427031,CLP1,702,460,1515,816
CLP1_p57427044,CLP1,1352,925,1637,895
CLP1_p57427049,CLP1,897,933,979,123
CLP1_p57427062,CLP1,776,603,1980,2430
CLP1_p57427104,CLP1,97,12,249,246
CLPX_m65472403,CLPX,318,228,1481,749
CLPX_m65477414,CLPX,1415,609,1871,1491
