Accession,BioSample,Organism_Name,Species,Pangolin,PangoVersions,Genotype,Isolate,Segment,Length,Nuc_Completeness,Geo_Location,Country,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
PP409657,SAMN40189390,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S22289,,29753,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2024-01-22,2024-02-28,ssRNA(+)
PP317648,SAMN39895083,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1.8,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S22140,,29742,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2023-12-26,2024-02-09,ssRNA(+)
PP317649,SAMN39895084,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S22141,,29741,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2023-12-26,2024-02-09,ssRNA(+)
PP317651,SAMN39895086,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S22143,,29742,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2023-12-26,2024-02-09,ssRNA(+)
PP317654,SAMN39895089,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S22146,,29742,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2023-12-26,2024-02-09,ssRNA(+)
PP317655,SAMN39895090,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.2,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S22147,,29745,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2023-12-26,2024-02-09,ssRNA(+)
PP317656,SAMN39895091,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S22148,,29741,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2023-12-28,2024-02-09,ssRNA(+)
PP317657,SAMN39895092,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1.6,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S22149,,29743,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2024-01-03,2024-02-09,ssRNA(+)
PP317658,SAMN39895093,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1.59,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S22150,,29753,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2024-01-03,2024-02-09,ssRNA(+)
PP317660,SAMN39895095,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1.8,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S22152,,29753,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2023-12-26,2024-02-09,ssRNA(+)
PP317664,SAMN39895099,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S22156,,29742,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2023-12-26,2024-02-09,ssRNA(+)
PP317674,SAMN39895112,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1.6,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S22171,,29733,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2024-01-03,2024-02-09,ssRNA(+)
