TAXID,SRR1175007,SRR042182,SRR061154,SRR061499,SRR063469,SRR062324,SRR1179037,SRR061236,SRR061456,SRR642021,ERR2402780,ERR1916139,ERR1915048,ERR1914553,ERR1913614,ERR1915578,ERR1915612,ERR2402795,ERR1914224,ERR1914439
42255,0,105,57,134,0,77,0,63,0,126,0,0,0,0,0,0,0,0,0,0
42256,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0
42417,0,0,0,0,65,66,0,0,0,0,194,0,0,0,0,0,0,188,0,0
42422,0,0,0,0,65,66,0,0,0,0,194,0,0,0,0,0,0,188,0,0
42443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42444,0,0,0,69,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0
42684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42817,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42837,0,0,0,0,0,56,0,132,201,0,0,0,0,0,0,0,0,0,0,0
42838,0,0,0,0,0,56,0,132,201,0,0,0,0,0,0,0,0,0,0,0
42862,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0
42879,0,0,0,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43263,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0
43305,226,1945,640,511,574,1083,245,439,462,0,170,203,121,56,91,109,0,176,205,104
43356,0,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0
43357,0,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0
43657,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43661,0,0,74,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43662,0,0,0,141,0,61,0,0,0,129,0,0,0,0,0,0,0,0,0,0
43663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43668,0,117,0,193,0,82,0,78,0,0,0,0,0,0,0,0,0,0,95,0
43669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43675,0,123,76,0,0,89,0,0,68,0,0,0,0,0,0,0,0,0,0,0
43767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43773,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43947,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,77,0
43948,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,77,0
43988,0,228,0,185,61,193,0,234,105,168,0,0,51,0,0,0,0,0,53,0
43989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44000,0,709,291,239,119,456,0,518,228,0,713,174,144,73,67,98,109,790,152,100
44001,0,116,0,52,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44008,0,451,3873,1751,2406,126,0,977,397,0,1112,83,120,55,134,0,0,1091,83,54
44011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44013,185,166,374,216,0,199,308,291,265,91,56273,120,158,198,107,99,179,60062,22423,143
44088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44249,682,5028,1510,4305,2010,3566,773,2463,3346,1830,1402,1007,818,568,873,786,650,1489,1715,885
44251,0,236,115,301,74,222,0,150,103,260,0,0,0,0,0,0,0,0,0,0
44255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44259,0,245,0,178,59,204,0,128,406,0,0,150,109,0,0,66,53,0,76,55
44260,0,52,0,94,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44471,0,0,116,75,0,58,0,0,74,0,0,0,0,0,0,0,0,0,0,0
44474,0,84,0,60,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44574,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44577,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0
44674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44742,0,363,110,58548,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45067,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0
45243,0,125,124,242,0,154,0,51,122,335,0,0,0,0,0,0,0,0,83,0
45361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45497,0,86,0,79,0,142,0,117,0,0,0,83,72,0,0,0,0,0,55,0
45610,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45634,0,53,0,82,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0
45658,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45667,0,57,0,0,0,63,0,0,88,0,0,0,0,0,0,0,0,0,52,0
45669,0,97,0,80,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0
45972,0,56,0,0,0,0,0,59,0,0,69,51,0,0,0,0,0,74,0,0
45989,0,0,0,64,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0
46127,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46234,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46238,0,65,0,131,0,87,0,56,0,0,0,0,0,0,0,0,0,0,0,0
46239,0,181,70,228,0,216,0,247,0,0,431,76,57,59,0,0,0,408,86,51
46254,0,0,0,125,0,0,0,77,0,0,88,0,0,0,0,0,0,85,0,0
46255,0,261,0,146,327,85,0,55,58,0,0,3554,60,0,67,0,59,0,94,69
46352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46355,0,80,0,99,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0
46429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46541,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46677,0,0,0,0,0,0,0,0,0,480,0,0,0,0,0,0,0,0,0,0
46679,0,0,0,0,0,0,62,0,0,927,0,0,0,0,0,0,0,0,0,0
46867,0,244,92,111,0,146,0,244,50,0,750,298,151,60,107,135,94,945,105,91
46913,0,150,0,144,59,99,0,77,0,151,0,0,0,0,0,0,0,0,0,0
47229,0,0,0,0,0,0,0,87,172,0,0,0,0,0,0,0,0,0,0,0
47251,0,232,461,181,104,117,0,203,123,174,89,0,0,0,0,0,0,109,0,0
47420,0,149,120,249,0,143,0,70,0,136,0,0,0,0,0,0,0,0,0,0
47466,0,0,0,0,0,0,0,0,0,0,59,109,61,0,0,0,0,79,0,75
47678,348283,23642,6598966,339616,1658025,397467,407242,1042884,815779,46208,104,1643,1508,2079,1420,1423,2886,125,5759,2010
47715,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0
47735,0,65,397,372,0,53,0,0,0,0,0,0,0,0,0,0,0,0,68,0
47763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47858,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47865,0,0,0,0,0,0,0,214,92,0,0,0,0,0,0,0,0,0,0,0
47872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47878,0,75,0,0,0,80,0,0,0,4367,0,0,0,0,0,0,0,0,0,0
47879,0,0,0,0,0,0,0,0,0,315,0,0,0,0,0,0,0,0,0,0
47880,0,0,0,0,0,0,0,0,0,228,0,0,0,0,0,0,0,0,0,0
47883,0,0,0,0,0,0,0,71,0,5603,0,0,0,0,0,0,0,0,0,0
47884,0,0,0,0,0,0,0,0,0,499,0,0,0,0,0,0,0,0,0,0
47885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47917,0,58,0,0,0,0,0,165,241,0,0,0,0,0,0,0,0,0,0,0
47929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48073,0,187,62,271,0,166,0,112,63,322,0,0,0,0,0,0,0,0,51,0
48075,0,0,0,233,0,0,0,109,1392,0,0,0,0,0,0,0,0,0,0,0
48296,0,0,0,0,0,119,0,0,272,100,0,0,0,0,0,0,0,0,0,0
48664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48736,95,217,102,246,165,216,127,170,171,0,0,0,0,0,91,67,0,0,90,0
48935,0,0,0,67,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
49082,0,95,79,71,0,143,0,164,101,0,0,115,64,0,0,51,166,0,71,63
49118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49319,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49338,0,129,65,185,0,123,0,78,112,121,0,63,0,0,0,0,0,0,0,0
49894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49899,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50340,0,0,0,66,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0
50714,0,0,62,122,150,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51196,0,110,0,81,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51197,0,110,0,81,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51365,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51514,0,196,0,203,52,150,0,70,87,0,0,0,0,0,0,0,0,0,0,0
51515,0,196,0,203,52,150,0,70,87,0,0,0,0,0,0,0,0,0,0,0
51589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51663,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,243,0,0
51665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0
51668,0,0,0,0,0,101,0,0,80,0,185,0,54,0,0,0,0,193,0,0
51669,0,0,0,0,0,101,0,0,80,0,185,0,54,0,0,0,0,193,0,0
52022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52227,277,2570,958,2172,423,1670,291,2081,1163,8188,0,245,246,1537,2744,839,464,0,4902,2246
52242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52443,77,75,68,88,0,96,110,121,0,0,0,0,0,0,0,0,0,0,0,0
52584,0,153,0,84,0,137,0,913,53,0,376,239,60,53,55,0,94,394,118,61
52765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52773,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52959,277,418,195,731,467,494,302,640,913,639,374,250,216,294,169,155,235,437,434,215
52972,0,74,0,68,0,57,0,0,217,0,139,0,0,0,0,0,0,122,0,0
53246,196,530,435,527,355,438,248,634,267,471,386,220,247,446,153,119,238,386,396,198
53318,0,0,66,144,0,86,0,76,0,137,0,0,0,0,0,0,0,0,0,0
53335,94,311,492,485,312,462,84,605,449,534,79,71,71,102,125,116,87,89,136,69
53336,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53345,0,0,0,0,0,0,0,103,112,0,618,0,0,0,0,0,0,663,0,0
53346,0,72,0,0,0,0,0,0,50,0,240,56,55,0,0,0,0,250,0,0
53357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53387,0,51,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53392,0,0,74,125,0,55,0,0,0,53,0,0,0,0,0,0,0,0,0,0
53399,0,78,0,71,0,0,0,53,338,0,0,0,0,0,0,0,0,0,83,0
53407,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0
53408,0,0,0,55,0,0,0,0,0,489,0,0,0,0,0,0,0,0,0,0
53412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53444,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53457,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0
53460,0,0,0,71,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53558,0,0,0,0,0,0,0,0,0,0,213,0,0,0,0,0,0,243,0,0
53572,0,0,0,0,0,0,0,0,101,0,124,0,0,0,0,0,0,131,0,0
53634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0
53635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0
53945,0,77,57,81,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54258,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54259,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54291,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54298,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54299,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54304,0,0,0,87,57,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0
54308,0,84,0,60,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54571,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54913,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55079,0,139,0,116,70,157,0,213,143,0,94,0,0,0,0,52,0,132,0,51
55080,0,309,91,239,189,247,0,202,123,0,1283,82,106,60,106,77,0,1297,237,98
55148,0,81,0,113,0,54,0,82,94,141,0,0,0,0,0,0,0,0,0,0
55197,0,0,0,58,0,75,0,0,0,0,0,0,0,0,0,0,62,0,84,0
55205,0,114,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0
55206,0,63,0,65,0,0,0,0,0,0,88,0,0,0,0,0,0,88,0,0
55208,0,0,0,0,0,0,0,150,52,0,0,0,0,0,0,0,0,0,0,0
55211,0,67,0,88,0,53,0,69,0,137,0,0,0,0,0,0,0,0,102,0
55508,0,132,78,134,0,115,0,0,0,130,0,0,0,0,0,0,0,0,0,0
55510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55583,0,110,0,90,0,59,0,0,79,0,0,0,0,0,0,0,0,0,0,0
55601,0,0,0,0,0,51,0,134,0,0,0,0,0,0,0,0,0,0,0,0
55802,0,0,70,57,0,62,0,97,0,0,0,0,0,0,0,0,0,0,0,0
55884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56106,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,111,0,0
56112,0,234,0,245,69,176,0,76,107,0,0,54,0,0,0,0,0,0,104,58
56426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56458,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0
56459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56460,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0
56688,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56956,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0
56957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57029,0,77,0,66,0,99,0,0,0,142,0,0,0,0,0,0,0,0,0,0
57320,0,63,0,54,0,93,0,53,0,0,0,0,0,0,0,0,0,0,0,0
57372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57479,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57480,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57487,0,0,0,74,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0
57493,0,95,92,143,91,131,0,59,0,51,0,0,0,0,0,0,0,0,0,0
57495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57499,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57665,0,181,80,112,0,116,0,215,142,0,0,74,60,0,0,52,0,0,105,0
57704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57706,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0
57739,0,65,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58049,0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,159,0,0
58050,0,0,156,61,0,99,0,0,0,0,0,0,0,0,0,0,0,0,62,0
58138,0,91,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,137,0,0
58180,0,65,0,80,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0
58290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58842,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59282,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59505,0,78,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0
59600,72,0,0,0,0,0,75,62,0,0,0,0,0,0,0,0,0,0,0,0
59610,0,104,0,52,0,73,0,137,0,0,0,0,0,0,0,0,0,0,50,0
59732,324,2162,3512,13619,163,1104,426,1522,1718,1276,363,359,309,422,663,313,250,384,1221,514
59739,116,150,65,344,0,201,122,163,260,163,0,0,0,0,0,0,0,0,122,0
59740,0,176,138,419,0,142,0,284,493,338,174,0,0,0,0,0,0,160,119,0
59748,57,0,0,0,0,76,85,0,0,0,0,0,0,0,0,0,0,0,0,0
59753,0,99,0,108,0,61,0,0,0,65,0,0,0,0,0,0,0,0,0,0
59843,0,67,0,88,59,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60136,0,166,88,243,241,148,0,253,67,0,0,0,0,0,0,0,0,0,0,0
60217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60478,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60548,0,69,0,110,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0
60550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60552,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60892,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0
60893,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0
60919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61015,0,0,0,0,0,58,0,0,0,229,0,0,0,0,0,0,0,0,0,0
61434,0,161,0,101,0,172,0,60,229,221,0,0,0,0,0,0,0,0,0,0
61435,0,135,0,82,0,149,0,0,228,221,0,0,0,0,0,0,0,0,0,0
61624,0,185,0,215,0,104,0,77,57,0,0,0,0,0,0,0,0,0,75,0
61635,0,0,0,0,0,0,0,154,195,0,265,0,0,0,0,0,0,261,0,0
61645,0,0,0,71,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61646,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0
61647,0,52,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62153,56,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
62320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62322,0,0,0,64,0,0,0,106,0,0,137,0,0,0,0,0,0,134,0,0
62928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62977,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63132,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0
63186,80,0,0,83,0,79,99,279,154,71,0,0,0,0,0,0,0,0,59,0
63363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63612,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63743,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0
63745,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64104,0,131,373,77,139,320,0,158,88,0,0,53,0,0,0,0,0,0,63,0
64159,0,0,0,0,0,0,0,0,0,0,315,0,0,0,0,0,0,300,0,0
64160,0,0,0,0,0,0,0,0,0,0,315,0,0,0,0,0,0,300,0,0
64186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64895,0,78,0,0,0,96,0,106,0,0,0,0,0,0,0,0,0,0,0,0
64897,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0
65047,0,54,0,52,0,0,0,152,189,0,0,0,0,0,0,0,0,0,0,0
65058,0,56,0,0,0,0,0,92,180,0,0,0,0,0,0,0,0,0,0,0
65093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
