Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[strain]	Characteristics[treatment]	Characteristics[disease]	Characteristics[biological replicate]	characteristics[mass]	characteristics[spiked compound]	characteristics[spiked compound]	characteristics[spiked compound]	characteristics[spiked compound]	characteristics[spiked compound]	characteristics[spiked compound]	characteristics[spiked compound]	characteristics[spiked compound]	characteristics[spiked compound]	characteristics[spiked compound]	characteristics[spiked compound]	characteristics[spiked compound]	characteristics[spiked compound]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Factor Value[treatment]	Factor Value[spiked compound]	Factor Value[spiked compound]	Factor Value[spiked compound]	Factor Value[spiked compound]	Factor Value[spiked compound]	Factor Value[spiked compound]	Factor Value[spiked compound]	Factor Value[spiked compound]	Factor Value[spiked compound]	Factor Value[spiked compound]	Factor Value[spiked compound]	Factor Value[spiked compound]	Factor Value[spiked compound]
Sample 3	Escherichia coli	whole plant	not available	not available	DH5 alpha	treatment	not available	1	70 ug	CT=protein;AC=ENO1;QY=2 pmol	CT=protein;AC=ARG1;QY=40 pmol	CT=protein;AC=FABP4;QY=1 pmol	CT=protein;AC=PTGES3;QY=2 pmol	CT=protein;AC=KPNA2;QY=0 pmol	CT=protein;AC=LASP1;QY=20 pmol	CT=protein;AC=HDAC3;QY=0 pmol	CT=protein;AC=KCNIP3;QY=2 pmol	CT=protein;AC=OTUB1;QY=0 pmol	CT=protein;AC=GABARAPL1;QY=1 pmol	CT=protein;AC=GAS7;QY=20 pmol	CT=protein;AC=EZR;QY=4 pmol	CT=protein;AC=Albumin;QY=32 pmol	whole organism	run 3	profiling by mass spectrometry	151107_Ecoli_12prot_spike_MS2_Fr11.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/07/PXD005486/151107_Ecoli_12prot_spike_MS2_Fr11.raw	1	11	TMT127C	NT=LTQ Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	"NT=Deamidated;AC=UNIMOD:7;MT=Variable;TA=N,Q"	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	AC=MS:1001251;NT=Trypsin	NT= HCD;AC=PRIDE:0000590	35% NCE	20 ppm	0.03 Da	treatment	CT=protein;AC=ENO1;QY=2 pmol	CT=protein;AC=ARG1;QY=40 pmol	CT=protein;AC=FABP4;QY=1 pmol	CT=protein;AC=PTGES3;QY=2 pmol	CT=protein;AC=KPNA2;QY=0 pmol	CT=protein;AC=LASP1;QY=20 pmol	CT=protein;AC=HDAC3;QY=0 pmol	CT=protein;AC=KCNIP3;QY=2 pmol	CT=protein;AC=OTUB1;QY=0 pmol	CT=protein;AC=GABARAPL1;QY=1 pmol	CT=protein;AC=GAS7;QY=20 pmol	CT=protein;AC=EZR;QY=4 pmol	CT=protein;AC=Albumin;QY=32 pmol
Sample 4	Escherichia coli	whole plant	not available	not available	DH5 alpha	treatment	not available	1	70 ug	CT=protein;AC=ENO1;QY=0 pmol	CT=protein;AC=ARG1;QY=1 pmol	CT=protein;AC=FABP4;QY=20 pmol	CT=protein;AC=PTGES3;QY=2 pmol	CT=protein;AC=KPNA2;QY=2 pmol	CT=protein;AC=LASP1;QY=0 pmol	CT=protein;AC=HDAC3;QY=1 pmol	CT=protein;AC=KCNIP3;QY=40 pmol	CT=protein;AC=OTUB1;QY=0 pmol	CT=protein;AC=GABARAPL1;QY=20 pmol	CT=protein;AC=GAS7;QY=1 pmol	CT=protein;AC=EZR;QY=0 pmol	CT=protein;AC=Albumin;QY=85 pmol	whole organism	run 3	profiling by mass spectrometry	151107_Ecoli_12prot_spike_MS2_Fr11.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/07/PXD005486/151107_Ecoli_12prot_spike_MS2_Fr11.raw	1	11	TMT128N	NT=LTQ Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	"NT=Deamidated;AC=UNIMOD:7;MT=Variable;TA=N,Q"	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	AC=MS:1001251;NT=Trypsin	NT= HCD;AC=PRIDE:0000590	35% NCE	20 ppm	0.03 Da	treatment	CT=protein;AC=ENO1;QY=0 pmol	CT=protein;AC=ARG1;QY=1 pmol	CT=protein;AC=FABP4;QY=20 pmol	CT=protein;AC=PTGES3;QY=2 pmol	CT=protein;AC=KPNA2;QY=2 pmol	CT=protein;AC=LASP1;QY=0 pmol	CT=protein;AC=HDAC3;QY=1 pmol	CT=protein;AC=KCNIP3;QY=40 pmol	CT=protein;AC=OTUB1;QY=0 pmol	CT=protein;AC=GABARAPL1;QY=20 pmol	CT=protein;AC=GAS7;QY=1 pmol	CT=protein;AC=EZR;QY=0 pmol	CT=protein;AC=Albumin;QY=85 pmol
Sample 5	Escherichia coli	whole plant	not available	not available	DH5 alpha	treatment	not available	1	70 ug	CT=protein;AC=ENO1;QY=2 pmol	CT=protein;AC=ARG1;QY=4 pmol	CT=protein;AC=FABP4;QY=2 pmol	CT=protein;AC=PTGES3;QY=4 pmol	CT=protein;AC=KPNA2;QY=20 pmol	CT=protein;AC=LASP1;QY=4 pmol	CT=protein;AC=HDAC3;QY=40 pmol	CT=protein;AC=KCNIP3;QY=4 pmol	CT=protein;AC=OTUB1;QY=4 pmol	CT=protein;AC=GABARAPL1;QY=4 pmol	CT=protein;AC=GAS7;QY=0 pmol	CT=protein;AC=EZR;QY=2 pmol	CT=protein;AC=Albumin;QY=12 pmol	whole organism	run 3	profiling by mass spectrometry	151107_Ecoli_12prot_spike_MS2_Fr11.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/07/PXD005486/151107_Ecoli_12prot_spike_MS2_Fr11.raw	1	11	TMT128C	NT=LTQ Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	"NT=Deamidated;AC=UNIMOD:7;MT=Variable;TA=N,Q"	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	AC=MS:1001251;NT=Trypsin	NT= HCD;AC=PRIDE:0000590	35% NCE	20 ppm	0.03 Da	treatment	CT=protein;AC=ENO1;QY=2 pmol	CT=protein;AC=ARG1;QY=4 pmol	CT=protein;AC=FABP4;QY=2 pmol	CT=protein;AC=PTGES3;QY=4 pmol	CT=protein;AC=KPNA2;QY=20 pmol	CT=protein;AC=LASP1;QY=4 pmol	CT=protein;AC=HDAC3;QY=40 pmol	CT=protein;AC=KCNIP3;QY=4 pmol	CT=protein;AC=OTUB1;QY=4 pmol	CT=protein;AC=GABARAPL1;QY=4 pmol	CT=protein;AC=GAS7;QY=0 pmol	CT=protein;AC=EZR;QY=2 pmol	CT=protein;AC=Albumin;QY=12 pmol
Sample 6	Escherichia coli	whole plant	not available	not available	DH5 alpha	control	not available	1	70 ug	CT=protein;AC=ENO1;QY=1 pmol	CT=protein;AC=ARG1;QY=0 pmol	CT=protein;AC=FABP4;QY=0 pmol	CT=protein;AC=PTGES3;QY=1 pmol	CT=protein;AC=KPNA2;QY=0 pmol	CT=protein;AC=LASP1;QY=40 pmol	CT=protein;AC=HDAC3;QY=1 pmol	CT=protein;AC=KCNIP3;QY=2 pmol	CT=protein;AC=OTUB1;QY=2 pmol	CT=protein;AC=GABARAPL1;QY=0 pmol	CT=protein;AC=GAS7;QY=40 pmol	CT=protein;AC=EZR;QY=4 pmol	CT=protein;AC=Albumin;QY=21 pmol	whole organism	run 3	profiling by mass spectrometry	151107_Ecoli_12prot_spike_MS2_Fr11.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/07/PXD005486/151107_Ecoli_12prot_spike_MS2_Fr11.raw	1	11	TMT129N	NT=LTQ Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	"NT=Deamidated;AC=UNIMOD:7;MT=Variable;TA=N,Q"	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	AC=MS:1001251;NT=Trypsin	NT= HCD;AC=PRIDE:0000590	35% NCE	20 ppm	0.03 Da	control	CT=protein;AC=ENO1;QY=1 pmol	CT=protein;AC=ARG1;QY=0 pmol	CT=protein;AC=FABP4;QY=0 pmol	CT=protein;AC=PTGES3;QY=1 pmol	CT=protein;AC=KPNA2;QY=0 pmol	CT=protein;AC=LASP1;QY=40 pmol	CT=protein;AC=HDAC3;QY=1 pmol	CT=protein;AC=KCNIP3;QY=2 pmol	CT=protein;AC=OTUB1;QY=2 pmol	CT=protein;AC=GABARAPL1;QY=0 pmol	CT=protein;AC=GAS7;QY=40 pmol	CT=protein;AC=EZR;QY=4 pmol	CT=protein;AC=Albumin;QY=21 pmol
Sample 7	Escherichia coli	whole plant	not available	not available	DH5 alpha	control	not available	1	70 ug	CT=protein;AC=ENO1;QY=4 pmol	CT=protein;AC=ARG1;QY=20 pmol	CT=protein;AC=FABP4;QY=0 pmol	CT=protein;AC=PTGES3;QY=0 pmol	CT=protein;AC=KPNA2;QY=1 pmol	CT=protein;AC=LASP1;QY=0 pmol	CT=protein;AC=HDAC3;QY=20 pmol	CT=protein;AC=KCNIP3;QY=0 pmol	CT=protein;AC=OTUB1;QY=1 pmol	CT=protein;AC=GABARAPL1;QY=40 pmol	CT=protein;AC=GAS7;QY=2 pmol	CT=protein;AC=EZR;QY=2 pmol	CT=protein;AC=Albumin;QY=64 pmol	whole organism	run 3	profiling by mass spectrometry	151107_Ecoli_12prot_spike_MS2_Fr11.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/07/PXD005486/151107_Ecoli_12prot_spike_MS2_Fr11.raw	1	11	TMT129C	NT=LTQ Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	"NT=Deamidated;AC=UNIMOD:7;MT=Variable;TA=N,Q"	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	AC=MS:1001251;NT=Trypsin	NT= HCD;AC=PRIDE:0000590	35% NCE	20 ppm	0.03 Da	control	CT=protein;AC=ENO1;QY=4 pmol	CT=protein;AC=ARG1;QY=20 pmol	CT=protein;AC=FABP4;QY=0 pmol	CT=protein;AC=PTGES3;QY=0 pmol	CT=protein;AC=KPNA2;QY=1 pmol	CT=protein;AC=LASP1;QY=0 pmol	CT=protein;AC=HDAC3;QY=20 pmol	CT=protein;AC=KCNIP3;QY=0 pmol	CT=protein;AC=OTUB1;QY=1 pmol	CT=protein;AC=GABARAPL1;QY=40 pmol	CT=protein;AC=GAS7;QY=2 pmol	CT=protein;AC=EZR;QY=2 pmol	CT=protein;AC=Albumin;QY=64 pmol
Sample 8	Escherichia coli	whole plant	not available	not available	DH5 alpha	control	not available	1	70 ug	CT=protein;AC=ENO1;QY=40 pmol	CT=protein;AC=ARG1;QY=0 pmol	CT=protein;AC=FABP4;QY=2 pmol	CT=protein;AC=PTGES3;QY=4 pmol	CT=protein;AC=KPNA2;QY=4 pmol	CT=protein;AC=LASP1;QY=4 pmol	CT=protein;AC=HDAC3;QY=4 pmol	CT=protein;AC=KCNIP3;QY=1 pmol	CT=protein;AC=OTUB1;QY=4 pmol	CT=protein;AC=GABARAPL1;QY=2 pmol	CT=protein;AC=GAS7;QY=2 pmol	CT=protein;AC=EZR;QY=20 pmol	CT=protein;AC=Albumin;QY=1 pmol	whole organism	run 3	profiling by mass spectrometry	151107_Ecoli_12prot_spike_MS2_Fr11.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/07/PXD005486/151107_Ecoli_12prot_spike_MS2_Fr11.raw	1	11	TMT130N	NT=LTQ Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	"NT=Deamidated;AC=UNIMOD:7;MT=Variable;TA=N,Q"	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	AC=MS:1001251;NT=Trypsin	NT= HCD;AC=PRIDE:0000590	35% NCE	20 ppm	0.03 Da	control	CT=protein;AC=ENO1;QY=40 pmol	CT=protein;AC=ARG1;QY=0 pmol	CT=protein;AC=FABP4;QY=2 pmol	CT=protein;AC=PTGES3;QY=4 pmol	CT=protein;AC=KPNA2;QY=4 pmol	CT=protein;AC=LASP1;QY=4 pmol	CT=protein;AC=HDAC3;QY=4 pmol	CT=protein;AC=KCNIP3;QY=1 pmol	CT=protein;AC=OTUB1;QY=4 pmol	CT=protein;AC=GABARAPL1;QY=2 pmol	CT=protein;AC=GAS7;QY=2 pmol	CT=protein;AC=EZR;QY=20 pmol	CT=protein;AC=Albumin;QY=1 pmol
Sample 9	Escherichia coli	whole plant	not available	not available	DH5 alpha	control	not available	1	70 ug	CT=protein;AC=ENO1;QY=1 pmol	CT=protein;AC=ARG1;QY=4 pmol	CT=protein;AC=FABP4;QY=40 pmol	CT=protein;AC=PTGES3;QY=1 pmol	CT=protein;AC=KPNA2;QY=1 pmol	CT=protein;AC=LASP1;QY=1 pmol	CT=protein;AC=HDAC3;QY=0 pmol	CT=protein;AC=KCNIP3;QY=1 pmol	CT=protein;AC=OTUB1;QY=40 pmol	CT=protein;AC=GABARAPL1;QY=1 pmol	CT=protein;AC=GAS7;QY=0 pmol	CT=protein;AC=EZR;QY=1 pmol	CT=protein;AC=Albumin;QY=79 pmol	whole organism	run 3	profiling by mass spectrometry	151107_Ecoli_12prot_spike_MS2_Fr11.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/07/PXD005486/151107_Ecoli_12prot_spike_MS2_Fr11.raw	1	11	TMT130C	NT=LTQ Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	"NT=Deamidated;AC=UNIMOD:7;MT=Variable;TA=N,Q"	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	AC=MS:1001251;NT=Trypsin	NT= HCD;AC=PRIDE:0000590	35% NCE	20 ppm	0.03 Da	control	CT=protein;AC=ENO1;QY=1 pmol	CT=protein;AC=ARG1;QY=4 pmol	CT=protein;AC=FABP4;QY=40 pmol	CT=protein;AC=PTGES3;QY=1 pmol	CT=protein;AC=KPNA2;QY=1 pmol	CT=protein;AC=LASP1;QY=1 pmol	CT=protein;AC=HDAC3;QY=0 pmol	CT=protein;AC=KCNIP3;QY=1 pmol	CT=protein;AC=OTUB1;QY=40 pmol	CT=protein;AC=GABARAPL1;QY=1 pmol	CT=protein;AC=GAS7;QY=0 pmol	CT=protein;AC=EZR;QY=1 pmol	CT=protein;AC=Albumin;QY=79 pmol
Sample 10	Escherichia coli	whole plant	not available	not available	DH5 alpha	control	not available	1	70 ug	CT=protein;AC=ENO1;QY=4 pmol	CT=protein;AC=ARG1;QY=2 pmol	CT=protein;AC=FABP4;QY=4 pmol	CT=protein;AC=PTGES3;QY=40 pmol	CT=protein;AC=KPNA2;QY=2 pmol	CT=protein;AC=LASP1;QY=2 pmol	CT=protein;AC=HDAC3;QY=4 pmol	CT=protein;AC=KCNIP3;QY=20 pmol	CT=protein;AC=OTUB1;QY=1 pmol	CT=protein;AC=GABARAPL1;QY=4 pmol	CT=protein;AC=GAS7;QY=4 pmol	CT=protein;AC=EZR;QY=0 pmol	CT=protein;AC=Albumin;QY=81 pmol	whole organism	run 3	profiling by mass spectrometry	151107_Ecoli_12prot_spike_MS2_Fr11.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/07/PXD005486/151107_Ecoli_12prot_spike_MS2_Fr11.raw	1	11	TMT131	NT=LTQ Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	"NT=Deamidated;AC=UNIMOD:7;MT=Variable;TA=N,Q"	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	AC=MS:1001251;NT=Trypsin	NT= HCD;AC=PRIDE:0000590	35% NCE	20 ppm	0.03 Da	control	CT=protein;AC=ENO1;QY=4 pmol	CT=protein;AC=ARG1;QY=2 pmol	CT=protein;AC=FABP4;QY=4 pmol	CT=protein;AC=PTGES3;QY=40 pmol	CT=protein;AC=KPNA2;QY=2 pmol	CT=protein;AC=LASP1;QY=2 pmol	CT=protein;AC=HDAC3;QY=4 pmol	CT=protein;AC=KCNIP3;QY=20 pmol	CT=protein;AC=OTUB1;QY=1 pmol	CT=protein;AC=GABARAPL1;QY=4 pmol	CT=protein;AC=GAS7;QY=4 pmol	CT=protein;AC=EZR;QY=0 pmol	CT=protein;AC=Albumin;QY=81 pmol
Sample 1	Escherichia coli	whole plant	not available	not available	DH5 alpha	treatment	not available	1	70 ug	CT=protein;AC=ENO1;QY=0 pmol	CT=protein;AC=ARG1;QY=2 pmol	CT=protein;AC=FABP4;QY=4 pmol	CT=protein;AC=PTGES3;QY=20 pmol	CT=protein;AC=KPNA2;QY=4 pmol	CT=protein;AC=LASP1;QY=2 pmol	CT=protein;AC=HDAC3;QY=2 pmol	CT=protein;AC=KCNIP3;QY=4 pmol	CT=protein;AC=OTUB1;QY=2 pmol	CT=protein;AC=GABARAPL1;QY=2 pmol	CT=protein;AC=GAS7;QY=4 pmol	CT=protein;AC=EZR;QY=40 pmol	CT=protein;AC=Albumin;QY=5 pmol	whole organism	run 4	profiling by mass spectrometry	151107_Ecoli_12prot_spike_MS2_Fr12.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/07/PXD005486/151107_Ecoli_12prot_spike_MS2_Fr12.raw	1	12	TMT126	NT=LTQ Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	"NT=Deamidated;AC=UNIMOD:7;MT=Variable;TA=N,Q"	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	AC=MS:1001251;NT=Trypsin	NT= HCD;AC=PRIDE:0000590	35% NCE	20 ppm	0.03 Da	treatment	CT=protein;AC=ENO1;QY=0 pmol	CT=protein;AC=ARG1;QY=2 pmol	CT=protein;AC=FABP4;QY=4 pmol	CT=protein;AC=PTGES3;QY=20 pmol	CT=protein;AC=KPNA2;QY=4 pmol	CT=protein;AC=LASP1;QY=2 pmol	CT=protein;AC=HDAC3;QY=2 pmol	CT=protein;AC=KCNIP3;QY=4 pmol	CT=protein;AC=OTUB1;QY=2 pmol	CT=protein;AC=GABARAPL1;QY=2 pmol	CT=protein;AC=GAS7;QY=4 pmol	CT=protein;AC=EZR;QY=40 pmol	CT=protein;AC=Albumin;QY=5 pmol
Sample 2	Escherichia coli	whole plant	not available	not available	DH5 alpha	treatment	not available	1	70 ug	CT=protein;AC=ENO1;QY=20 pmol	CT=protein;AC=ARG1;QY=1 pmol	CT=protein;AC=FABP4;QY=1 pmol	CT=protein;AC=PTGES3;QY=0 pmol	CT=protein;AC=KPNA2;QY=40 pmol	CT=protein;AC=LASP1;QY=1 pmol	CT=protein;AC=HDAC3;QY=2 pmol	CT=protein;AC=KCNIP3;QY=0 pmol	CT=protein;AC=OTUB1;QY=20 pmol	CT=protein;AC=GABARAPL1;QY=0 pmol	CT=protein;AC=GAS7;QY=1 pmol	CT=protein;AC=EZR;QY=1 pmol	CT=protein;AC=Albumin;QY=0 pmol	whole organism	run 4	profiling by mass spectrometry	151107_Ecoli_12prot_spike_MS2_Fr12.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/07/PXD005486/151107_Ecoli_12prot_spike_MS2_Fr12.raw	1	12	TMT127N	NT=LTQ Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	"NT=Deamidated;AC=UNIMOD:7;MT=Variable;TA=N,Q"	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	AC=MS:1001251;NT=Trypsin	NT= HCD;AC=PRIDE:0000590	35% NCE	20 ppm	0.03 Da	treatment	CT=protein;AC=ENO1;QY=20 pmol	CT=protein;AC=ARG1;QY=1 pmol	CT=protein;AC=FABP4;QY=1 pmol	CT=protein;AC=PTGES3;QY=0 pmol	CT=protein;AC=KPNA2;QY=40 pmol	CT=protein;AC=LASP1;QY=1 pmol	CT=protein;AC=HDAC3;QY=2 pmol	CT=protein;AC=KCNIP3;QY=0 pmol	CT=protein;AC=OTUB1;QY=20 pmol	CT=protein;AC=GABARAPL1;QY=0 pmol	CT=protein;AC=GAS7;QY=1 pmol	CT=protein;AC=EZR;QY=1 pmol	CT=protein;AC=Albumin;QY=0 pmol
Sample 3	Escherichia coli	whole plant	not available	not available	DH5 alpha	treatment	not available	1	70 ug	CT=protein;AC=ENO1;QY=2 pmol	CT=protein;AC=ARG1;QY=40 pmol	CT=protein;AC=FABP4;QY=1 pmol	CT=protein;AC=PTGES3;QY=2 pmol	CT=protein;AC=KPNA2;QY=0 pmol	CT=protein;AC=LASP1;QY=20 pmol	CT=protein;AC=HDAC3;QY=0 pmol	CT=protein;AC=KCNIP3;QY=2 pmol	CT=protein;AC=OTUB1;QY=0 pmol	CT=protein;AC=GABARAPL1;QY=1 pmol	CT=protein;AC=GAS7;QY=20 pmol	CT=protein;AC=EZR;QY=4 pmol	CT=protein;AC=Albumin;QY=32 pmol	whole organism	run 4	profiling by mass spectrometry	151107_Ecoli_12prot_spike_MS2_Fr12.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/07/PXD005486/151107_Ecoli_12prot_spike_MS2_Fr12.raw	1	12	TMT127C	NT=LTQ Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	"NT=Deamidated;AC=UNIMOD:7;MT=Variable;TA=N,Q"	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	AC=MS:1001251;NT=Trypsin	NT= HCD;AC=PRIDE:0000590	35% NCE	20 ppm	0.03 Da	treatment	CT=protein;AC=ENO1;QY=2 pmol	CT=protein;AC=ARG1;QY=40 pmol	CT=protein;AC=FABP4;QY=1 pmol	CT=protein;AC=PTGES3;QY=2 pmol	CT=protein;AC=KPNA2;QY=0 pmol	CT=protein;AC=LASP1;QY=20 pmol	CT=protein;AC=HDAC3;QY=0 pmol	CT=protein;AC=KCNIP3;QY=2 pmol	CT=protein;AC=OTUB1;QY=0 pmol	CT=protein;AC=GABARAPL1;QY=1 pmol	CT=protein;AC=GAS7;QY=20 pmol	CT=protein;AC=EZR;QY=4 pmol	CT=protein;AC=Albumin;QY=32 pmol
Sample 4	Escherichia coli	whole plant	not available	not available	DH5 alpha	treatment	not available	1	70 ug	CT=protein;AC=ENO1;QY=0 pmol	CT=protein;AC=ARG1;QY=1 pmol	CT=protein;AC=FABP4;QY=20 pmol	CT=protein;AC=PTGES3;QY=2 pmol	CT=protein;AC=KPNA2;QY=2 pmol	CT=protein;AC=LASP1;QY=0 pmol	CT=protein;AC=HDAC3;QY=1 pmol	CT=protein;AC=KCNIP3;QY=40 pmol	CT=protein;AC=OTUB1;QY=0 pmol	CT=protein;AC=GABARAPL1;QY=20 pmol	CT=protein;AC=GAS7;QY=1 pmol	CT=protein;AC=EZR;QY=0 pmol	CT=protein;AC=Albumin;QY=85 pmol	whole organism	run 4	profiling by mass spectrometry	151107_Ecoli_12prot_spike_MS2_Fr12.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/07/PXD005486/151107_Ecoli_12prot_spike_MS2_Fr12.raw	1	12	TMT128N	NT=LTQ Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	"NT=Deamidated;AC=UNIMOD:7;MT=Variable;TA=N,Q"	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	AC=MS:1001251;NT=Trypsin	NT= HCD;AC=PRIDE:0000590	35% NCE	20 ppm	0.03 Da	treatment	CT=protein;AC=ENO1;QY=0 pmol	CT=protein;AC=ARG1;QY=1 pmol	CT=protein;AC=FABP4;QY=20 pmol	CT=protein;AC=PTGES3;QY=2 pmol	CT=protein;AC=KPNA2;QY=2 pmol	CT=protein;AC=LASP1;QY=0 pmol	CT=protein;AC=HDAC3;QY=1 pmol	CT=protein;AC=KCNIP3;QY=40 pmol	CT=protein;AC=OTUB1;QY=0 pmol	CT=protein;AC=GABARAPL1;QY=20 pmol	CT=protein;AC=GAS7;QY=1 pmol	CT=protein;AC=EZR;QY=0 pmol	CT=protein;AC=Albumin;QY=85 pmol
