sample_id,enable,report_group_ids,color_by,ncbi_accession,ref_group_ids,year,country,Country/inferred country of contamination,Inferred Continent of contamination,strain_name,Inferred Region of contamination (for Figures),origin,type,Place of sampling (Water),species,serotype,STM 3356  d-Tar- specific SNV,phage_type,MLST,lineage,genotype,antimicrobial,Chromosomal coverage (%),Average chromosomal read depth,% reads mapped,Total reads,Num SNVs,Num heterozygous SNVs,Num indels,Num contigs,Genome size (bp),Ratio heterozygous/homozygous SNVs,Accession nos (circularized genomes),Accession nos (draft genomes),publication_source,ploidy
47-89__1989__Morocco__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737523,Salmonella_enterica_GCF_039778255_1,1989,France,Morocco,Africa,47-89,Africa,Human,Stools,NA,S. enterica,Paratyphi B,Present,BAOR,86,Lineage 7,7.3.2_BAOR,none,98.79,135.92,96.4092,5257822,463,27,18,60,4663597,0.058315335,,,This study,1
85-86__1986__Morocco__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737589,Salmonella_enterica_GCF_039778255_1,1986,France,Morocco,Africa,85-86,Africa,Human,Stools,NA,S. enterica,Paratyphi B,Present,BAOR,86,Lineage 7,7.3.2_BAOR,none,98.33,109.23,92.5791,5122244,420,8,13,62,4644455,0.019047619,,,This study,1
56-85__1985__Morocco__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737534,Salmonella_enterica_GCF_039778255_1,1985,France,Morocco,Africa,56-85,Africa,Human,Blood,NA,S. enterica,Paratyphi B,Present,Taunton,86,Lineage 7,7.3.2_BAOR,none,98.31,109.39,96.5362,4964926,445,7,12,69,4651889,0.015730337,,,This study,1
56-0045__1955__Netherlands__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737531,Salmonella_enterica_GCF_039778255_1,1955,The Netherlands,The Netherlands,Europe,56-0045,Europe,Human,Unknown,NA,S. enterica,Paratyphi B,Present,Not available,86,Lineage 8,8,none,99.07,143.93,99.0648,4766292,244,55,17,65,4605263,0.225409836,,,This study,1
B67-134__1967__France__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737621,Salmonella_enterica_GCF_039778255_1,1967,France,France,Europe,B67-134,Europe,Human,Unknown,NA,S. enterica,Paratyphi B,Present,3b,86,Lineage 9,9,none,99.08,172.89,98.5432,5809570,247,75,8,80,4658412,0.303643725,,,This study,1
B66-1060__1966__France__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737618,Salmonella_enterica_GCF_039778255_1,1966,France,France,Europe,B66-1060,Europe,Human,Blood,NA,S. enterica,Paratyphi B,Present,3b,86,Lineage 9,9,none,99.08,120.56,98.4888,4178772,235,95,8,86,4655643,0.404255319,,,This study,1
81-67__1967__France__Environment,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737584,Salmonella_enterica_GCF_039778255_1,1967,France,France,Europe,81-67,Europe,Environment,Sewage,NA,S. enterica,Paratyphi B,Present,3aI,86,Lineage 9,9,none,99.89,46.06,95.3766,2138112,236,36,11,50,4562435,0.152542373,,,This study,1
13-80__1980__France__Environment,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737444,Salmonella_enterica_GCF_039778255_1,1980,France,France,Europe,13-80,Europe,Environment,Superficial water,Seine Maritime (Oissel),S. enterica,Paratyphi B,Present,Beccles,-1657,Lineage 9,9,none,99.68,215.67,98.0095,7311636,337,67,7,67,4549346,0.198813056,,,This study,1
110-76__1976__Iraq__Food,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737429,Salmonella_enterica_GCF_039778255_1,1976,Iraq,Iraq,Asia,110-76,Middle East,Food,Minced beef,NA,S. enterica,Paratyphi B,Present,Beccles,86,Lineage 9,9,none,99.62,176.31,97.7337,6072236,278,114,3,94,4628072,0.410071942,,,This study,1
108-76__1976__Iraq__Food,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737428,Salmonella_enterica_GCF_039778255_1,1976,Iraq,Iraq,Asia,108-76,Middle East,Food,Herbs,NA,S. enterica,Paratyphi B,Present,3aI,86,Lineage 9,9,none,99.57,183.45,97.6804,6209450,274,128,4,78,4662300,0.467153285,,,This study,1
47-84__1984__France__Environment,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737522,Salmonella_enterica_GCF_039778255_1,1984,France,France,Europe,47-84,Europe,Environment,River water,Herault river,S. enterica,Paratyphi B,Present,Taunton,86,Lineage 9,9,none,98.82,135.58,98.0966,4600828,293,125,4,82,4569412,0.42662116,,,This study,1
77-0322__1977__USA__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737573,Salmonella_enterica_GCF_039778255_1,1977,United States (Arizona),United States of America,America,77-0322,America,Human,Stools,NA,S. enterica,Paratyphi B,Present,Not available,86,Lineage 9,9,none,99.9,144.54,98.6213,4926974,256,104,8,85,4663635,0.40625,,,This study,1
15-65__1965__France__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737454,Salmonella_enterica_GCF_039778255_1,1965,France,France,Europe,15-65,Europe,Human,Bile,NA,S. enterica,Paratyphi B,Present,3aI,86,Lineage 9,9,none,98.78,131.51,98.4851,4405166,302,54,9,83,4536827,0.178807947,,,This study,1
SPPI_26__1958__RussianFederation__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737656,Salmonella_enterica_GCF_039778255_1,1958,Russian Federation (St-Petersburg region),Russian Federation,Europe,SPPI_26,Europe,Human,Unknown,NA,S. enterica,Paratyphi B,Present,Not available,86,Lineage 9,9,none,99.87,205.65,97.6333,6987770,242,69,6,65,4650586,0.285123967,,,This study,1
75-0754__1975__USA__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737566,Salmonella_enterica_GCF_039778255_1,1975,United States (Oregon),United States of America,America,75-0754,America,Human,Stools,NA,S. enterica,Paratyphi B,Present,Not available,86,Lineage 9,9,none,99.93,145.25,98.2326,4837906,261,40,9,66,4690480,0.153256705,,,This study,1
B60-1917__1960__Germany__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR460135,Salmonella_enterica_GCF_039778255_1,1960,Germany,Germany,Europe,B60-1917,Europe,Human,Unknown,NA,S. enterica,Paratyphi B,Present,3aI,86,Lineage 9,9,none,99.41,97.3,98.0357,5056680,247,32,8,88,4679457,0.129554656,,,Connor et al. Mbio. 2016,1
CIP54_104__1953__Austria__Unknown,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737644,Salmonella_enterica_GCF_039778255_1,1953,Austria,Austria,Europe,CIP 54.104,Europe,Unknown,,NA,S. enterica,Paratyphi B,Present,3b,86,Lineage 9,9,none,99.07,68.74,96.9573,2276660,260,101,6,97,4683838,0.388461538,,,This study,1
CIP54_114__1953__Austria__Unknown,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737648,Salmonella_enterica_GCF_039778255_1,1953,Austria,Austria,Europe,CIP 54.114,Europe,Unknown,,NA,S. enterica,Paratyphi B,Present,Dundee,86,Lineage 9,9,none,99.83,79.9,96.3251,2672966,253,105,7,97,4722239,0.415019763,,,This study,1
B64-728__1964__France__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737617,Salmonella_enterica_GCF_039778255_1,1964,France,France,Europe,B64-728,Europe,Human,Unknown,NA,S. enterica,Paratyphi B,Present,3b,86,Lineage 9,9.1_France,none,99.08,203.67,97.4989,7115956,241,90,6,81,4689668,0.373443983,,,This study,1
4-61__1961__France__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737382,Salmonella_enterica_GCF_039778255_1,1961,France,France,Europe,4-61,Europe,Human,Blood,NA,S. enterica,Paratyphi B,Present,Dundee,86,Lineage 9,9.1_France,none,99.94,50.72,87.1963,2585202,250,86,12,52,4713022,0.344,,,This study,1
1-59__1959__France__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737378,Salmonella_enterica_GCF_039778255_1,1959,France,France,Europe,1-59,Europe,Human,Blood,NA,S. enterica,Paratyphi B,Present,Dundee,86,Lineage 9,9.1_France,none,99.94,141.2,96.9528,5495966,248,39,11,76,4733157,0.157258065,,,This study,1
202101415__2021__France__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12736616,Salmonella_enterica_GCF_039778255_1,2021,France,France,Europe,202101415,Europe,Human,Stools,NA,S. enterica,Paratyphi B,Present,Not available,86,Lineage 9,9.1_France,none,99.91,141.67,97.2617,4977458,502,126,62,107,4652798,0.250996016,,,This study,1
201808772__2018__France__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12736594,Salmonella_enterica_GCF_039778255_1,2018,France,France,Europe,201808772,Europe,Human,Stools,NA,S. enterica,Paratyphi B,Present,Not available,86,Lineage 9,9.1_France,gyrA_D87N,99.07,164.83,98.7986,5577104,475,37,49,58,4627557,0.077894737,,,This study,1
208-73__1973__France__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737478,Salmonella_enterica_GCF_039778255_1,1973,France,France,Europe,208-73,Europe,Human,Blood,NA,S. enterica,Paratyphi B,Present,Dundee,86,Lineage 9,9.1_France,none,99.94,75.64,97.022,2942510,247,65,9,78,4732171,0.263157895,,,This study,1
8-80__1980__France__Environment,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737394,Salmonella_enterica_GCF_039778255_1,1980,France,France,Europe,8-80,Europe,Environment,River water,Ill river (Wantzenau),S. enterica,Paratyphi B,Present,Dundee,86,Lineage 9,9.1_France,none,99.93,191.2,97.5812,6546352,255,125,9,87,4642524,0.490196078,,,This study,1
159-74__1974__France__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737455,Salmonella_enterica_GCF_039778255_1,1974,France,France,Europe,159-74,Europe,Human,Blood,NA,S. enterica,Paratyphi B,Present,Beccles,10013,Lineage 9,9.1_France,none,99.94,175.85,98.1363,6764202,304,24,13,80,4700881,0.078947368,,,This study,1
B91-314__1991__France__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737626,Salmonella_enterica_GCF_039778255_1,1991,France,France,Europe,B91-314,Europe,Human,Blood,NA,S. enterica,Paratyphi B,Present,Dundee,86,Lineage 9,9.1_France,none,99.88,110.51,97.5969,3800130,275,113,9,113,4666726,0.410909091,,,This study,1
57-76__1976__France__Environment,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737535,Salmonella_enterica_GCF_039778255_1,1976,France,France,Europe,57-76,Europe,Environment,River water,Canal de la Somme,S. enterica,Paratyphi B,Present,Dundee,86,Lineage 9,9.1_France,none,99.81,184.06,97.3969,6354190,261,140,8,93,4715070,0.536398467,,,This study,1
2-59__1959__France__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737379,Salmonella_enterica_GCF_039778255_1,1959,France,France,Europe,2-59,Europe,Human,Bone,NA,S. enterica,Paratyphi B,Present,Dundee,86,Lineage 9,9.1_France,none,99.94,126.31,97.4981,4177212,241,82,10,82,4731349,0.340248963,,,This study,1
9-83__1983__France__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737397,Salmonella_enterica_GCF_039778255_1,1983,France,France,Europe,9-83,Europe,Human,Stools,NA,S. enterica,Paratyphi B,Present,Dundee,86,Lineage 9,9.1_France,none,99.92,179.33,97.5817,6119474,256,128,9,86,4689940,0.5,,,This study,1
B2590__1947__UK__Unknown,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737611,Salmonella_enterica_GCF_039778255_1,1947,United Kingdom,United Kingdom,Europe,B2590,Europe,Unknown,,NA,S. enterica,Paratyphi B,Present,Dundee,86,Lineage 9,9.1_France,none,99.97,186.82,97.5553,6294010,253,87,9,88,4728344,0.343873518,CP147896,,This study,1
82-69__1969__France__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737586,Salmonella_enterica_GCF_039778255_1,1969,France,France,Europe,82-69,Europe,Human,Stools,NA,S. enterica,Paratyphi B,Present,Dundee,86,Lineage 9,9.1_France,none,99.94,113.84,91.3196,4704012,367,33,39,84,4802848,0.089918256,,,This study,1
201800858__2018__France__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12736589,Salmonella_enterica_GCF_039778255_1,2018,France,France,Europe,201800858,Europe,Human,Stools,NA,S. enterica,Paratyphi B,Present,Not available,86,Lineage 9,9.1_France,gyrA_S83F,99.86,135.44,97.3495,4503832,253,123,13,98,4721877,0.486166008,,,This study,1
27-60__1960__Luxembourg__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737488,Salmonella_enterica_GCF_039778255_1,1960,Luxembourg,Luxembourg,Europe,27-60,Europe,Human,Stools,NA,S. enterica,Paratyphi B,Present,Dundee,86,Lineage 9,9.1_France,none,99.94,181.9,96.9885,7080168,242,32,15,84,4733836,0.132231405,,,This study,1
28-60__1960__Luxembourg__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737491,Salmonella_enterica_GCF_039778255_1,1960,Luxembourg,Luxembourg,Europe,28-60,Europe,Human,Stools,NA,S. enterica,Paratyphi B,Present,Dundee,86,Lineage 9,9.1_France,none,99.13,43.34,96.3461,1992660,244,90,10,44,4581540,0.368852459,,,This study,1
106-82__1982__France__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737426,Salmonella_enterica_GCF_039778255_1,1982,France,France,Europe,106-82,Europe,Human,Stools,NA,S. enterica,Paratyphi B,Present,Dundee,86,Lineage 9,9.1_France,none,99.94,135.37,96.228,6254790,248,40,10,95,4731585,0.161290323,,,This study,1
2-56__1956__France__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737371,Salmonella_enterica_GCF_039778255_1,1956,France,France,Europe,2-56,Europe,Human,Unknown,NA,S. enterica,Paratyphi B,Present,Dundee,86,Lineage 9,9.1_France,none,99.94,95.43,95.2231,4455368,236,47,11,95,4727830,0.199152542,,,This study,1
29-66__1966__France__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737493,Salmonella_enterica_GCF_039778255_1,1966,France,France,Europe,29-66,Europe,Human,Stools,NA,S. enterica,Paratyphi B,Present,Dundee,86,Lineage 9,9.1_France,none,99.91,140.37,97.1814,5445534,254,41,12,82,4729125,0.161417323,,,This study,1
73-66__1966__France__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737561,Salmonella_enterica_GCF_039778255_1,1966,France,France,Europe,73-66,Europe,Human,Stools,NA,S. enterica,Paratyphi B,Present,Dundee,86,Lineage 9,9.1_France,none,99.94,216.22,97.7133,8341094,262,13,11,64,4709653,0.049618321,,,This study,1
6-66__1966__France__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737388,Salmonella_enterica_GCF_039778255_1,1966,France,France,Europe,6-66,Europe,Human,Stools,NA,S. enterica,Paratyphi B,Present,Dundee,86,Lineage 9,9.1_France,none,99.53,214.38,97.131,8296686,367,14,15,67,4704990,0.038147139,,,This study,1
56-73__1973__France__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737533,Salmonella_enterica_GCF_039778255_1,1973,France,France,Europe,56-73,Europe,Human,Stools,NA,S. enterica,Paratyphi B,Present,Beccles,86,Lineage 9,9.1_France,none,99.94,113.81,97.4866,4404318,269,36,11,65,4700072,0.133828996,,,This study,1
40-60__1960__France__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737508,Salmonella_enterica_GCF_039778255_1,1960,France,France,Europe,40-60,Europe,Human,Blood,NA,S. enterica,Paratyphi B,Present,Beccles,86,Lineage 9,9.1_France,none,99.94,154.05,95.2415,6106150,240,34,11,76,4755512,0.141666667,,,This study,1
10-57__1957__France__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737375,Salmonella_enterica_GCF_039778255_1,1957,France,France,Europe,10-57,Europe,Human,Unknown,NA,S. enterica,Paratyphi B,Present,3b,86,Lineage 9,9.1_France,none,99.14,200.2,96.2076,7802058,241,34,12,85,4692719,0.141078838,,,This study,1
120-74__1974__France__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737435,Salmonella_enterica_GCF_039778255_1,1974,France,France,Europe,120-74,Europe,Human,Blood,NA,S. enterica,Paratyphi B,Present,Beccles,86,Lineage 9,9.1_France,none,99.94,79.5,93.7248,3767710,260,44,10,60,4684544,0.169230769,,,This study,1
200800999__2008__FranceOrElsewhere__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737415,Salmonella_enterica_GCF_039778255_1,2008,France,France or elsewhere,Unknown,200800999,Unknown,Human,Stools,NA,S. enterica,Paratyphi B,Present,Not available,86,Lineage 9,9.1_France,gyrA_S83F,99.87,121.94,97.4248,4220434,317,98,10,127,4661807,0.309148265,,,This study,1
200808918__2008__FranceOrElsewhere__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737418,Salmonella_enterica_GCF_039778255_1,2008,France,France or elsewhere,Unknown,200808918,Unknown,Human,Unknown,NA,S. enterica,Paratyphi B,Present,Not available,86,Lineage 9,9.1_France,none,99.92,100.94,97.762,3481302,245,91,10,115,4706071,0.371428571,,,This study,1
60-84__1984__France__Environment,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737539,Salmonella_enterica_GCF_039778255_1,1984,France,France,Europe,60-84,Europe,Environment,Superficial water,Brittany,S. enterica,Paratyphi B,Present,Dundee,86,Lineage 9,9.1_France,none,98.86,214,96.8874,7264208,322,117,7,89,4674662,0.363354037,,,This study,1
202107503__2021__France__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12736618,Salmonella_enterica_GCF_039778255_1,2021,France,France,Europe,202107503,Europe,Human,Stools,NA,S. enterica,Paratyphi B,Present,Not available,86,Lineage 9,9.1_France,none,99.94,104.92,97.9134,3637634,246,180,3,88,4726070,0.731707317,,,This study,1
201703686__2017__FranceOrElsewhere__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12736568,Salmonella_enterica_GCF_039778255_1,2017,France,France or elsewhere,Unknown,201703686,Unknown,Human,Wound,NA,S. enterica,Paratyphi B,Present,Not available,86,Lineage 9,9.1_France,none,99.51,103,97.9615,3622700,326,54,8,76,4667081,0.165644172,,,This study,1
20-77__1977__France__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737477,Salmonella_enterica_GCF_039778255_1,1977,France,France,Europe,20-77,Europe,Human,Blood,NA,S. enterica,Paratyphi B,Present,Dundee,86,Lineage 9,9.1_France,none,99.94,165.45,97.4146,5694112,257,131,8,91,4688178,0.509727626,,,This study,1
62-65__1965__France__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737541,Salmonella_enterica_GCF_039778255_1,1965,France,France,Europe,62-65,Europe,Human,Blood,NA,S. enterica,Paratyphi B,Present,Dundee,86,Lineage 9,9.1_France,none,99.94,148.89,94.2933,5957298,247,38,11,80,4794841,0.153846154,,,This study,1
21-59__1959__France__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737480,Salmonella_enterica_GCF_039778255_1,1959,France,France,Europe,21-59,Europe,Human,Blood,NA,S. enterica,Paratyphi B,Present,Dundee,86,Lineage 9,9.1_France,none,99.18,118.44,96.0001,4624708,243,35,11,77,4638503,0.144032922,,,This study,1
18-84__1984__France__Environment,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737472,Salmonella_enterica_GCF_039778255_1,1984,France,France,Europe,18-84,Europe,Environment,River water,Loire river,S. enterica,Paratyphi B,Present,Dundee,86,Lineage 9,9.1_France,none,99.93,109.98,97.4918,3797118,237,161,5,93,4675637,0.679324895,,,This study,1
201600075__2016__France__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12736538,Salmonella_enterica_GCF_039778255_1,2016,France,France,Europe,201600075,Europe,Human,Stools,NA,S. enterica,"ND:b:1,2",Present,Not available,86,Lineage 9,9.1_France,none,99.89,80.43,98.8945,2678316,277,56,13,101,4576102,0.202166065,,,This study,1
201901362__2019__France__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12736598,Salmonella_enterica_GCF_039778255_1,2019,France,France,Europe,201901362,Europe,Human,Stools,NA,S. enterica,Paratyphi B,Present,Not available,86,Lineage 9,9.1_France,gyrA_D82N,99.63,54.48,98.3851,1827738,257,113,10,182,4596157,0.439688716,,,This study,1
5-68__1968__France__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737391,Salmonella_enterica_GCF_039778255_1,1968,France,France,Europe,5-68,Europe,Human,Blood,NA,S. enterica,Paratyphi B,Present,Dundee,86,Lineage 9,9.1_France,none,99.94,148.24,96.8264,5778728,245,36,15,82,4734312,0.146938776,,,This study,1
84-70__1970__France__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737587,Salmonella_enterica_GCF_039778255_1,1970,France,France,Europe,84-70,Europe,Human,Blood,NA,S. enterica,Paratyphi B,Present,Dundee,86,Lineage 9,9.1_France,none,99.94,165.1,97.0249,6416986,247,34,13,78,4732674,0.137651822,,,This study,1
27-68__1968__France__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737489,Salmonella_enterica_GCF_039778255_1,1968,France,France,Europe,27-68,Europe,Human,Blood,NA,S. enterica,Paratyphi B,Present,Not available,86,Lineage 9,9.1_France,none,99.94,126.52,94.4512,5051158,261,44,14,81,4824633,0.168582375,,,This study,1
201904345__2019__France__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12736602,Salmonella_enterica_GCF_039778255_1,2019,France,France,Europe,201904345,Europe,Human,Stools,NA,S. enterica,"ND:b:1,2",Present,Not available,86,Lineage 9,9.1_France,none,99.86,129.7,99.4762,4212162,246,66,11,110,4530651,0.268292683,,,This study,1
63-66__1966__France__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737544,Salmonella_enterica_GCF_039778255_1,1966,France,France,Europe,63-66,Europe,Human,Blood,NA,S. enterica,Paratyphi B,Present,Dundee,86,Lineage 9,9.1_France,none,99.94,163.46,96.7975,6375404,256,36,11,79,4736629,0.140625,,,This study,1
61-66__1966__France__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737540,Salmonella_enterica_GCF_039778255_1,1966,France,France,Europe,61-66,Europe,Human,Blood,NA,S. enterica,Paratyphi B,Present,Dundee,86,Lineage 9,9.1_France,none,99.94,79.14,96.3419,3647724,255,44,9,60,4718654,0.17254902,,,This study,1
87-89__1989__France__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737594,Salmonella_enterica_GCF_039778255_1,1989,France,France,Europe,87-89,Europe,Human,Stools,NA,S. enterica,Paratyphi B,Present,1,86,Lineage 9,9.1_France,none,99.92,228.43,98.1351,8771102,260,11,25,67,4707458,0.042307692,,,This study,1
7-83__1983__France__Environment,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737396,Salmonella_enterica_GCF_039778255_1,1983,France,France,Europe,7-83,Europe,Environment,River water,Canal de la Lys (Werwicq),S. enterica,Paratyphi B,Present,Dundee,86,Lineage 9,9.1_France,none,99.94,182.46,97.7098,6231516,259,73,5,75,4594150,0.281853282,,,This study,1
101-83__1983__France__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737423,Salmonella_enterica_GCF_039778255_1,1983,France,France,Europe,101-83,Europe,Human,Bile,NA,S. enterica,Paratyphi B,Present,Taunton,86,Lineage 9,9.1_France,none,99.94,164.07,95.8577,5747650,227,176,5,95,4770591,0.775330396,,,This study,1
42-69__1969__France__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737512,Salmonella_enterica_GCF_039778255_1,1969,France,France,Europe,42-69,Europe,Human,Stools,NA,S. enterica,Paratyphi B,Present,Dundee,86,Lineage 9,9.1_France,none,99.94,91.98,97.2743,3566332,269,54,13,71,4735481,0.200743494,,,This study,1
129-74__1974__France__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737437,Salmonella_enterica_GCF_039778255_1,1974,France,France,Europe,129-74,Europe,Human,Stools,NA,S. enterica,Paratyphi B,Present,Dundee,86,Lineage 9,9.1_France,none,99.91,130.53,97.2916,5064114,263,39,12,79,4731473,0.148288973,,,This study,1
