sample_id,enabled,name,report_group_ids,color_by,ref_group_ids,gcf_id,strain,host,source,generic_source,country,year,given_species_name,fastani_derived_species,lineage,phylogroup,assembly_method,sequence_type,sequencing_technology,assembly_length,num_contigs,wgGC_content,grimont_biotype,ncbi_accession,BioProject,dataset_in_paper,publication_doi,ploidy
26968_7_50,TRUE,26968_7_50,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,4368,,Moss,Plant,Unknown,Unknown,Serratia liquefaciens,Serratia proteamaculans,6,9,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5426686,14,55.22,RB,ERR3566470,PRJEB24638,Grimont collection (Institut Pasteur),10.1007/BF01568416,1
26968_7_51,TRUE,26968_7_51,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,4308,,Digestive tract of rodent Clethrionomys glareolus,Animal,Unknown,Unknown,Serratia proteamaculans,Serratia proteamaculans,6,9,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5341636,21,55.03,EB,ERR3566471,PRJEB24638,Grimont collection (Institut Pasteur),10.1007/BF01568416,1
26968_7_52,TRUE,26968_7_52,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,1417,,,,Unknown,Unknown,Serratia proteamaculans,Serratia proteamaculans,6,9,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,4993756,9,55.21,C1c,ERR3566472,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_54,TRUE,26968_7_54,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,G5979/4491,,,,Unknown,Unknown,Serratia fonticola,Serratia fonticola,1,3,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5664828,43,53.87,,ERR3566474,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_57,TRUE,26968_7_57,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,4219,,Dandelion,Plant,Unknown,Unknown,Serratia liquefaciens,Serratia liquefaciens,3,4,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5550884,86,55.57,Clab,ERR3566477,PRJEB24638,Grimont collection (Institut Pasteur),10.1007/BF01568416,1
26968_7_58,TRUE,26968_7_58,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,6714,,,,Unknown,Unknown,Serratia liquefaciens,Serratia liquefaciens,2,4,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5285142,13,55.48,,ERR3566478,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_59,TRUE,26968_7_59,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,4330,,Grass,Environmental,Unknown,Unknown,Serratia proteamaculans,Serratia proteamaculans,6,9,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5209819,37,54.99,EB,ERR3566479,PRJEB24638,Grimont collection (Institut Pasteur),10.1007/BF01568416,1
26968_7_6,TRUE,26968_7_6,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,5217,,,,Unknown,Unknown,Serratia fonticola,Serratia fonticola,1,3,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,6049826,30,53.59,,ERR3566426,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_60,TRUE,26968_7_60,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,390,,Water,Water,Unknown,Unknown,Serratia entomophila,Serratia entomophila,19,5,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,4927679,26,59.26,,ERR3566480,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_61,TRUE,26968_7_61,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,4033,,Blastophaga psenes,Insect,USA,1977,Serratia ficaria,Serratia ficaria,20,6,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5272698,26,60.02,,ERR3566481,PRJEB24638,Grimont collection (Institut Pasteur),10.1007/BF02602859,1
26968_7_62,TRUE,26968_7_62,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,NARCHON,,,,Unknown,Unknown,Serratia fonticola,Serratia fonticola,1,3,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5747291,22,53.8,,ERR3566482,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_63,TRUE,26968_7_63,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,A4,,Carew (Canterbury; New Zealand); mature pasture; 133 grass grubs/m2; 23% diseased,Costelytra zealandica,New Zealand,Unknown,Serratia entomophila,Serratia entomophila,19,5,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5065282,34,59.03,Sen 1b,ERR3566483,PRJEB24638,Grimont collection (Institut Pasteur),10.1099/00207713-38-1-1,1
26968_7_65,TRUE,26968_7_65,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,98 09941,,,,Unknown,Unknown,Serratia liquefaciens,Serratia liquefaciens,2,4,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5283413,13,55.37,,ERR3566485,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_66,TRUE,26968_7_66,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,4569,,,,Unknown,Unknown,Serratia proteamaculans,Serratia proteamaculans,6,9,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5336872,19,55.32,,ERR3566486,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_67,TRUE,26968_7_67,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,3876,,,,Unknown,Unknown,Serratia proteamaculans subs. quinovorans,Serratia quinivorans,7,1,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5336699,25,55.08,,ERR3566487,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_69,TRUE,26968_7_69,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,1333,,,,Unknown,Unknown,Serratia fonticola,Serratia fonticola,1,3,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5769993,53,53.76,,ERR3566489,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_7,TRUE,26968_7_7,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,A10,,Ealing (Canterbury; New Zealand); mature pasture; 260 grass grubs/m2; 29% diseased,Costelytra zealandica,New Zealand,Unknown,Serratia entomophila,Serratia entomophila,19,5,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5138621,36,58.94,,ERR3566427,PRJEB24638,Grimont collection (Institut Pasteur),10.1099/00207713-38-1-1,1
26968_7_70,TRUE,26968_7_70,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,742,,Dairy Product,Dairy,Unknown,Unknown,Serratia grimesii,Serratia grimesii,5,7,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5080769,15,52.76,C1d,ERR3566490,PRJEB24638,Grimont collection (Institut Pasteur),10.1007/BF01568416,1
26968_7_71,TRUE,26968_7_71,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,A8,,Ealing (Canterbury; New Zealand); mature pasture; 260 grass grubs/m2; 29% diseased,Costelytra zealandica,New Zealand,Unknown,Serratia entomophila,Serratia entomophila,19,5,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5092325,29,59.03,,ERR3566491,PRJEB24638,Grimont collection (Institut Pasteur),10.1099/00207713-38-1-1,1
26968_7_72,TRUE,26968_7_72,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,4313,,Digestive tract of rodent Apodemus sylvaticus,Animal,Unknown,Unknown,Serratia grimesii,Serratia grimesii,5,7,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5322467,34,52.77,C1d,ERR3566492,PRJEB24638,Grimont collection (Institut Pasteur),10.1007/BF01568416,1
26968_7_73,TRUE,26968_7_73,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,ATCC27592 / 866,,type strain of S. liquefaciens,Dairy,Unknown,Unknown,Serratia liquefaciens,Serratia liquefaciens,2,4,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5165760,11,55.42,,ERR3566493,PRJEB24638,Grimont collection (Institut Pasteur),10.1007/BF01568416,1
26968_7_74,TRUE,26968_7_74,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,1448,,Cephalcia abietis,Insect,Unknown,Unknown,Serratia proteamaculans,Serratia quinivorans,7,1,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5431765,15,55.01,RB,ERR3566494,PRJEB24638,Grimont collection (Institut Pasteur),10.1007/BF01568416,1
26968_7_75,TRUE,26968_7_75,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,4170,,Digestive tract of squirrel,Animal,Unknown,Unknown,Serratia proteamaculans,Serratia proteamaculans,6,9,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5585395,30,55.05,,ERR3566495,PRJEB24638,Grimont collection (Institut Pasteur),10.1007/BF01568416,1
26968_7_77,TRUE,26968_7_77,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,3160,,,,Unknown,Unknown,Serratia fonticola,Serratia fonticola,1,3,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5689042,25,53.94,,ERR3566497,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_78,TRUE,26968_7_78,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,4174,,Bacteremia,Human,France,Unknown,Serratia grimesii,Serratia grimesii,5,7,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5233309,15,52.59,C1d,ERR3566498,PRJEB24638,Grimont collection (Institut Pasteur),10.1007/BF01568416,1
26968_7_79,TRUE,26968_7_79,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,A1,,Fairton (Canterbury; New Zealand); mature pasture; 550 grass grubs/m2; 65% diseased,Costelytra zealandica,New Zealand,Unknown,Serratia entomophila,Serratia ficaria,20,6,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5160233,27,60.12,,ERR3566499,PRJEB24638,Grimont collection (Institut Pasteur),10.1099/00207713-38-1-1,1
26968_7_8,TRUE,26968_7_8,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,2.89,,,,Unknown,Unknown,Serratia liquefaciens,Serratia liquefaciens,2,4,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5266659,17,55.31,,ERR3566428,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_80,TRUE,26968_7_80,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,222,,Spring Water,Water,France,1971,Serratia entomophila,Serratia entomophila,19,5,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,4891492,33,59.34,Sen 1b,ERR3566500,PRJEB24638,Grimont collection (Institut Pasteur),10.1099/00221287-98-1-39,1
26968_7_81,TRUE,26968_7_81,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,4_89,,,,Unknown,Unknown,Serratia fonticola,Serratia fonticola,1,3,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5654834,46,53.85,,ERR3566501,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_83,TRUE,26968_7_83,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,A14,,Montalto (Canterbury; New Zealand); mature pasture; 122 grass grubs/m2; 32% diseased,Costelytra zealandica,New Zealand,Unknown,Serratia entomophila,Serratia entomophila,19,5,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5056329,37,59.04,Sen 2,ERR3566503,PRJEB24638,Grimont collection (Institut Pasteur),10.1099/00207713-38-1-1,1
26968_7_84,TRUE,26968_7_84,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,4128,,Moss,Plant,Unknown,Unknown,Serratia liquefaciens,Serratia liquefaciens,2,4,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5156929,12,55.4,RQ,ERR3566504,PRJEB24638,Grimont collection (Institut Pasteur),10.1007/BF01568416,1
26968_7_86,TRUE,26968_7_86,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,216,,,,Unknown,Unknown,Serratia entomophila,Serratia liquefaciens,2,4,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5099918,12,55.46,,ERR3566506,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_87,TRUE,26968_7_87,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,374,,,,Unknown,Unknown,Serratia entomophila,Serratia quinivorans,8,1,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5351913,25,55.07,,ERR3566507,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_88,TRUE,26968_7_88,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,209,,,,Unknown,Unknown,Serratia entomophila,Serratia quinivorans,8,1,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5616218,17,54.69,,ERR3566508,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_89,TRUE,26968_7_89,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,9107438,,New Zealand,,Unknown,Unknown,Serratia entomophila,Serratia entomophila,17,5,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5174322,49,58.79,,ERR3566509,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_9,TRUE,26968_7_9,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,98 05001,,,,Unknown,Unknown,Serratia proteamaculans subs. quinovorans,Serratia quinivorans,7,1,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5435737,14,55.01,,ERR3566429,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_90,TRUE,26968_7_90,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,9004370,,,,Unknown,Unknown,Serratia entomophila,Serratia entomophila,19,5,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5068253,30,59.08,,ERR3566510,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_91,TRUE,26968_7_91,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,CI13,,Chatham Islands (Canterbury; New Zealand); mature pasture; 100-200 grass grubs/m2; 3% diseased,Costelytra zealandica,New Zealand,Unknown,Serratia sp.,Serratia entomophila,17,5,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,4981200,41,59.12,Sen 2,ERR3566511,PRJEB24638,Grimont collection (Institut Pasteur),10.1099/00207713-38-1-1,1
26968_7_93,TRUE,26968_7_93,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,509,,Elm borer Saperdia carcharias,Plant,Unknown,Unknown,Serratia proteamaculans,Serratia proteamaculans,6,9,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,4989705,11,55.21,C1c,ERR3566513,PRJEB24638,Grimont collection (Institut Pasteur),10.1099/00221287-98-1-39,1
26968_7_95,TRUE,26968_7_95,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,377,,Pig faeces,Animal,United Kingdom,Unknown,Serratia entomophila,Serratia liquefaciens,2,4,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5393619,17,55.45,,ERR3566515,PRJEB24638,Grimont collection (Institut Pasteur),10.1099/00221287-127-1-161,1
26968_7_96,TRUE,26968_7_96,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,8806155,,,,Unknown,Unknown,Serratia entomophila,Serratia entomophila,19,5,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,4926244,26,59.28,,ERR3566516,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_97,TRUE,26968_7_97,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,9107442,,,,Unknown,Unknown,Serratia entomophila,Serratia entomophila,17,5,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5161838,45,58.81,,ERR3566517,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_98,TRUE,26968_7_98,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,380,,,,Unknown,Unknown,Serratia entomophila,Serratia proteamaculans,6,9,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5481358,10,55.19,,ERR3566518,PRJEB24638,Grimont collection (Institut Pasteur),,1
GCA_000214195_1_ASM21419v1_genomic,TRUE,GCA_000214195.1_ASM21419v1_genomic,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,GCA_000214195.1,AS12,rapeseed plant,None,Plant,None,Unknown,Serratia sp. AS12,Serratia plymuthica,4,8,Newbler v. 2.3,illumina,454/Illumina,5443009,1,55.96,,SRR3927533,PRJNA60453,NCBI,10.4056/sigs.2705996,1
GCA_000214235_1_ASM21423v1_genomic,TRUE,GCA_000214235.1_ASM21423v1_genomic,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,GCA_000214235.1,AS9,None,None,,None,Unknown,Serratia plymuthica AS9,Serratia plymuthica,4,8,Newbler v. 2.3,illumina,454/Illumina,5442880,1,55.96,,SRR3927534,PRJNA60457,NCBI,10.4056/sigs.2595762,1
GCA_000214805_1_ASM21480v1_genomic,TRUE,GCA_000214805.1_ASM21480v1_genomic,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,GCA_000214805.1,AS13,rapeseed plant,None,Plant,None,Unknown,Serratia sp. AS13,Serratia plymuthica,4,8,Newbler v. 2.3,illumina,454/Illumina,5442549,1,55.96,,SRR3927989,PRJNA60455,NCBI,10.4056/sigs.2966299,1
GCA_000261045_2_ASM26104v2_genomic,FALSE,GCA_000261045.2_ASM26104v2_genomic,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,GCA_000261045.2,PRI-2c,None,maize rhizosphere soil,Rhizosphere,Netherlands,2004,Serratia plymuthica PRI-2C,Serratia plymuthica,4,8,smrtanalysis v. 2.3.0.140936.p4.150482,pacbio,PacBio P4C6,5474685,1,55.65,,SAMN02470676,PRJNA84283,NCBI,10.1128/JB.00679-12,1
GCA_000292365_1_ASM29236v1_genomic,TRUE,GCA_000292365.1_ASM29236v1_genomic,validation_serratia;smarcescens,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,GCA_000292365.1,W2.3,None,sick tilapia fish,Fish,Malaysia,Unknown,Serratia marcescens W2.3,Serratia marcescens,10,2,CLC Genomics Workbench v. 5.1,illumina,Illumina MiSeq,5231794,72,59.24,,SAMN02471845,PRJNA171722,NCBI,10.1186/1757-4749-5-29,1
GCA_000300895_1_ASM30089v1_genomic,TRUE,GCA_000300895.1_ASM30089v1_genomic,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,GCA_000300895.1,A30,potato,potato tuber rotten tissue,Plant,Netherlands,2009,Serratia plymuthica A30,Serratia plymuthica,4,8,Newbler v. 2.3,illumina,Roche 454 Titanium,5554023,73,56.1,,SAMN02470813,PRJNA170007,NCBI,10.1111/j.1365-3059.2011.02486.x,1
GCA_000330865_1_ASM33086v1_genomic,TRUE,GCA_000330865.1_ASM33086v1_genomic,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,GCA_000330865.1,FGI94,None,None,,None,Unknown,Serratia sp. FGI94,Serratia rubidaea,22,11,None,illumina,Unknown,4858216,1,58.86,,SAMN02604288,PRJNA178957,NCBI,10.1128/genomeA.00239-12,1
GCA_000336365_1_ASM33636v1_genomic,TRUE,GCA_000336365.1_ASM33636v1_genomic,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,GCA_000336365.1,None,None,None,,None,Unknown,Serratia sp. C-1,Serratia plymuthica,4,8,None,illumina,Unknown,5651614,123,56.17,,SAMEA2272622,PRJEB1344,NCBI,10.5423/RPD.2015.21.3.222,1
GCA_000336425_1_ASM33642v1_genomic,TRUE,GCA_000336425.1_ASM33642v1_genomic,validation_serratia;smarcescens,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,GCA_000336425.1,WW4,None,None,,None,Unknown,Serratia marcescens WW4,Serratia marcescens,15,2,None,illumina,Unknown,5244703,2,59.55,,SAMN02602965,PRJNA88659,NCBI,10.1128/genomeA.00126-13,1
GCA_000342205_1_SerMar_1_0_genomic,TRUE,GCA_000342205.1_SerMar_1.0_genomic,validation_serratia;smarcescens,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,GCA_000342205.1,VGH107,Homo sapiens,snake-bite wound,Human,Taiwan,2011,Serratia marcescens VGH107,Serratia marcescens,15,2,SOAPdenovo v. 1.05,illumina,Illumina GAIIx,5519124,77,59.47,,SAMN02470620,PRJNA182128,NCBI,10.1128/genomeA.00249-13,1
GCA_000347995_1_ASM34799v1_genomic,TRUE,GCA_000347995.1_ASM34799v1_genomic,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,GCA_000347995.1,S4,None,rhizosphere of naturally growing Equisetum plants,Rhizosphere,Sweden,1980,Serratia sp. S4,Serratia quinivorans,7,1,Velvet v. 1.1.05; Newbler v. 2.6; Phrap,illumina,454-GS-FLX-Titanium; Illumina GAII,5454741,2,54.99,,SAMN02256518,PRJNA61833,NCBI,10.4056/sigs.4027757,1
GCA_000422085_1_ASM42208v1_genomic,FALSE,GCA_000422085.1_ASM42208v1_genomic,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,GCA_000422085.1,ATCC 27592,None,None,,None,Unknown,Serratia liquefaciens ATCC 27592,Serratia liquefaciens,2,4,Celera Assembler v. 7.0,pacbio,PacBio HGAP,5282719,2,55.33,,SAMN02604177,PRJNA208332,NCBI,10.1128/genomeA.00548-13,1
GCA_000438825_1_ASM43882v1_genomic,TRUE,GCA_000438825.1_ASM43882v1_genomic,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,GCA_000438825.1,None,None,Styrian pumpkin anthrosphere,Rhizosphere,None,Unknown,Serratia plymuthica S13,Serratia plymuthica,4,8,Newbler v. 2.6,illumina,454,5467306,1,56.2,,SAMN02603297,PRJNA209109,NCBI,10.1128/genomeA.00594-13,1
GCA_000465615_2_GS_De_Novo_Assembly_genomic,TRUE,GCA_000465615.2_GS_De_Novo_Assembly_genomic,validation_serratia;smarcescens,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,GCA_000465615.2,EGD-HP20,None,tannery waste water,Water,India,2005,Serratia marcescens EGD-HP20,Serratia marcescens,15,2,GS De Novo Assembler v. 2.6,illumina,Illumina MiSeq,5077620,50,59.78,,SAMN02469683,PRJNA211617,NCBI,10.1002/jobm.201700474,1
GCA_000468075_1_Serratia_fanticola_AU_P3_3__genomic,TRUE,GCA_000468075.1_Serratia_fanticola_AU-P3_3__genomic,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,GCA_000468075.1,AU-P3(3),None,None,,None,Unknown,Serratia fonticola AU-P3(3),Serratia fonticola,1,3,CLC NGS Cell v. wb 6,illumina,Illumina HiSeq,5023127,44,53.75,,SAMN02469999,PRJNA202229,NCBI,10.1128/genomeA.00946-13,1
GCA_000476315_1_UTAD54_1_genomic,TRUE,GCA_000476315.1_UTAD54_1_genomic,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,GCA_000476315.1,UTAD54,None,drinking water fountain,Water,Portugal,Unknown,Serratia fonticola UTAD54,Serratia fonticola,1,3,MIRA v. 3.4.0.1,illumina,454,5953423,118,53.54,,SAMN02471348,PRJNA213447,NCBI,10.1128/genomeA.00970-13,1
GCA_000477615_1_Serratia_fanticola_genomic,TRUE,GCA_000477615.1_Serratia_fanticola_genomic,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,GCA_000477615.1,AU-AP2C,None,None,,None,Unknown,Serratia fonticola AU-AP2C,Serratia fonticola,1,3,CLC NGS Cell v. wb 6,illumina,Illumina HiSeq,4999819,34,53.75,,SAMN02470002,PRJNA202230,NCBI,10.1128/genomeA.01022-13,1
GCA_000478545_1_ASM47854v1_genomic,TRUE,GCA_000478545.1_ASM47854v1_genomic,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,GCA_000478545.1,RVH1,None,None,,None,Unknown,Serratia plymuthica RVH1,Serratia plymuthica,4,8,Velvet v. 1.1.05; ALLPATHS v. 39750;,illumina,Illumina HiSeq 2000,5514320,1,56.2,,SAMN02440958,PRJNA175925,NCBI,10.1128/genomeA.00021-14,1
GCA_000513215_1_DB11_genomic,TRUE,GCA_000513215.1_DB11_genomic,validation_serratia;smarcescens,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,GCA_000513215.1,Db11,None,None,,None,Unknown,Serratia marcescens subsp. marcescens Db11,Serratia marcescens,13,2,None,illumina,Unknown,5113802,1,59.51,,SAMEA3138834,PRJEB4201,NCBI,10.1093/gbe/evu160,1
GCA_000633335_1_ASM63333v1_genomic,TRUE,GCA_000633335.1_ASM63333v1_genomic,validation_serratia;smarcescens,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,GCA_000633335.1,H1q,Carnivorous Plant Phytotelma,Carnivorous Plant Phytotelma,Plant,Malaysia,Unknown,Serratia marcescens H1q,Serratia marcescens,10,2,CLC Genomics Workbench v. 6,illumina,Illumina MiSeq,5243094,56,59.24,,SAMN02729848,PRJNA226208,NCBI,10.1038/srep20016,1
GCA_000633555_1_ASM63355v1_genomic,TRUE,GCA_000633555.1_ASM63355v1_genomic,validation_serratia;smarcescens,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,GCA_000633555.1,PH1a,Carnivorous Plant Phytotelma,Carnivorous Plant Phytotelma,Plant,Malaysia,Unknown,Serratia marcescens PH1a,Serratia marcescens,10,2,CLC Genomics Workbench v. 6,illumina,Illumina MiSeq,5243840,50,59.23,,SAMN02729853,PRJNA226213,NCBI,10.1038/srep20016,1
